,x1,x2,x3
2788,1.1063943,-1.1194105,0.035415314
2928,0.63251644,-0.0029099465,-0.8196209
2293,0.2246168,0.18997927,0.56148344
2381,-0.05306096,1.073302,-1.1306775
3655,-0.40967637,0.40706128,0.09788424
2469,0.028485416,0.07731156,-0.010914462
3297,0.008107185,-0.037713267,0.089133
3813,-0.48998576,0.72762746,-0.15122536
2210,0.27783605,0.1300658,-0.4718709
2895,0.0057124137,0.41772994,0.4842046
2468,0.76640624,0.14831877,-1.1407844
2729,0.45255792,-0.39602336,0.06426596
3542,0.5185963,-0.52381337,0.09984571
3885,0.32266837,-0.17586717,0.10150702
2601,0.5801999,1.051676,-2.0174649
3216,0.20808011,-0.2388086,0.07007239
2081,0.14820302,-0.1674016,0.027437866
2715,0.038236428,0.5418108,0.5203985
2460,0.5655876,0.08980489,-0.7455433
3360,0.4504934,-0.073610306,0.2241592
2832,-0.43554473,0.62429726,0.21066688
2616,0.20214681,-0.044617698,0.1700127
3931,0.84074193,0.36406425,-1.3519844
2550,-0.21834405,0.3767764,-0.014836431
2029,0.19164038,-0.1905179,0.0883548
3575,-0.17158733,0.28227884,0.12109172
2387,-0.2538266,0.33084765,0.015716795
2683,0.123985395,-0.062466986,0.1392328
3722,0.20236059,-0.18475695,0.024020279
3759,1.3873088,-0.45154724,-1.2703977
3504,1.2352695,-0.5254388,-0.9370074
2131,0.23727715,-0.18498495,-0.04348032
3321,0.036784522,0.11371162,0.040083542
3166,0.7892709,1.0396574,-2.2467256
2962,0.3695806,-0.26874015,0.108393714
3881,0.19656079,0.29548156,0.4475049
3827,-0.25227886,0.702141,0.43356523
3784,0.49846148,-0.1175974,0.3422837
2912,0.3208297,-0.33473918,0.01521093
3170,0.17806512,-0.09807402,0.078695595
2329,0.34179866,0.08081713,0.3549834
3685,0.1924138,0.32001895,-0.5756848
2982,-0.10581963,0.35871363,0.45940614
3937,0.060780555,-0.053155415,0.020262111
2011,-0.62119544,0.6900717,0.13404617
2619,0.24417008,-0.20815195,0.012909707
3221,1.39843,-0.74459094,-0.8530017
2829,0.032161523,0.012673251,-0.012966657
2213,-0.024449682,1.1144053,-1.2775035
2178,0.15560332,-0.1294368,0.081466705
3361,-0.31343475,0.41577062,-0.007960034
2098,0.33284917,-0.12839085,0.066061065
2819,0.2147909,-0.03566946,0.14420189
2147,-0.31233066,0.48305833,0.17000972
3691,0.11956672,0.0027061775,0.038017355
3172,0.054486446,0.054367293,0.23949288
3590,-0.8242069,0.87697953,0.0782789
3802,1.4927965,-1.1100326,-0.6067842
2418,0.08500837,-0.020357437,0.12838656
2916,0.16931908,-0.025799632,0.08941008
2885,-0.37385583,0.47426552,0.03083869
3846,1.8306737,-1.3152074,-0.73641837
3373,2.0352397,0.012739372,-2.6756046
2634,0.1189397,-0.099522084,0.09178304
2124,0.004552984,0.2775968,0.067626014
2586,-0.9981649,1.9570299,0.7998923
3707,0.7734101,-0.5908208,0.12909818
3844,0.93239856,-0.3489952,-0.7513122
3404,-0.45248222,0.6237912,0.15987168
2769,1.2673041,-0.4104944,-1.1583294
3363,0.81643647,0.658489,-1.8549697
3382,-0.19875854,0.27431536,0.056177713
3789,-0.17841768,0.17306066,0.06635928
2065,0.30841315,-0.03711891,0.28380674
3159,-0.10511124,0.3733828,0.261361
3906,0.12257709,0.40921178,0.4758085
2187,0.5353361,-0.3488614,0.07519979
3493,0.1778878,-0.05128704,0.19916129
3539,0.4699932,0.043115854,-0.5769841
3278,0.50178456,0.14067256,0.69746596
2671,0.12184297,-0.033948183,0.0494976
2732,-0.50990546,0.75827694,0.16094846
2635,2.419413,-0.74767655,-2.2787247
2678,0.58414966,-0.65629727,0.057669226
2882,0.04655827,-0.02637353,0.14118963
2046,0.122139655,-0.15442666,0.08777101
3358,-0.65905917,0.7361594,0.013132729
3478,0.38903293,-0.14914408,0.10366848
3725,-0.7424337,1.0182794,0.13104327
2023,0.013843501,0.38016108,-0.37912598
3518,-0.14084208,0.45635134,0.26341784
3833,0.7405071,-0.6458322,-0.15488462
3356,0.6530164,-0.6895096,0.007762098
2050,-0.14870255,0.29471475,0.13988872
3848,0.039306212,-0.029585075,0.026742315
2102,0.7444121,-0.72794956,-0.08545599
3407,0.50735927,-0.47987023,-0.08099421
3657,0.4133961,-0.38989842,-0.050028734
2522,0.04226197,0.06963058,0.011871196
2835,0.3274513,-0.38836282,0.06206558
3335,0.09397638,0.1841942,-0.2993736
2146,1.1223171,0.55198276,-1.9681605
2048,0.061035883,0.13805798,0.17024265
3601,0.18466377,0.17506641,0.25431257
3569,-0.10407104,1.6863683,-1.4460359
2834,0.33078727,-0.12847313,0.16059461
3359,0.7767237,-0.6555623,0.040369973
3921,0.40758228,-0.23591268,-0.052120715
3414,0.8228598,-0.82669896,-0.04347706
2250,0.6471345,-0.6826663,0.052194156
3531,0.3650426,-0.2503881,0.056909207
2622,0.34675294,0.0137170255,-0.40519923
3184,1.8905406,-0.31120214,-2.0747592
3146,0.19009104,0.24300787,0.44330814
3116,0.6440426,-0.17701197,-0.58151376
2292,-0.343242,0.5273955,0.26446903
2767,0.8946224,1.1768702,-2.529515
3260,0.50770247,-0.4899353,-0.03373566
3261,0.6523717,-0.66385144,0.040872253
2218,0.49831644,-0.4948263,0.14158459
2106,-0.45566648,0.43361515,0.15250598
3316,0.92325675,1.1799784,-2.5850194
3524,0.4077013,-0.22961485,0.06444222
3236,-0.20523508,0.42704087,0.14306837
2380,0.88934684,-0.1598165,0.6899152
2581,1.2110727,-0.73630434,-0.7020607
3732,0.036993146,0.62692446,0.67415494
2930,0.03649547,0.21306196,0.21623941
3114,0.36123174,0.12488909,-0.5611803
3787,0.06174664,-0.054305512,0.05631279
2529,-0.52733415,2.208562,-1.8759
3826,0.11552987,-0.085192405,-0.004637249
2291,0.34526366,0.6864365,1.1565465
3513,0.5215083,-0.4807815,0.1156063
3109,-1.0803646,1.2397888,0.10249454
2590,0.5918837,0.9410736,-1.8867002
2961,0.19874883,-0.17980237,0.033338647
2555,1.4331207,0.21055393,-2.0922132
2021,0.9353893,-0.5908798,0.39014098
2304,-0.18687354,0.3203972,0.09384644
3090,0.3279229,0.29343915,-0.77125156
2150,0.05505747,-0.051756643,0.058193408
