,y
2788,1.0
2928,1.0
2293,0.0
2381,1.0
3655,1.0
2469,1.0
3297,1.0
3813,0.0
2210,0.0
2895,0.0
2468,1.0
2729,0.0
3542,1.0
3885,1.0
2601,0.0
3216,0.0
2081,0.0
2715,1.0
2460,0.0
3360,1.0
2832,1.0
2616,1.0
3931,0.0
2550,0.0
2029,0.0
3575,1.0
2387,0.0
2683,0.0
3722,1.0
3759,1.0
3504,1.0
2131,1.0
3321,1.0
3166,1.0
2962,0.0
3881,0.0
3827,1.0
3784,1.0
2912,1.0
3170,1.0
2329,1.0
3685,1.0
2982,1.0
3937,0.0
2011,1.0
2619,1.0
3221,0.0
2829,0.0
2213,1.0
2178,1.0
3361,0.0
2098,0.0
2819,0.0
2147,0.0
3691,1.0
3172,1.0
3590,0.0
3802,0.0
2418,1.0
2916,1.0
2885,0.0
3846,0.0
3373,0.0
2634,0.0
2124,1.0
2586,0.0
3707,1.0
3844,1.0
3404,1.0
2769,1.0
3363,1.0
3382,0.0
3789,1.0
2065,1.0
3159,0.0
3906,0.0
2187,1.0
3493,1.0
3539,1.0
3278,1.0
2671,0.0
2732,1.0
2635,1.0
2678,0.0
2882,1.0
2046,1.0
3358,1.0
3478,1.0
3725,0.0
2023,0.0
3518,0.0
3833,0.0
3356,0.0
2050,0.0
3848,1.0
2102,1.0
3407,1.0
3657,0.0
2522,1.0
2835,1.0
3335,1.0
2146,0.0
2048,1.0
3601,1.0
3569,0.0
2834,1.0
3359,1.0
3921,1.0
3414,1.0
2250,1.0
3531,1.0
2622,0.0
3184,0.0
3146,1.0
3116,0.0
2292,1.0
2767,0.0
3260,0.0
3261,1.0
2218,1.0
2106,1.0
3316,0.0
3524,1.0
3236,0.0
2380,0.0
2581,0.0
3732,1.0
2930,0.0
3114,1.0
3787,1.0
2529,0.0
3826,1.0
2291,1.0
3513,0.0
3109,1.0
2590,0.0
2961,0.0
2555,1.0
2021,1.0
2304,0.0
3090,0.0
2150,1.0
3197,1.0
3709,1.0
3533,1.0
2364,1.0
3053,1.0
2031,0.0
3073,1.0
3949,1.0
3188,1.0
3326,1.0
2781,1.0
3893,0.0
3603,0.0
3502,1.0
3692,1.0
3690,0.0
2105,1.0
2414,1.0
2013,0.0
3441,1.0
2436,0.0
3902,1.0
2079,1.0
2552,1.0
2768,1.0
3062,1.0
3953,1.0
2884,0.0
2072,1.0
2159,0.0
3355,0.0
2138,0.0
2403,0.0
2318,1.0
3808,0.0
2626,1.0
3490,0.0
3954,1.0
3806,1.0
3255,0.0
3607,1.0
2588,1.0
3228,0.0
3962,1.0
3049,1.0
2659,1.0
2407,1.0
2539,0.0
3899,0.0
3933,1.0
3402,0.0
2154,1.0
3306,0.0
2914,1.0
2630,0.0
3435,1.0
2464,0.0
2287,0.0
