,x1,x2,x3
3327,-0.48975295,1.2629403,-0.84857255
3973,0.82102376,-0.28167552,-0.67683107
3058,0.11849612,0.036463536,0.13580112
3435,0.26509887,-0.17400089,0.08550275
3876,0.5433607,-0.01267308,-0.12894875
3155,0.5610018,0.1378248,0.591913
3343,-0.030790687,0.15076867,0.14982082
2297,0.27101737,-0.2264284,0.34777367
3931,1.240742,-1.2359357,0.14801577
3707,0.6734101,-0.69082075,-0.3709018
2725,0.09067674,1.0728606,-1.3445662
3500,0.014405012,0.6274808,-0.69724286
3715,0.36825457,-0.24016157,0.21921341
2397,-0.15443385,0.28470522,0.21047536
3004,0.25221872,-0.16619551,0.011372782
2398,0.12142835,0.7939975,-1.066956
2884,-0.097334065,0.35613436,0.3113337
3221,0.09843004,-0.04459095,0.04699814
3383,0.61924565,-0.14181834,0.57364047
2786,0.050276708,-0.023422519,0.040768284
2321,0.49153894,-0.37822938,0.14135748
2724,-0.08882681,0.117134705,0.010910874
3170,-0.021934884,-0.098074034,0.17869556
3299,-0.3349417,0.42273897,0.20262232
2559,0.1757094,-0.059423752,0.037664272
3865,-1.1910582,1.3764656,0.18212166
3380,0.23814514,-0.10552253,-8.276105e-05
3459,0.23803425,-0.29838395,0.12999041
2050,0.65129745,1.0947148,1.7398887
2428,1.2679485,1.0272309,-2.8495028
2294,0.35703412,0.71335614,-1.2777131
3646,-1.0090466,1.1715562,0.16105513
3988,0.46461418,-0.35534742,0.14177775
3502,-0.29101604,0.43473476,0.10713009
2635,0.519413,2.4523234,-3.5787249
3506,0.2062044,-0.15839294,-0.16374044
2044,-0.088071816,0.18604343,0.12403741
2740,0.034202643,0.041111037,-0.05521985
3705,0.53287786,-0.41409034,0.059082735
2268,-0.7617451,0.86832404,0.14498179
3302,-0.19205183,0.16993058,0.07971937
2520,0.66170245,-0.59870577,0.15890518
2254,0.042311143,0.40065974,-0.52464896
2429,-0.41627246,0.43381378,0.05365222
3678,-0.09432078,0.2184213,0.10246022
2304,-0.38687354,0.5203972,0.093846425
3000,0.06226026,0.008180445,0.0038766637
3748,0.9255168,0.47748134,-0.83472544
3429,0.5889376,1.2642436,-0.28039664
3218,0.27816287,-0.3195815,0.11113256
2466,0.8974329,0.8740723,-1.0020549
2420,0.60392314,-0.47699174,0.16022585
3787,0.16174664,-0.15430552,0.056312796
3426,0.57098925,-0.23624438,0.17655723
3832,0.17513876,-0.04014672,0.120206006
3448,0.22422469,-0.19818792,-0.022971964
3245,0.49241877,0.49864024,-1.2133596
