,y
2648,1.0
2667,1.0
3239,0.0
3916,0.0
3319,0.0
3722,1.0
2117,1.0
3093,1.0
2539,0.0
3536,0.0
3740,0.0
2262,1.0
3896,0.0
3230,0.0
3313,1.0
3166,1.0
2099,0.0
2145,1.0
2780,0.0
3265,1.0
2713,1.0
2977,0.0
3315,1.0
2812,0.0
3488,0.0
3881,0.0
3478,1.0
3159,0.0
3360,1.0
2152,0.0
2460,0.0
2631,0.0
2407,1.0
3482,0.0
3636,1.0
3842,1.0
2387,0.0
2204,1.0
2130,1.0
3966,1.0
3784,1.0
3049,1.0
2258,0.0
2079,1.0
3598,0.0
2752,1.0
3816,1.0
2650,1.0
2361,1.0
2266,1.0
3713,0.0
2326,0.0
2522,1.0
3497,1.0
2884,0.0
3639,1.0
2583,1.0
2052,1.0
3596,0.0
2449,1.0
3644,1.0
2937,1.0
3013,0.0
2627,1.0
3797,0.0
3543,1.0
2164,1.0
3967,1.0
2183,0.0
2285,0.0
3481,1.0
3016,0.0
2762,1.0
2613,0.0
2423,0.0
3031,1.0
3490,0.0
2560,1.0
3885,1.0
3957,1.0
3363,0.0
3985,0.0
3602,0.0
2845,0.0
2316,0.0
3736,1.0
3305,0.0
3339,1.0
3344,1.0
3533,1.0
2434,0.0
2584,1.0
3399,1.0
3601,1.0
3435,1.0
3449,0.0
2321,1.0
2520,0.0
2820,0.0
2010,0.0
2832,1.0
2519,0.0
3902,1.0
2523,1.0
2469,1.0
2059,0.0
2652,0.0
3128,0.0
2280,0.0
2944,1.0
2415,0.0
2870,1.0
3059,1.0
3184,0.0
2296,0.0
2091,0.0
3383,1.0
3948,1.0
3197,1.0
3989,0.0
3445,0.0
2638,1.0
3441,1.0
2582,0.0
3382,0.0
3284,0.0
3475,1.0
3641,0.0
2649,0.0
2483,1.0
2482,1.0
3328,1.0
3697,1.0
2675,0.0
3341,0.0
2894,0.0
3921,1.0
3919,0.0
2892,0.0
3327,0.0
3671,0.0
2074,0.0
3210,0.0
3721,1.0
3527,1.0
2918,1.0
2664,0.0
3712,1.0
3563,1.0
2852,1.0
3851,0.0
2622,0.0
2610,1.0
3297,1.0
2840,0.0
3840,0.0
2025,0.0
2866,1.0
3965,1.0
2859,0.0
3429,1.0
3378,1.0
3002,0.0
2190,1.0
3074,0.0
3706,0.0
2414,1.0
2397,0.0
3100,0.0
2829,0.0
2471,1.0
3962,1.0
3660,0.0
3467,1.0
3072,1.0
3333,1.0
3588,1.0
3512,1.0
2344,0.0
2751,0.0
2102,1.0
2881,0.0
3306,0.0
2154,1.0
2986,1.0
2605,0.0
2819,0.0
2416,1.0
2916,1.0
3443,1.0
2172,1.0
2794,1.0
3152,0.0
2836,1.0
2404,1.0
2484,0.0
2635,1.0
3473,1.0
3856,0.0
2777,0.0
