,x1,x2,x3
3930,0.93685466,0.031240273,1.0017129
2522,0.04226197,0.26963058,1.3118713
3500,1.414405,-0.27251935,-0.59724283
2230,0.8104794,1.3881807,0.6422878
3652,0.85462254,-0.11685413,0.8655285
2106,0.8443335,1.7336152,0.45250598
3416,-0.3284898,1.170555,0.8019698
3749,0.23320846,0.57817894,0.98141927
3715,0.46825457,0.35983843,0.8192134
2767,0.8946224,-1.1231298,0.17048493
2050,0.85129744,1.2947147,0.33988866
2254,0.94231117,0.20065975,0.57535106
3401,0.8235262,0.48167032,1.3820939
3027,0.6567812,1.931064,0.72731096
3404,0.047517776,0.8237912,0.7598717
2508,0.554789,0.19035797,0.94905424
2410,0.67540073,0.46221495,1.1247708
2684,0.9880048,-0.18949561,0.84764874
3377,0.9754166,0.19548124,1.0260122
3278,0.8017846,0.44067258,1.297466
3871,0.71386087,1.2174501,2.015538
3941,0.7697339,0.16626339,0.7003202
2942,0.52626693,0.37528998,0.9669553
2452,0.83251464,0.16399002,0.37830985
2698,0.8424572,2.1966405,2.8960316
3787,0.76174664,0.4456945,1.2563127
2374,0.7333617,0.49544507,1.2554799
2130,0.18702696,0.40215158,0.9508486
3990,0.35688835,0.24356851,1.6075158
3948,0.74690723,1.5392137,2.2871287
3177,0.56762385,1.4817641,0.89961857
3639,0.08097069,0.9320282,1.0723996
2533,0.818423,2.1463187,0.4434766
2187,-0.16466394,0.85113865,0.9751998
3784,0.6984615,0.08240259,0.7422837
2545,0.28302103,0.39292568,1.0262935
3702,1.064246,-0.33114374,-0.13552597
2881,0.28772518,0.16458666,1.2511408
3106,1.1337823,0.3350945,0.045211524
3573,0.91652215,-0.014649605,0.96226674
2678,0.8841497,-0.35629725,0.35766923
2402,0.7927687,0.47829434,1.3844352
2747,0.2720819,0.56884396,0.83688366
3004,0.05221872,0.8338045,0.81137276
2696,-0.021881629,0.6006826,1.1219169
3817,0.8548132,1.8129646,2.5257382
2716,-0.03888197,0.9407436,0.87315273
2671,0.82184297,0.26605183,1.0494976
3942,0.7167197,0.665192,1.3530842
2641,0.7933998,0.26427424,1.2539828
2724,0.8111732,0.9171347,1.7109109
2082,0.7030597,1.9247468,2.7269683
3402,0.32823086,0.7377297,0.6464446
2760,0.90812016,1.981629,0.3750885
2904,-0.004549193,0.92444324,0.7726494
3974,0.74660814,0.39196095,1.0404444
3407,0.7073593,-0.9798701,-0.38099402
3153,0.074787065,0.057392754,1.5593399
3165,1.9170316,1.4941318,-1.7449744
2484,0.6200538,-0.308779,0.95788276
3472,0.72542816,0.96552247,1.8136698
2487,0.25004154,0.12463913,1.3689159
3206,-0.23883648,1.0780724,0.89344394
2560,0.70114756,0.81534123,1.4378324
3913,0.50439006,0.84585875,0.39945802
3836,0.8185466,0.4253946,1.2365657
2563,0.4241531,0.4566226,0.7516552
2474,-0.0382969,0.24630423,1.4134854
3813,0.41001424,0.52762747,0.9487747
2132,0.9939253,0.67512816,0.06237042
2609,0.6653455,0.42733198,0.9625216
3940,1.0381365,-0.30445376,1.0209422
3963,0.21152306,0.592493,0.9548693
3841,0.8627099,0.05930686,0.9447127
2184,1.6750538,1.2651412,-0.99015284
3739,0.6855191,-0.70114005,0.9547174
3954,0.12013195,0.6474401,0.92730683
2652,0.8074173,-0.087167904,0.9709672
3214,0.5196911,1.8346401,0.8631739
2311,0.98766756,0.5314034,0.1989344
3899,-0.5554271,1.4313608,0.8329365
3582,-0.30970418,1.1490403,0.6508871
2949,0.32569548,0.41497815,0.7435925
3463,0.3722565,0.506971,0.79996043
2164,0.39641088,0.56978583,0.7590406
2805,0.71917427,0.76445466,0.8095331
2398,0.42142835,0.4939975,0.83304393
2442,0.8073847,-0.6371262,0.61496985
3933,0.68088275,0.5690845,0.47921178
3722,0.7023606,0.31524304,1.0240203
3212,0.67921585,0.42130375,1.0702549
3072,0.82425964,-0.69490516,0.10974429
2829,0.7321615,0.71267325,1.2870333
2346,1.0328275,-0.22415733,0.9520637
2603,0.26191115,0.40141472,0.9636552
3391,0.7419155,0.15430713,0.6364241
2253,-0.17136429,-1.3745111,2.3754396
2091,-0.13683383,0.8436645,0.92904985
2099,0.9814823,-0.101423815,0.8695692
3441,0.4815301,-0.7213031,1.1327459
2065,0.40841314,0.06288108,1.0838068
3707,0.7734101,-0.5908208,0.12909818
2302,0.6075409,0.32732856,0.69171584
3197,0.6308468,0.33759123,1.1217701
2307,0.9851441,-0.018333841,0.7425764
3233,0.7124305,0.79735875,0.53669226
2812,0.71498436,-0.36886472,0.28286257
3544,0.4790252,0.58106554,1.0703319
3518,0.7591579,1.3563514,0.66341794
3339,0.16555361,0.4544874,1.0710917
3498,0.65777045,0.7425122,0.7555728
3513,0.72150826,-0.2807815,0.5156063
3085,0.40225524,0.4248267,0.84143263
3199,-0.075437285,0.9190637,0.8863055
3066,0.8936523,0.6342775,1.4680539
3376,0.8675805,-0.56635255,0.19701946
3013,0.9731388,-1.1292043,-0.32883775
3172,1.2544864,1.2543672,0.13949287
2483,0.22360231,0.59045595,0.7987034
3065,0.8085279,1.6123538,0.4251069
2552,0.065437935,0.58591515,1.0383788
3062,0.15054701,0.15118793,1.4006968
2793,0.7472265,0.9872467,1.8440424
3614,0.8446614,-0.7253203,-0.040600583
3201,0.15777855,0.48875242,1.0768588
2878,1.451482,-0.53450143,0.92371565
2261,0.937976,-0.07612598,0.1650422
2229,-0.43937883,1.0110395,1.177235
2820,0.5523118,0.33377987,0.89946264
3127,0.30616444,0.4374022,0.91800636
3358,0.04094081,0.43615937,1.2131327
2794,1.3950732,-0.4731463,0.850389
2359,0.7844989,1.2874384,2.0364397
2622,0.7467529,0.413717,0.69480073
3563,1.1987467,1.2981113,-0.27005163
2081,0.848203,0.0325984,0.92743784
2939,0.8042111,0.9092892,0.8631095
2462,0.29567012,0.4881652,0.9564065
3831,0.6449658,1.2975585,0.68434685
2909,-0.39265814,1.3080229,0.87822497
2316,0.8151783,0.7137488,1.6573268
2344,0.27185684,0.089973666,1.2909775
2546,1.2420212,-0.5918306,-0.54591024
2856,0.7687875,1.1039832,0.9122624
2827,1.2848233,-0.45038542,0.73776406
3797,0.93813056,1.3606215,0.038985442
3041,0.12737814,0.5719555,0.9025593
3785,0.09839561,0.7347311,0.8558075
2298,0.80023855,0.9520196,1.7710128
3515,0.7116043,-0.2218849,0.49864388
2304,0.81312644,1.3203971,2.0938463
2364,0.026812816,0.5213342,1.1571221
3789,-0.07841768,1.3730607,0.3663593
3286,0.5397174,1.0377331,0.841257
2823,0.9040268,0.21283388,1.1003362
3885,0.22266836,0.42413285,1.0015068
3989,0.41552922,-1.1019331,2.280499
2406,0.7078739,1.0687115,1.9067763
2357,0.42015612,0.3281533,0.9413912
2255,1.0878285,-1.3438448,-0.32628816
3840,0.64853466,-0.4858247,0.012010157
2473,0.22140747,0.636941,0.8446725
3602,0.8529677,-0.014407945,0.96639025
3151,0.8506914,-0.0008240938,0.7568325
2204,0.7959641,0.72208595,1.4702077
3523,-0.23778668,0.34689316,1.5968637
3520,0.6589042,0.06669116,1.0308092
3553,0.38345313,0.4194623,0.81456316
2734,0.09604967,0.34114075,1.0530715
3833,0.84050715,-2.245832,0.54511535
3914,0.74766874,0.554456,0.262455
2893,0.8081533,0.2125057,0.9804159
2943,0.7822151,1.0660865,0.6223404
2616,0.7021468,0.45538232,1.1700127
2021,0.53538924,0.40912014,0.9901409
3713,0.54185385,0.43111914,0.6195139
2614,0.6120824,0.5475999,0.73740876
3428,0.66800576,1.871357,0.79064924
3969,0.116557896,0.7442007,0.8365998
3343,0.7692093,1.0507687,0.84982073
3444,0.28918582,0.57352835,0.7828804
2177,0.9867686,-0.28452718,0.9755857
3275,1.1684928,-0.14601088,0.6518285
2147,0.78766936,1.5830584,0.57000965
3856,0.57600397,0.28913918,0.8943073
2839,0.70277876,0.54388,1.0437742
3100,0.8552362,0.04368093,0.80514103
3835,0.72657585,1.3274305,2.1117911
3327,0.41024703,0.16294026,1.1514275
2537,-0.30190167,1.1715986,0.6684664
2095,0.69227743,1.2460835,0.9812646
3108,-0.1284082,0.73971856,1.031564
2928,0.43251643,0.59709007,0.6803791
2648,0.9112801,-1.1432333,1.9963225
3896,0.73850137,-0.24123895,0.42144066
2656,0.7900342,0.15604413,0.7882599
3380,0.7381452,0.1944775,0.7999173
3539,0.7699932,-0.75688416,1.6230159
2638,1.0448494,0.40916407,0.22019848
3352,0.7278658,0.41641498,1.2132853
