,y
3930,1.0
2522,1.0
3500,0.0
2230,1.0
3652,1.0
2106,1.0
3416,1.0
3749,1.0
3715,1.0
2767,0.0
2050,1.0
2254,0.0
3401,1.0
3027,1.0
3404,1.0
2508,1.0
2410,1.0
2684,0.0
3377,1.0
3278,1.0
3871,1.0
3941,1.0
2942,0.0
2452,1.0
2698,1.0
3787,1.0
2374,1.0
2130,1.0
3990,1.0
3948,1.0
3177,1.0
3639,1.0
2533,1.0
2187,1.0
3784,1.0
2545,1.0
3702,0.0
2881,1.0
3106,0.0
3573,1.0
2678,0.0
2402,1.0
2747,1.0
3004,1.0
2696,1.0
3817,1.0
2716,1.0
2671,0.0
3942,1.0
2641,1.0
2724,1.0
2082,1.0
3402,1.0
2760,1.0
2904,1.0
3974,1.0
3407,1.0
3153,1.0
3165,1.0
2484,1.0
3472,1.0
2487,1.0
3206,1.0
2560,1.0
3913,0.0
3836,1.0
2563,0.0
2474,1.0
3813,0.0
2132,1.0
2609,1.0
3940,1.0
3963,1.0
3841,1.0
2184,1.0
3739,0.0
3954,1.0
2652,1.0
3214,1.0
2311,1.0
3899,1.0
3582,1.0
2949,1.0
3463,1.0
2164,1.0
2805,1.0
2398,1.0
2442,1.0
3933,1.0
3722,1.0
3212,1.0
3072,1.0
2829,0.0
2346,1.0
2603,1.0
3391,1.0
2253,1.0
2091,1.0
2099,1.0
3441,1.0
2065,1.0
3707,1.0
2302,1.0
3197,1.0
2307,1.0
3233,1.0
2812,0.0
3544,1.0
3518,1.0
3339,1.0
3498,1.0
3513,1.0
3085,1.0
3199,1.0
3066,1.0
3376,0.0
3013,0.0
3172,1.0
2483,1.0
3065,0.0
2552,1.0
3062,1.0
2793,0.0
3614,1.0
3201,1.0
2878,1.0
2261,1.0
2229,1.0
2820,1.0
3127,0.0
3358,1.0
2794,1.0
2359,1.0
2622,0.0
3563,1.0
2081,1.0
2939,1.0
2462,0.0
3831,1.0
2909,1.0
2316,1.0
2344,1.0
2546,0.0
2856,1.0
2827,1.0
3797,1.0
3041,1.0
3785,0.0
2298,0.0
3515,0.0
2304,1.0
2364,1.0
3789,1.0
3286,1.0
2823,0.0
3885,1.0
3989,1.0
2406,1.0
2357,0.0
2255,0.0
3840,0.0
2473,1.0
3602,0.0
3151,1.0
2204,1.0
3523,1.0
3520,1.0
3553,1.0
2734,1.0
3833,0.0
3914,1.0
2893,1.0
2943,1.0
2616,1.0
2021,1.0
3713,0.0
2614,0.0
3428,1.0
3969,0.0
3343,1.0
3444,0.0
2177,1.0
3275,1.0
2147,0.0
3856,1.0
2839,1.0
3100,1.0
3835,1.0
3327,1.0
2537,1.0
2095,1.0
3108,1.0
2928,1.0
2648,1.0
3896,0.0
2656,1.0
3380,1.0
3539,1.0
2638,1.0
3352,1.0
