,x1,x2,x3
3447,-2.0909138,-0.08009267,-2.1445231
3040,-0.13965867,-1.0966816,-1.2932792
2492,-0.80863965,-0.30701846,-1.137147
2500,-1.3034891,-1.4157413,-2.60052
3281,-0.8655913,0.32907307,-0.34708756
2408,-0.8788206,-0.8114221,-1.5892153
2867,-1.1533502,-1.2978448,-2.401002
2219,-0.6272575,0.14822751,-0.7074599
3767,-1.1271852,-0.10023475,-1.1817427
2859,-0.29777592,-1.3642304,-1.6178887
3160,-0.20789891,-1.6089721,-1.8679965
2308,-0.5244308,-0.25550738,-0.81882507
2069,0.30912286,-1.520457,-1.06857
2743,-0.55002165,-2.1007373,-2.5577307
3380,-1.1363751,-2.7629838,-4.1908054
3398,-1.5886179,-3.1955185,-4.7045956
3715,-0.60285497,0.005550146,-0.7942401
3982,-0.8705809,0.07923567,-0.7345244
2329,-0.29647517,-0.11230184,-0.45355338
2007,-0.6790919,0.19292235,-0.45156372
2729,-0.47025663,-0.13660112,-0.4113689
3358,-0.15791027,-0.2998798,-0.5599335
2225,-0.63142645,-2.0722277,-2.7304738
3121,0.5424513,-1.9590487,-1.3257556
3395,-0.24453759,-0.49669722,-0.78872794
2393,-0.71875244,-2.8723986,-3.6782875
2651,-0.071555324,-3.2554193,-3.3938303
2583,0.76294166,-0.8530831,-0.15831384
2643,-1.0650746,-1.2445232,-2.3951325
2322,-0.045709185,-0.59198195,-0.5980285
2862,-0.18944581,-1.2832334,-1.534257
2977,-1.930258,-1.4391308,-3.275421
2327,-1.6477189,-0.9914131,-2.7393472
2619,-0.9823134,-1.073731,-2.1251287
3063,-1.7808967,-0.8530176,-2.5990255
3509,-1.510208,-0.24162543,-1.7788881
2470,-0.09969208,-1.0106095,-1.0522548
3446,-0.072075106,-0.545961,-0.568798
3512,-0.30025542,-0.64802265,-0.96863824
2306,0.08874656,-0.9025644,-0.7384775
3701,-0.025842685,-0.50209755,-0.66350734
3890,-1.2637252,-0.9958488,-2.463847
2625,-0.45288453,-0.86539114,-1.4139613
3734,-0.59116226,-0.29405397,-0.90333277
2942,0.20063889,-0.61904377,-0.4870442
2819,-0.8038619,0.05410391,-0.8303753
2673,-1.9239149,-3.0336156,-4.914009
3248,-0.63977283,-0.47027615,-0.8290576
3132,-1.2338727,-1.6045662,-2.8621557
3265,-0.964128,-2.5472136,-3.4901779
2107,-0.84369344,-1.3952883,-2.363827
2838,-0.9386332,0.42369628,-0.7190159
3840,0.23679806,-0.9319453,-0.5487263
2547,-0.85932904,0.4686727,-0.51582676
3106,-0.38758132,-0.244867,-0.6302694
2269,-1.3192569,-2.032489,-3.2123375
3634,-0.575918,-0.37399173,-1.1381273
2715,-0.22528894,-0.63353527,-0.74980104
2870,-0.56580675,-2.148882,-2.6869018
3436,-0.6541472,-0.6569715,-1.261149
2272,-1.4348944,-2.5652559,-3.9254572
2809,-1.9728491,-1.7007403,-3.6446073
3670,-0.27989352,-2.489612,-2.752697
3295,-0.76358604,-1.8910276,-2.7541893
2406,-0.74410194,0.5457372,-0.108552225
3783,0.33899236,-1.1218698,-0.57935214
3403,-0.6147163,-1.2819774,-2.0785067
2679,0.57475114,-0.7498013,-0.085532345
3001,-0.70260376,-1.2372508,-1.90831
2863,-0.93308276,-1.1672921,-2.186764
3006,-0.018321196,-1.0028911,-1.0684909
3114,-1.5036848,-2.0547829,-3.6949754
3323,-0.25403276,-0.06738159,-0.09525432
3146,-0.15113099,-0.7271534,-1.0150568
2212,-2.5932975,-3.2591317,-5.920363
2151,-0.063444674,-0.9430485,-0.9579314
2141,-1.7367575,-1.6113642,-3.3935509
3152,0.6286232,-0.6329648,-0.05164061
2090,0.010032901,-1.438633,-1.5447412
2719,-0.9855023,-1.2692883,-2.3907866
2534,-0.16550404,-1.4408855,-1.7252496
3182,-1.5687562,-0.55879986,-2.164811
3559,0.41003084,-1.1820096,-0.6510987
2360,0.064394005,-0.29645652,-0.3198236
2567,-0.11733983,-1.9876223,-2.1955593
2249,-1.3094652,-1.1164562,-2.37187
3507,-0.52449596,-2.349244,-2.9156747
2610,0.05856659,-0.31512418,-0.29293996
2101,-0.46869153,-0.58020294,-0.9015222
3637,-0.13240692,-1.5113848,-1.3716569
