,x1,x2,x3
2931,-0.0,1.4,3.6
3910,-0.0,-0.0,0.5
2285,-0.0,0.0,0.9
2474,0.0,0.4,1.4
3890,0.4,0.1,3.2
2187,0.6,1.3,2.6
3198,0.0,0.0,0.5
3138,0.1,0.0,5.2
3857,-0.0,0.9,2.0
3068,-0.0,1.1,3.4
3484,-0.0,-0.0,0.6
3039,-0.1,0.0,1.6
3447,0.9,0.0,2.6
3535,0.1,0.0,0.9
3891,-0.0,0.1,0.8
3631,0.1,0.4,1.3
3945,0.0,0.0,3.6
2354,0.2,0.1,3.8
3723,0.4,1.7,5.1
2100,0.2,1.0,4.9
2374,0.4,0.1,0.2
3637,-0.0,0.3,2.0
3696,-0.0,0.0,0.3
2519,0.2,1.1,3.2
3122,0.1,1.0,2.6
2033,-0.0,-0.0,0.3
3991,0.9,-0.0,1.8
2701,-0.0,0.1,0.5
3385,0.3,1.6,3.8
2389,-0.0,0.0,4.6
2242,-0.0,0.3,3.5
2059,0.0,0.0,0.7
2154,0.2,0.6,3.2
2083,0.5,1.4,3.9
3815,0.2,0.0,0.2
2968,-0.0,-0.0,0.1
3105,0.2,0.1,0.6
3296,0.2,0.1,1.5
3781,0.0,-0.0,0.1
3280,0.0,0.3,2.1
3002,0.0,-0.0,2.3
2075,-0.0,0.0,1.1
3304,0.2,1.0,3.6
2254,0.0,0.2,0.2
3538,-0.1,0.3,4.7
3568,1.5,0.7,4.6
2200,-0.0,-0.0,2.2
2585,0.7,0.4,1.5
3142,0.1,0.2,0.3
3375,0.0,-0.0,4.2
2987,-0.0,0.2,0.5
2845,-0.0,0.4,2.1
3707,0.0,0.1,0.6
3900,0.0,0.0,0.2
3497,0.0,0.0,5.1
3956,0.9,1.5,5.3
3506,0.3,-0.0,2.1
3634,0.2,0.1,1.4
2487,0.2,-0.0,3.6
3256,0.0,0.2,3.1
3886,0.2,0.7,2.6
2563,0.5,0.2,3.6
3581,0.1,0.0,1.3
2965,0.0,0.6,2.7
2521,0.1,0.0,0.4
2798,0.2,0.5,1.4
3399,-0.0,-0.0,1.4
3351,-0.0,0.0,0.4
3524,0.3,0.2,3.0
2353,0.2,0.1,1.4
2576,0.3,0.0,0.9
2430,-0.1,0.0,3.7
3031,0.0,0.0,0.4
3953,-0.0,0.1,0.7
3952,1.4,0.2,5.1
3694,0.0,0.0,0.7
3829,0.5,0.7,4.0
3670,0.3,1.1,3.4
2666,0.3,0.1,3.2
3460,0.3,0.2,1.9
3618,0.1,2.1,4.3
3982,0.2,0.1,0.9
3703,0.0,0.0,0.1
2198,-0.0,0.3,4.2
3473,0.1,0.0,0.1
3456,-0.0,0.5,2.3
2019,0.7,0.3,2.7
3788,0.0,2.3,3.9
3591,0.3,0.1,1.4
3248,0.2,0.0,1.2
3747,0.6,0.1,2.5
2348,0.1,0.9,1.0
3797,0.0,0.0,0.4
3130,0.1,0.2,1.1
3255,-0.0,0.0,3.1
3197,0.0,-0.0,1.0
