,x1,x2,x3
2024,-0.7734127,-1.2143513,-1.9426726
3192,-0.76617634,-0.49925315,-1.3420761
3952,-1.3883336,-1.0460862,-2.575212
3285,1.0200899,-1.941683,-0.9061857
3813,0.11910692,-0.7074909,-0.63995785
3388,-1.0251256,-1.0276911,-2.086261
3110,-0.8924496,-1.134134,-2.1403508
2345,-1.1653185,-2.1715345,-3.2956786
2315,-0.8127379,-0.23337555,-1.1142883
3574,-1.5099343,-0.34403074,-1.735021
2627,-1.2827532,-1.6601738,-3.0175757
3832,0.12080741,-1.0477668,-0.91386396
3413,-0.85571486,-1.7566075,-2.5997105
2132,-0.38792634,-0.711305,-0.99275124
2510,-0.5729493,-0.66330826,-1.2348582
2093,-0.76806796,-1.2499335,-2.0543265
2263,0.22980052,-1.9569962,-1.7371091
3298,-1.5475788,-1.8759822,-3.4138691
3134,-1.1185275,-2.2388992,-3.310149
2412,-1.3272496,-2.1478083,-3.444985
3560,-0.73870057,0.1775415,-0.6380311
3254,-0.26356173,-2.3037882,-2.7353036
3510,-1.279313,-2.958315,-4.202417
3936,-0.24893068,-1.3392915,-1.5811278
3699,0.5203221,-1.1010787,-0.5742687
2611,-0.34973225,-2.024932,-2.3774538
3233,-1.4345182,-3.0155764,-4.538376
3717,-0.7797482,0.04696852,-0.7263382
3073,-1.1856387,-0.08593595,-1.297149
3796,-0.31009826,0.2475572,-0.0687882
2781,-1.3688434,-0.47817296,-1.8812389
2267,-0.65429413,-3.799542,-4.388356
3798,0.056955695,-0.82115185,-0.8622986
3633,-1.0203884,-0.44766247,-1.5079528
3142,-0.94323087,-1.2800696,-2.2441006
2357,-0.26098087,0.06981033,-0.14277361
3878,-0.53301907,0.44933522,-0.16902593
3076,-0.7064416,-0.4687854,-1.2038473
3040,-0.4530176,-0.6704093,-1.1331036
2788,-0.45440996,-0.50639814,-0.97375274
3770,0.2134687,-0.111453414,-0.03866622
3635,-0.9734681,-3.0379233,-3.8414793
2327,-0.48105094,-2.4281664,-2.9415364
2622,-0.33010244,-0.07472095,-0.4413015
2641,-0.66397834,-1.8517404,-2.4599144
2660,-0.23236267,-1.1721897,-1.4913688
2275,-0.88954765,-0.9380628,-1.7902275
2140,-1.0677862,0.017165303,-0.8559814
3092,-0.21769983,-0.13375303,-0.19263153
2009,-1.3972527,-1.2707555,-2.6553707
2145,0.028385775,-1.6911321,-1.6189438
2882,-1.9449718,-0.3793769,-2.4288635
3777,-0.6482093,-1.6266751,-2.2248774
3565,-0.4305134,-0.47470787,-0.8174399
2213,-0.707149,-1.2913885,-1.934601
3034,-0.3946261,-1.3444735,-1.6883001
2420,-1.5912566,-3.107454,-4.6661673
2793,-1.7274865,-2.0732815,-3.58132
2461,-0.34961343,-2.6211185,-2.872454
3015,-2.0044928,-3.0607004,-5.0747514
2499,-1.091639,-0.6315505,-1.7551905
3383,0.21813725,-0.45874393,-0.37414956
3976,-0.6061132,-0.8936143,-1.6516068
2498,-0.5707218,-0.9219166,-1.6185682
2374,-1.3947866,-1.523872,-3.0250416
2214,-0.9630417,-0.9503304,-1.9169589
2323,-0.81635493,-0.9514693,-1.7990093
3779,-0.2525449,-1.4097469,-1.7582072
2846,-2.1029563,-1.9945797,-4.218762
3409,-0.9544715,-0.89662063,-1.9789627
2361,-0.023698043,-1.4264427,-1.4371438
3103,0.31213108,-0.5535542,-0.210631
3477,-0.87885135,0.47256237,-0.26485574
3904,0.55665666,-1.9810152,-1.6692721
3032,-0.9445165,-0.5996959,-1.6873342
2236,-0.35792473,-1.4670813,-1.8078448
2179,-1.9146245,-3.3817642,-5.1929293
3579,-1.8077346,-0.45892787,-2.2933612
2060,0.37768444,-0.84220743,-0.5654726
2509,-1.0476133,-0.9586186,-2.1065493
2019,-0.40095827,-1.9589907,-2.3468294
3478,0.44868225,-0.95836276,-0.5761728
2319,-0.7600261,-1.1110678,-1.7815526
3534,-0.43861842,-0.7346737,-1.1346596
2538,-0.25623134,-1.0008279,-1.1576457
2265,-1.5780494,-0.040475607,-1.5772079
3009,-0.83842015,-0.55876446,-1.4426415
2674,-1.7253872,-2.1965935,-3.7683043
2524,-0.88362813,-1.6432214,-2.5060635
2073,-0.38450077,-0.80292356,-1.1380272
3146,0.18115072,-1.6997478,-1.4882503
3669,-0.8189813,-0.5092268,-1.2170688
2134,-1.1738206,-3.5292683,-4.7831554
3676,-0.14903978,-1.091648,-1.2519912
2626,-0.25611275,-1.9501212,-2.1832602
2994,-1.6887758,-2.777742,-4.494682
2249,-0.41214517,-0.71159387,-1.1574839
3551,-0.4721932,-1.4618727,-1.9633466
2512,-0.4078715,0.11797431,-0.3521632
3965,-0.5702904,-1.9328992,-2.537571
2121,-0.5161005,-0.13886848,-0.79599446
3682,-0.50932735,-1.0637095,-1.5869031
2333,-0.8301209,0.4231503,-0.6660185
2969,-0.33115247,0.2600253,-0.13137335
2963,-0.1821412,-0.22702391,-0.4451978
3107,-1.627577,-1.3868014,-2.9751117
2181,-2.1072547,-2.851813,-5.124933
3066,-0.9516747,-0.24186128,-1.1435806
3588,-0.14406729,-0.052238777,-0.16382726
3993,-1.2910495,-0.40118468,-1.6632755
2468,-0.006147152,-0.85136044,-0.7455555
3883,-0.053099196,-0.11182338,-0.15025257
2814,0.1772822,-0.8970636,-0.8997215
2756,-1.2730002,-0.8138761,-2.0226276
3991,-1.1388196,-2.2170987,-3.3788738
3896,-0.836911,-0.6035657,-1.4850675
3564,-0.8420528,-1.0391902,-1.8385088
3650,-0.6535773,0.16117924,-0.4875772
3638,-1.0508107,-1.8325131,-2.8728855
3625,-0.8358308,0.12844294,-0.6117844
3736,-0.05233796,-2.3737838,-2.5161376
3100,-1.5678025,-2.0873716,-3.716524
3105,-0.5174276,-1.696517,-2.1595442
2098,-0.1776539,-0.39165467,-0.6924546
2447,-1.6434244,-2.5155163,-4.2806797
3865,-0.6622435,-0.9170269,-1.6042383
2242,-1.5164983,-2.5530524,-4.001818
2724,-0.33908084,-0.3549538,-0.68004864
3427,0.90497124,-1.1579059,-0.39899808
3515,-0.79740304,-0.76362854,-1.658146
3422,0.0065309852,-1.0649356,-0.97765374
3292,-0.28562686,-1.1116157,-1.3469698
3970,0.30252668,-0.9542744,-0.75091136
2088,-1.3108702,0.31912112,-0.91051316
3949,-0.20609927,-0.48854622,-0.59105366
2750,-1.7590877,-0.6493895,-2.5735636
2302,-0.4511,0.0058235824,-0.5022062
3858,-0.8049651,-1.507045,-2.2857087
2308,-0.63284224,-0.4710076,-1.1172013
3684,-0.99179363,-2.4990902,-3.521501
2758,0.22150794,-0.5308895,-0.3199173
2800,-1.0792626,-2.0681412,-3.184174
3795,-0.73555017,-0.09592199,-0.75494206
3658,-0.5952187,-0.59045345,-1.0683885
3344,-0.84231174,-0.9436145,-1.7123629
3558,-0.81214195,-2.0970874,-2.9804502
3467,0.08047182,-0.06685286,-0.025269922
2941,-0.61475456,-1.1274607,-1.7125909
2795,-0.5304414,-0.22712788,-0.79341763
2184,-0.2440792,-0.009757623,-0.21519051
3097,-1.0627342,-0.059093356,-1.2239844
3755,-0.91291773,-0.46276778,-1.3063692
2279,-0.65272737,0.2708097,-0.54478747
2996,-1.6752253,-2.4369202,-4.133465
3029,-0.055214316,-1.0411017,-1.2275823
2867,-0.37093174,-0.12210879,-0.4325824
2186,-0.70448834,-1.2834971,-1.9990426
3703,-0.5457441,-0.18232885,-0.5363601
3446,-0.16153508,-0.36771584,-0.4316301
2433,-1.7602457,-0.8090726,-2.6691778
3341,-0.97038007,-1.643997,-2.7215505
2040,-0.3844493,-0.6156802,-0.95391446
2336,-2.014675,-0.23704517,-2.25933
3176,-0.525997,-2.6984885,-3.2362628
3957,-0.23140189,0.16597441,0.0015281215
2471,-0.72755295,-1.9231429,-2.659709
2784,-0.78892255,-2.2236063,-3.0394542
3187,-0.36336342,-1.4043275,-1.8295596
2861,-1.2294775,-1.575605,-2.8108578
3664,-1.8374184,-1.0000898,-2.9012737
2052,-0.85611445,-1.2719836,-2.1174352
3095,-0.22064121,-0.23195235,-0.47122088
3277,-2.6574016,-1.8306444,-4.453423
3928,0.1554208,-0.21399699,-0.0735481
3538,-0.6756294,0.11495131,-0.46441874
2506,-0.00800014,-0.116683796,-0.13409762
3083,0.44277582,-0.49923614,-0.07577494
3791,-0.11026095,-0.49805647,-0.5375402
2913,0.23734388,-0.310083,-0.039679382
2557,-1.6972114,-2.4406993,-4.085878
3406,-0.59313995,-0.26902872,-0.8954022
2200,-3.2572625,-2.6388376,-5.8409686
2161,-0.34830347,-1.2761235,-1.4463226
3131,0.065199204,-0.49498034,-0.35102952
3314,-0.6428093,-0.14809501,-0.659019
3491,-2.0103328,0.066862345,-2.0297186
3288,-1.9673518,-1.3137147,-3.2348492
3675,-1.8029644,-0.5720525,-2.4943027
3364,-0.5967469,-0.56243575,-1.0660732
2970,-0.02337882,-0.08535044,-0.013773829
3460,-0.85865325,-2.6854186,-3.5544593
3173,-0.6790095,-0.94852954,-1.6584603
2154,-0.7060191,-0.9310282,-1.7734957
3882,-1.1629208,-0.8470806,-2.1005554
2754,-0.1353297,-1.5678,-1.6765982
2880,-1.7064385,-2.3725812,-4.120207
2940,-0.402761,-0.4850432,-0.8991359
2426,-1.7051712,-1.1293087,-2.8129737
3514,-0.09122763,-0.55273455,-0.81450146
2794,-0.0919457,-0.6903326,-0.6784214
