,x1,x2,x3
2024,1.0,1.5,3.1
3192,1.5,-0.0,-0.0
3952,1.4,1.8,3.5
3285,-0.0,1.8,0.0
3813,0.7,0.5,1.7
3388,1.3,1.7,-0.0
3110,1.6,0.0,0.0
2345,1.7,2.5,4.1
2315,1.5,0.0,0.0
3574,2.4,-0.0,0.0
2627,1.4,2.1,4.2
3832,0.6,0.0,0.0
3413,1.0,2.4,3.5
2132,1.3,0.0,-0.0
2510,1.4,-0.0,1.7
2093,0.4,2.6,2.8
2263,0.6,2.0,2.6
3298,2.0,2.3,-0.0
3134,1.4,2.2,4.7
2412,1.5,2.8,4.3
3560,1.3,0.1,0.0
3254,0.7,2.6,3.6
3510,1.8,3.2,5.1
3936,0.9,1.7,0.0
3699,0.6,0.5,1.7
2611,1.5,2.3,2.6
3233,1.3,3.8,5.6
3717,1.4,0.0,0.0
3073,0.2,1.1,2.9
3796,0.3,0.6,0.9
2781,2.3,-0.0,2.2
2267,1.3,4.2,-0.0
3798,0.7,0.6,2.0
3633,1.8,0.0,0.0
3142,1.8,-0.0,2.8
2357,0.9,0.2,1.0
3878,0.2,0.9,0.9
3076,1.1,0.7,2.3
3040,1.2,-0.0,0.0
2788,0.5,1.0,2.0
3770,0.5,-0.0,0.0
3635,1.5,3.1,5.0
2327,1.1,2.6,3.9
2622,1.1,0.0,0.0
2641,1.3,2.2,-0.0
2660,0.5,1.3,2.8
2275,0.9,1.6,2.8
2140,1.4,0.3,1.9
3092,0.4,0.0,-0.0
2009,2.6,0.0,2.5
2145,0.5,0.0,2.5
2882,1.6,2.1,2.7
3777,0.7,2.3,3.1
3565,1.5,0.3,1.6
2213,1.8,0.0,1.9
3034,0.9,-0.0,0.0
2420,1.8,4.5,4.7
2793,1.7,0.8,6.5
2461,0.9,0.0,3.8
3015,2.6,3.2,6.1
2499,1.8,0.8,2.6
3383,0.5,0.2,1.6
3976,0.2,-0.0,4.4
2498,0.8,1.5,2.5
2374,1.4,2.2,4.1
2214,0.6,2.1,2.8
2323,0.1,2.6,0.0
3779,0.0,2.6,0.0
2846,2.3,2.6,5.1
3409,1.7,-0.0,0.0
2361,0.7,1.6,2.3
3103,0.3,0.0,1.0
3477,0.9,0.3,1.2
3904,0.5,1.8,2.6
3032,0.6,1.8,0.0
2236,0.6,2.0,2.8
2179,2.7,0.0,0.0
3579,3.2,0.0,1.5
2060,0.4,0.0,-0.0
2509,0.7,2.1,3.1
2019,0.0,3.1,3.3
3478,0.3,0.0,0.0
2319,1.3,0.0,2.8
3534,1.3,0.9,0.0
2538,0.8,1.1,2.1
2265,2.3,0.0,-0.0
3009,1.3,0.9,0.0
2674,2.5,2.3,4.7
2524,1.3,2.2,3.2
2073,0.7,1.1,2.1
3146,0.6,1.9,0.0
3669,1.6,-0.0,-0.0
2134,0.8,4.3,6.0
3676,1.0,1.0,2.0
2626,0.4,2.6,3.1
2994,2.4,0.0,-0.0
2249,0.4,1.6,0.0
3551,1.3,-0.0,-0.0
2512,0.3,0.8,-0.0
3965,1.1,2.3,3.3
2121,1.3,0.0,0.0
3682,0.6,0.0,3.3
2333,1.3,0.1,0.0
2969,0.6,0.3,-0.0
2963,0.9,-0.0,0.0
3107,1.8,2.0,3.8
2181,3.1,2.6,6.1
3066,1.8,0.0,0.0
3588,0.8,0.0,-0.0
3993,2.1,0.0,-0.0
2468,0.1,1.4,1.9
3883,0.8,-0.0,-0.0
2814,0.6,-0.0,-0.0
2756,0.4,2.5,-0.0
3991,2.0,2.1,4.3
3896,1.4,-0.0,2.3
3564,1.5,1.2,2.7
3650,1.4,-0.0,1.3
3638,0.9,1.5,5.0
3625,1.3,0.3,0.0
3736,0.8,-0.0,0.0
3100,1.3,3.1,4.6
3105,2.1,1.0,-0.0
2098,0.2,1.3,-0.0
2447,2.3,2.7,5.2
3865,0.9,1.0,3.0
2242,2.1,2.1,5.5
2724,0.4,0.3,2.3
3427,-0.0,1.2,0.0
3515,0.4,2.1,-0.0
3422,0.8,1.2,1.7
3292,0.4,1.9,0.0
3970,-0.0,1.5,-0.0
2088,1.7,0.2,0.0
3949,1.0,0.0,0.0
2750,2.4,-0.0,0.0
2302,1.6,-0.0,0.6
3858,1.6,1.6,0.0
2308,1.2,0.0,2.0
3684,2.4,3.5,2.8
2758,0.7,0.0,0.6
2800,1.9,-0.0,3.7
3795,1.4,0.0,-0.0
3658,0.1,1.8,1.9
3344,3.0,-0.0,0.1
3558,1.8,1.7,4.1
3467,0.7,0.0,0.0
2941,1.2,-0.0,0.0
2795,1.3,0.0,-0.0
2184,0.9,0.3,0.0
3097,1.8,-0.0,1.9
3755,1.2,1.0,0.0
2279,0.6,0.9,0.0
2996,1.8,3.0,5.1
3029,0.9,-0.0,-0.0
2867,0.8,0.5,1.3
2186,1.9,-0.0,1.4
3703,1.3,-0.0,-0.0
3446,1.1,-0.0,0.0
2433,2.0,1.4,3.5
3341,1.4,2.1,3.6
2040,-0.0,2.0,1.5
2336,3.0,-0.0,-0.0
3176,1.1,3.0,4.0
3957,0.9,-0.0,0.9
2471,0.9,2.5,3.6
2784,0.6,3.0,4.1
3187,0.9,2.5,1.9
2861,1.2,3.2,2.9
3664,2.0,1.6,3.8
2052,0.5,2.5,0.0
3095,1.1,0.0,0.0
3277,0.9,3.4,6.3
3928,0.6,0.0,0.7
3538,1.4,0.1,-0.0
2506,0.9,-0.0,0.6
3083,0.3,0.4,1.1
3791,0.8,0.8,1.2
2913,0.7,0.0,0.6
2557,0.0,5.0,0.0
3406,0.4,1.5,0.0
2200,4.0,0.0,0.0
2161,0.5,1.0,3.2
3131,0.8,-0.0,0.0
3314,1.3,-0.0,0.0
3491,2.5,-0.0,3.0
3288,2.7,0.0,3.7
3675,3.0,-0.0,2.4
3364,1.3,-0.0,0.0
2970,0.9,0.0,0.0
3460,1.4,-0.0,4.5
3173,1.4,0.0,0.0
2154,1.4,0.0,0.0
3882,1.8,-0.0,2.8
2754,0.3,1.8,3.0
2880,1.9,3.1,5.0
2940,1.2,0.0,0.0
2426,2.4,0.0,3.6
3514,0.7,-0.0,1.7
2794,0.8,-0.0,0.0
