,y
3765,0.0
3543,0.0
2683,0.0
3599,0.0
2629,0.0
2085,0.0
2180,0.0
3251,0.0
3479,0.0
2349,1.0
2897,0.0
2372,0.0
2851,0.0
2495,0.0
2470,1.0
2029,0.0
3702,0.0
3818,0.0
3659,0.0
2385,0.0
3605,0.0
2807,0.0
2028,1.0
3531,0.0
2373,0.0
2034,0.0
2156,0.0
2277,0.0
3703,0.0
2079,0.0
3692,0.0
2468,0.0
2318,1.0
3089,0.0
3775,0.0
3711,0.0
2016,0.0
2026,0.0
3513,0.0
3567,0.0
2819,0.0
2380,0.0
2550,0.0
2530,0.0
3742,0.0
3445,0.0
3966,0.0
2154,0.0
2184,0.0
3777,1.0
3335,0.0
3000,0.0
3811,0.0
2148,0.0
3144,0.0
2364,0.0
2483,0.0
2539,0.0
2424,0.0
2691,0.0
2863,1.0
3816,0.0
3905,0.0
3450,0.0
2986,1.0
2514,1.0
3141,0.0
2526,0.0
2276,0.0
3620,0.0
2036,0.0
3992,0.0
3492,0.0
2686,0.0
3626,0.0
3148,0.0
2014,0.0
3955,1.0
2021,1.0
3553,0.0
2672,0.0
3696,0.0
3621,0.0
2407,0.0
3334,0.0
2417,1.0
2436,1.0
2741,0.0
3829,0.0
2671,0.0
2142,0.0
3994,1.0
3458,0.0
2117,0.0
3529,0.0
2228,0.0
3506,0.0
2605,0.0
2742,0.0
3898,0.0
3504,0.0
3565,0.0
2047,0.0
3453,0.0
3781,0.0
2696,0.0
3061,0.0
2469,0.0
2105,0.0
2487,0.0
3356,0.0
3828,0.0
2443,0.0
3437,0.0
2809,0.0
2745,0.0
3374,0.0
3481,0.0
2889,0.0
3164,0.0
3201,0.0
3303,1.0
3717,1.0
3014,0.0
2416,0.0
3585,0.0
2234,0.0
3075,0.0
2746,0.0
2272,0.0
3806,0.0
2404,0.0
3259,0.0
3472,0.0
2915,0.0
2169,0.0
2357,0.0
3833,0.0
3454,0.0
3398,0.0
3589,0.0
3889,1.0
2711,0.0
2377,1.0
2367,0.0
2146,0.0
2090,0.0
2346,0.0
3497,0.0
3006,0.0
3062,0.0
2274,0.0
2724,0.0
3267,0.0
2170,1.0
2631,0.0
3888,0.0
3741,0.0
3250,1.0
3166,1.0
2701,0.0
2332,0.0
2944,0.0
3720,0.0
3638,0.0
2096,0.0
2311,0.0
3095,1.0
3397,0.0
3011,1.0
3614,0.0
3886,0.0
3336,0.0
3571,0.0
3080,0.0
3323,0.0
2563,0.0
2531,0.0
2658,0.0
3842,0.0
2251,0.0
2420,0.0
2359,0.0
2858,0.0
2215,0.0
2113,0.0
2648,0.0
3230,0.0
3215,0.0
3983,0.0
2587,1.0
3501,0.0
3188,0.0
3416,0.0
2595,1.0
2392,0.0
3704,0.0
2072,0.0
3176,0.0
2081,0.0
