,u_x1,u_x2,u_x3,u_y
2000,0.34282815,0.70839214,0.075016946,0.9908391
2001,1.2934229,0.3184254,-0.05172947,0.57099473
2002,-2.0091417,-0.364516,0.026900709,0.41904724
2003,-1.6013733,-0.46199393,-0.09982704,0.21152735
2004,1.7647691,0.58789486,-0.06280923,0.38656056
2005,-1.1617187,-0.052068964,0.083392024,0.21814513
2006,2.0824618,0.19444676,0.052702308,0.7573936
2007,0.55944014,0.5757517,-0.043400936,0.63875175
2008,0.750739,-0.30262944,0.2012924,0.114185095
2009,1.0539156,1.425295,0.119235575,0.97102046
2010,0.2060567,0.5831038,-0.038429487,0.31005824
2011,0.8493367,0.64823204,0.0019529067,0.55178535
2012,-0.95696676,-1.9399078,0.06067835,0.54150164
2013,-0.119516954,-1.0241932,0.19553919,0.9453223
2014,-0.6026898,-2.1148558,-0.17398036,0.34386802
2015,-0.27712086,0.8980995,0.027699554,0.4373865
2016,-1.5541327,-1.0482206,0.09143436,0.4929173
2017,1.2959335,1.1449075,-0.13138656,0.98409367
2018,-0.29965496,0.7781558,0.04879827,0.6852058
2019,-0.16854355,0.47126928,0.015086698,0.57264316
2020,2.4257083,0.43122244,0.012459881,0.9195427
2021,-0.62915397,0.9683812,0.023804808,0.13556302
2022,0.5331797,-1.155638,0.09978778,0.13922024
2023,-1.8433598,-1.6161582,-0.06572689,0.31232858
2024,0.7425175,0.31012383,-0.01290104,0.6394491
2025,0.32098526,0.9338424,0.00015586858,0.27151322
2026,-1.3255343,0.7657935,0.12377763,0.20624733
2027,0.81896865,-2.3245485,0.09488712,0.8363421
2028,-0.0811441,-0.5761501,-0.071732335,0.10196543
2029,-0.28806514,-0.05318687,0.06860737,0.68126667
2030,-1.2206192,-1.2322907,0.15372962,0.6456449
2031,-0.4790609,0.021414077,0.02018272,0.36931694
2032,0.540318,-0.049092557,-0.029186094,0.47283542
2033,0.64760095,0.7786393,-0.049861915,0.95067084
2034,-0.9331691,0.40027687,0.05159635,0.70189
2035,1.0777025,0.18843238,-0.055620264,0.20721042
2036,-1.5706462,0.4901276,-0.035686377,0.6841779
2037,0.31905037,1.3760012,0.08666098,0.2566415
2038,0.5668797,0.19184928,-0.034687445,0.41321194
2039,0.26647514,0.80502343,-0.15625535,0.5708065
2040,0.14968143,2.5044363,-0.04606399,0.13056958
2041,1.0412836,1.1935666,0.039508924,0.8054403
2042,-0.49613875,1.3295275,0.09310755,0.28991044
2043,-1.3449546,0.55771023,0.039155666,0.415035
2044,0.76051456,-0.2813416,0.10171848,0.8321432
