,y_hat
3725,False
2956,False
2454,False
3066,False
3039,False
3511,False
3034,False
3121,False
3705,False
2486,False
3921,False
2262,False
2422,False
3375,False
3472,False
2085,False
3181,False
3429,False
2400,False
3919,False
2588,False
3995,False
3307,False
3453,False
3187,False
3976,False
3250,False
3450,False
3201,False
2701,False
3148,False
3902,False
2963,False
3905,False
2892,False
3115,False
2213,False
3002,False
3550,False
2468,False
2686,False
2208,False
3095,False
2756,False
2338,False
3695,False
2636,False
3093,False
3409,False
2687,False
2917,False
3912,False
3722,False
3568,False
2437,False
2241,False
2812,False
3816,False
2531,False
2900,False
3972,False
2101,False
3058,False
2729,False
3787,False
2696,False
3179,False
2642,False
2022,False
2119,False
3809,False
2605,False
3818,False
3135,False
2329,False
3533,False
2976,False
3922,False
2685,False
3593,False
2969,False
2047,False
3304,False
2053,False
3379,False
3249,False
2863,False
3458,False
2597,False
3327,False
3549,False
2194,False
2604,False
3636,False
2776,False
2674,False
2036,False
2483,False
2180,False
3743,False
3947,False
3260,False
2569,False
2986,False
3311,False
2855,False
2142,False
2079,False
3042,False
2146,False
3693,False
3176,False
3578,False
2221,False
2305,False
2873,False
2546,False
3773,False
2248,False
2925,False
3062,False
3673,False
2590,False
3696,False
3445,False
3192,False
3077,False
3412,False
3374,False
3668,False
2091,False
2645,False
2471,False
3159,False
3050,False
3428,False
3280,False
2481,False
3951,False
2387,False
3955,False
3229,False
3689,False
2627,False
2648,False
2944,False
2684,False
3539,False
2509,False
2514,False
3572,False
2297,False
2081,False
3055,False
2377,False
2530,False
3061,False
3308,False
2099,False
3867,False
3481,False
2820,False
3281,False
3048,False
2210,False
2153,False
3703,False
3605,False
2066,False
3911,False
3211,False
3324,False
3542,False
3400,False
3595,False
2565,False
2282,False
2461,False
3656,False
3001,False
2817,False
3011,False
3968,False
3677,False
2666,False
2562,False
3789,False
3500,False
3956,False
3586,False
2223,False
3596,False
3692,False
2438,False
2474,False
3103,False
2836,False
3416,False
3150,False
3990,False
