,y_hat
3001,False
3963,False
3304,False
3327,False
2131,False
3846,False
2519,False
3458,False
2486,False
3942,False
3564,False
2184,False
2153,False
3579,False
2598,False
2091,False
3612,False
3546,False
3274,False
2096,False
3260,False
3976,False
2200,False
2550,False
2523,False
3681,False
2496,False
2930,False
2285,False
3880,False
2241,False
3614,False
2578,False
3890,False
3122,False
2028,False
3996,False
3589,False
2514,False
3722,False
2590,False
2762,False
2314,False
3692,False
3150,False
2113,False
3048,False
3468,False
3869,False
2644,False
3279,False
2417,False
2528,False
3789,False
2627,False
3828,False
3717,False
2104,False
3554,False
3741,False
3041,False
2832,False
3068,False
3175,False
3167,False
2882,False
2829,False
2313,False
2151,False
2148,False
3704,False
2742,False
2606,False
2479,False
2979,False
3677,False
2193,False
2915,False
3586,False
3244,False
2490,False
2481,False
3687,False
2911,False
2146,False
2046,False
2965,False
3833,False
3992,False
3159,False
3813,False
3010,False
2052,False
3599,False
3333,False
3315,False
3324,False
3634,False
3251,False
2787,False
2136,False
3899,False
2483,False
3671,False
2170,False
2777,False
3087,False
3743,False
3222,False
2100,False
3280,False
3782,False
2405,False
2682,False
2231,False
3305,False
2022,False
2466,False
2431,False
2127,False
2931,False
2690,False
2377,False
3272,False
3539,False
2565,False
3259,False
3860,False
3470,False
2346,False
2864,False
3831,False
3980,False
3523,False
3165,False
2407,False
3777,False
2350,False
2273,False
2133,False
2260,False
2355,False
3192,False
2349,False
3538,False
3121,False
2173,False
3986,False
2081,False
2776,False
3655,False
3428,False
3437,False
3129,False
3442,False
2856,False
3100,False
3703,False
2016,False
2403,False
3201,False
2723,False
3506,False
2454,False
2163,False
3854,False
2430,False
2518,False
3911,False
2443,False
2847,False
2030,False
2412,False
2311,False
2860,False
2448,False
2029,False
2312,False
2713,False
3139,False
2967,False
3190,False
3944,False
2338,False
3645,False
3339,False
2354,False
3480,False
3094,False
3473,False
3034,False
3061,False
2325,False
3765,False
3543,False
2066,False
3345,False
3904,False
2666,False
2631,False
