ix,goal_cost,intv_cost
2322,0.976,1.9
2207,1.0,1.2000000000000002
3871,1.0,1.6
3451,0.986,2.1
3374,1.0,3.5
2067,0.986,3.5
2473,1.0,2.1
2350,0.972,2.8
2965,0.976,1.2
2582,1.0,7.0
3236,1.0,0.6
3297,0.998,1.8
2453,1.0,3.6
3327,0.954,6.8999999999999995
3581,1.0,2.2
3368,1.0,0.1
2151,0.98,1.6
2008,1.0,0.5
3189,1.0,3.1
2706,0.98,1.7000000000000002
2991,0.966,1.2
2447,0.956,0.6
3870,1.0,1.0
2821,0.978,2.8000000000000003
2345,1.0,3.1999999999999997
3738,1.0,0.6
3616,1.0,3.9
2784,1.0,4.1000000000000005
2168,0.994,1.0
3559,1.0,4.0
2150,1.0,3.2
3843,1.0,2.0
3216,1.0,0.9
2085,0.986,2.1999999999999997
2031,0.97,1.5
2767,1.0,4.3
3689,1.0,3.2
2267,0.988,2.7
3373,0.998,2.4000000000000004
2709,0.99,1.5
2281,0.982,2.6
2648,1.0,3.9999999999999996
2702,1.0,2.9
3506,0.982,1.3
3628,1.0,0.5
3490,1.0,2.1
3797,1.0,0.1
2117,1.0,0.7999999999999999
2675,0.976,1.1
3859,1.0,4.1
2428,1.0,0.9
3469,0.978,1.5
3638,1.0,1.9
3310,1.0,2.7
3177,1.0,8.9
2233,1.0,0.30000000000000004
2508,1.0,5.9
2203,1.0,0.8
3941,1.0,1.0
3514,0.992,3.9
2501,1.0,1.4000000000000001
2026,1.0,6.1
3756,1.0,3.7
2711,0.99,1.3
2072,1.0,7.4
3441,1.0,1.8
2489,1.0,7.1
3129,1.0,0.5
2253,1.0,4.5
3035,1.0,2.0
2027,1.0,0.1
3164,1.0,3.5
2924,1.0,3.0999999999999996
2396,0.986,1.7000000000000002
3016,1.0,0.2
3069,0.994,0.4
3633,1.0,5.9
2296,1.0,0.2
2518,1.0,4.8999999999999995
3539,1.0,1.1
2751,1.0,0.2
2857,1.0,5.6
2229,0.972,1.6
3848,0.988,2.5
3850,1.0,2.3
2570,0.956,1.8
3944,1.0,3.7
3998,1.0,0.1
2813,1.0,3.7
3269,0.972,2.9
2745,1.0,4.3
3266,1.0,0.6
3860,1.0,0.8999999999999999
2164,1.0,0.2
3223,0.988,0.6
2195,0.996,1.9
3763,1.0,3.4
2005,1.0,1.9
3739,1.0,1.0
2932,1.0,1.8
3583,0.964,1.3
2379,1.0,5.3
3076,1.0,1.9000000000000001
2587,1.0,1.1
3413,0.986,1.2
2878,0.964,1.0
3273,1.0,0.7999999999999999
2856,1.0,2.8000000000000003
3243,1.0,4.3999999999999995
2967,1.0,0.8
3571,0.968,0.30000000000000004
3920,1.0,1.9000000000000001
3532,1.0,4.3
3317,0.998,1.0
2206,1.0,3.1999999999999997
3479,1.0,3.5999999999999996
2112,1.0,5.499999999999999
2820,0.98,0.5
2520,1.0,4.499999999999999
2970,1.0,2.8
3747,1.0,5.3
3937,1.0,2.3
2519,1.0,0.30000000000000004
3893,1.0,5.3999999999999995
3955,0.962,2.3
2513,0.992,2.3000000000000003
2323,1.0,4.6
3936,1.0,2.8000000000000003
3691,1.0,0.3
2507,1.0,4.8999999999999995
2557,1.0,1.1
2848,1.0,2.1
3022,1.0,0.1
3113,0.992,0.6000000000000001
3651,0.988,1.6
2889,0.962,0.30000000000000004
2853,1.0,3.5
3099,1.0,6.0
2830,1.0,4.1
3560,1.0,1.0
2248,1.0,1.8
2841,1.0,1.9
3033,0.968,2.5
3909,1.0,0.8
2088,1.0,0.2
3621,0.98,2.6999999999999997
3558,1.0,1.6
2598,1.0,0.6
2633,1.0,2.0
3902,1.0,4.9
3899,1.0,1.9000000000000001
3389,1.0,1.8
3019,1.0,4.3
3995,1.0,9.5
2423,1.0,0.2
3052,1.0,1.9000000000000001
3098,1.0,0.1
2895,1.0,2.4
3220,1.0,3.4000000000000004
3963,1.0,1.9000000000000001
2810,0.988,0.2
2715,0.996,2.7
2071,0.952,0.2
2059,1.0,3.4000000000000004
2138,1.0,2.2
2937,1.0,2.3000000000000003
2915,1.0,0.2
2947,1.0,2.3
2881,1.0,1.7
3814,1.0,3.9
2481,1.0,4.7
3594,1.0,0.5
2913,1.0,1.6
3504,1.0,0.4
2517,1.0,4.0
2670,0.988,1.1
2346,1.0,4.199999999999999
3927,1.0,3.2
3680,1.0,1.4000000000000001
3354,1.0,0.30000000000000004
2865,0.994,1.8
2595,1.0,0.5
3734,1.0,2.3000000000000003
2038,1.0,0.7999999999999999
3367,1.0,3.2
2042,1.0,0.30000000000000004
2006,1.0,1.6
2245,1.0,0.6
2802,0.99,1.4000000000000001
2374,0.996,0.4
2661,0.97,3.6
3142,0.998,0.9
3134,1.0,0.1
3371,1.0,0.1
3165,0.98,2.6
2860,1.0,0.3
2301,1.0,5.5
2348,1.0,4.5
2003,0.998,1.3
2009,1.0,2.9
