,y
3507,0.0
3243,0.0
2770,0.0
2442,0.0
2710,0.0
2626,0.0
2514,0.0
2945,0.0
3981,0.0
2785,0.0
2845,0.0
3706,1.0
3760,0.0
3727,0.0
3922,0.0
2233,0.0
3264,1.0
2813,0.0
2516,0.0
3142,0.0
3033,0.0
3415,0.0
2309,0.0
2713,0.0
2127,0.0
2632,0.0
2900,0.0
3870,0.0
2640,0.0
3019,0.0
2810,0.0
3097,0.0
2528,1.0
3906,0.0
2545,1.0
3656,0.0
3022,1.0
3526,0.0
2566,0.0
2517,0.0
3057,0.0
3950,0.0
3212,0.0
3763,0.0
3888,0.0
2008,0.0
3102,0.0
3873,0.0
3289,0.0
3175,0.0
3652,0.0
3581,0.0
2206,0.0
2841,0.0
2932,1.0
2575,0.0
2916,0.0
2543,0.0
2908,0.0
3346,0.0
3826,0.0
2929,0.0
3801,0.0
2446,0.0
2921,0.0
3171,0.0
3296,0.0
2865,0.0
3734,0.0
2491,0.0
3642,0.0
3299,0.0
3098,1.0
2612,0.0
2676,0.0
3939,0.0
3412,0.0
3153,0.0
3684,1.0
2963,0.0
3292,0.0
2205,0.0
2784,0.0
3850,0.0
3636,0.0
3177,0.0
2367,1.0
2104,1.0
2527,0.0
2112,0.0
2075,0.0
2332,0.0
2355,0.0
2519,0.0
3728,0.0
2232,0.0
3298,1.0
3614,0.0
3130,0.0
2072,0.0
3168,0.0
2280,0.0
2633,0.0
3926,0.0
3043,0.0
3999,0.0
2290,0.0
2869,0.0
2028,0.0
2763,0.0
2680,0.0
2792,0.0
3571,1.0
3925,0.0
3749,1.0
2049,0.0
2935,0.0
3695,0.0
2423,1.0
3985,0.0
2300,0.0
2807,0.0
3422,0.0
2882,0.0
3311,0.0
2003,0.0
3692,0.0
3478,0.0
2876,0.0
3064,0.0
3731,0.0
2986,0.0
2260,0.0
2450,0.0
2648,0.0
3931,0.0
2788,0.0
2180,0.0
3041,0.0
2129,0.0
3390,0.0
2150,0.0
2547,0.0
3179,1.0
2895,0.0
2486,0.0
2369,0.0
2270,0.0
3476,0.0
2015,0.0
3515,1.0
3751,0.0
2285,0.0
3431,1.0
2460,0.0
3232,1.0
2216,1.0
3008,0.0
2273,0.0
3813,1.0
3549,0.0
2409,0.0
2014,0.0
3344,0.0
3574,0.0
3141,1.0
2140,0.0
3184,0.0
2610,0.0
2124,0.0
3756,0.0
3333,0.0
3258,0.0
3680,0.0
3773,0.0
3540,0.0
2337,0.0
3587,0.0
3621,0.0
3202,0.0
3220,0.0
2662,0.0
2478,0.0
2859,0.0
3049,1.0
2984,0.0
2943,0.0
3544,0.0
2419,0.0
2473,0.0
2059,0.0
2076,0.0
3745,1.0
3067,0.0
2699,1.0
3886,0.0
2811,0.0
3096,0.0
2071,1.0
2286,0.0
