,y
3623,0.0
2282,0.0
3560,0.0
2856,0.0
3985,0.0
3144,0.0
2695,0.0
3884,0.0
2707,0.0
3021,0.0
3433,0.0
3302,0.0
2382,0.0
2326,1.0
3381,1.0
3887,0.0
3810,1.0
2478,0.0
2490,0.0
3193,0.0
3188,0.0
2322,0.0
3052,1.0
2843,0.0
2807,0.0
2985,1.0
3876,0.0
3036,0.0
3478,0.0
3347,0.0
3332,0.0
3811,1.0
2036,0.0
2716,0.0
2127,0.0
3943,0.0
2462,0.0
2597,0.0
3237,0.0
3481,1.0
3571,1.0
2363,0.0
3019,0.0
3108,0.0
3404,0.0
3061,0.0
3992,0.0
3446,0.0
3300,0.0
2470,0.0
2229,0.0
2518,0.0
2869,0.0
3593,0.0
2131,0.0
3415,0.0
3900,0.0
2409,0.0
2745,0.0
2269,0.0
3298,1.0
2841,0.0
2578,1.0
3909,0.0
2931,0.0
3962,0.0
3984,0.0
3452,0.0
3972,0.0
3589,1.0
3680,0.0
2045,0.0
3804,0.0
2428,0.0
2524,0.0
2693,0.0
2680,0.0
2866,0.0
3801,0.0
3076,0.0
2513,0.0
2005,0.0
2262,0.0
3974,0.0
3344,0.0
3602,0.0
3425,0.0
2959,0.0
3692,0.0
3664,0.0
3518,0.0
2242,0.0
3509,0.0
3431,1.0
2849,0.0
2172,0.0
3921,0.0
3393,0.0
2837,0.0
3202,0.0
3135,0.0
2588,0.0
3929,0.0
3507,0.0
3276,0.0
3590,0.0
3997,0.0
2821,0.0
3185,1.0
3044,1.0
3679,0.0
3725,0.0
2834,0.0
3727,0.0
3184,0.0
2557,0.0
2514,0.0
3264,1.0
3624,1.0
2947,0.0
3247,0.0
3249,0.0
2860,0.0
2280,0.0
3028,0.0
3955,0.0
2556,0.0
3999,0.0
3164,0.0
3189,0.0
3594,0.0
2564,0.0
3291,0.0
3937,0.0
3504,0.0
3330,0.0
2272,0.0
3491,0.0
2551,0.0
2755,0.0
2618,0.0
2996,0.0
3539,0.0
2605,0.0
2097,0.0
2104,1.0
2753,0.0
3216,0.0
3142,0.0
2347,0.0
3818,0.0
2662,0.0
3233,0.0
3005,0.0
3734,0.0
2875,1.0
2167,0.0
2141,0.0
3920,0.0
2273,0.0
2038,0.0
2120,0.0
3471,0.0
3600,0.0
3653,1.0
2442,0.0
2718,0.0
3441,0.0
2368,0.0
2216,1.0
2765,0.0
3826,0.0
3566,0.0
3649,0.0
3149,0.0
2351,0.0
3430,0.0
2728,0.0
2555,0.0
2267,0.0
3166,0.0
3394,0.0
2615,0.0
2611,0.0
2501,1.0
3376,0.0
2163,0.0
2887,0.0
3793,1.0
3925,0.0
3769,0.0
3311,0.0
3550,0.0
3494,0.0
2703,0.0
2306,0.0
2082,0.0
2000,1.0
2210,0.0
3042,0.0
