,y_hat
2050,False
3169,False
3029,False
3999,False
3314,False
3756,False
3780,False
2081,False
3339,False
2781,False
3129,False
3850,False
3869,False
2291,False
3392,False
2381,False
2127,False
3693,False
2015,False
3460,False
2630,False
3404,False
2510,False
3908,False
3337,False
2114,False
2994,False
3335,False
3384,False
2543,False
3332,False
3073,False
2619,False
3199,False
2810,False
3767,False
2970,False
2606,False
2934,False
3724,False
2398,False
3419,False
2043,False
3878,False
2985,False
2877,False
2123,False
3776,False
3687,False
2876,False
2591,False
2990,False
3462,False
3562,False
2084,False
2691,False
2441,False
2729,False
2895,False
3633,False
2674,False
3529,False
2888,False
3380,False
3716,False
3630,False
2615,False
3094,False
3225,False
3255,False
3416,False
3187,False
3730,False
3839,False
3204,False
3751,False
3901,False
2664,False
2505,False
3321,False
3369,False
2692,False
3157,False
2878,False
2911,False
3260,False
3427,False
2328,False
3201,False
2822,False
3386,False
2641,False
2472,False
2227,False
2329,False
3172,False
3941,False
3355,False
2712,False
3175,False
3648,False
2260,False
3108,False
3727,False
2470,False
3475,False
3019,False
2708,False
3438,False
2427,False
2575,False
3200,False
2283,False
2517,False
2313,False
2906,False
2611,False
2216,False
2292,False
2066,False
2622,False
2533,False
3107,False
3327,False
3182,False
3379,False
2853,False
2616,False
3675,False
3715,False
3007,False
2225,False
2007,False
3895,False
2401,False
2296,False
3623,False
2295,False
3711,False
3128,False
2001,False
3346,False
3079,False
3072,False
2632,False
3580,False
3792,False
3241,False
3136,False
2526,False
2962,False
2261,False
2983,False
3432,False
3682,False
2415,False
2838,False
2070,False
2679,False
2609,False
3865,False
2960,False
3273,False
3619,False
2701,False
2330,False
3347,False
3685,False
2141,False
3855,False
3278,False
3131,False
3303,False
2927,False
3978,False
2333,False
3527,False
2715,False
2119,False
2274,False
2433,False
2524,False
2421,False
2675,False
3513,False
2142,False
3214,False
3490,False
2882,False
2042,False
2052,False
3814,False
2604,False
3760,False
3478,False
2696,False
3375,False
3006,False
2904,False
3871,False
