,x1,x2,x3
3735,0.7,1.4,-0.0
3963,0.1,0.7,-0.0
3474,0.9,0.0,1.9
3134,-0.0,2.3,0.0
2911,0.5,0.0,0.5
2637,0.5,-0.0,0.0
3164,0.7,-0.0,-0.0
2593,1.5,-0.0,0.6
3408,0.2,0.0,-0.0
2392,2.0,0.0,3.1
3400,1.8,2.9,2.2
2306,0.2,0.0,-0.0
3634,0.1,0.7,-0.0
3415,1.5,0.0,0.0
3425,0.1,0.0,-0.0
3702,0.1,0.4,0.0
2225,0.5,0.0,-0.0
2482,0.5,-0.0,0.0
3429,-0.1,0.5,-0.0
3698,0.4,0.0,0.6
2706,0.0,0.0,0.1
3468,0.1,2.1,-0.0
3330,1.9,0.0,0.0
2406,2.6,3.9,0.2
2119,1.2,-0.0,0.0
3130,1.7,0.0,1.5
2917,0.8,-0.0,0.0
2221,0.2,1.9,-0.0
3636,0.0,3.3,0.0
2405,0.8,0.0,-0.0
3851,0.9,-0.0,0.0
3368,0.3,1.1,0.0
2686,0.1,0.0,0.0
2824,0.2,0.0,0.0
3070,0.2,3.1,-0.0
2952,0.0,1.4,1.5
3497,2.7,-0.0,1.2
2356,0.3,-0.0,-0.0
2167,-0.0,-0.0,0.2
2401,2.2,0.0,0.0
2850,0.7,0.0,-0.0
3435,0.2,0.0,0.0
3809,0.7,2.6,2.5
2657,0.2,-0.0,-0.0
3774,0.5,-0.0,-0.0
3139,0.5,0.0,0.0
2368,1.0,-0.0,-0.0
2804,1.6,2.0,-0.0
3533,0.0,0.1,0.0
2231,0.0,2.3,1.6
2016,0.4,3.6,2.2
2774,0.1,0.7,-0.0
3870,-0.0,0.3,0.0
2461,0.0,0.2,0.0
3462,1.1,-0.0,0.0
3967,3.4,3.1,4.5
2241,1.2,1.0,-0.0
3034,0.5,2.9,0.0
2711,0.2,2.6,2.7
3083,1.0,-0.0,0.0
3315,2.4,5.4,5.6
2397,0.0,0.1,0.0
3660,0.7,0.0,0.0
3608,0.5,3.4,1.9
3424,1.8,0.0,-0.0
2421,0.3,-0.0,-0.0
3137,-0.0,0.1,0.0
2514,0.1,0.2,0.0
3333,0.9,-0.0,1.0
2791,1.8,2.4,0.0
2632,0.0,1.4,-0.0
2100,-0.0,2.5,2.1
3713,0.6,0.0,0.0
2330,-0.0,0.5,-0.0
3482,0.3,1.4,-0.0
3780,2.0,5.1,2.1
2820,0.2,3.6,1.8
3612,1.4,-0.0,1.5
2139,0.7,-0.0,0.0
2714,0.7,-0.0,0.0
3589,0.0,0.8,0.0
2495,0.9,-0.0,-0.0
2864,1.6,0.0,0.0
2002,1.5,4.1,2.4
3240,0.1,0.0,-0.0
3493,0.4,-0.0,-0.0
3862,0.3,0.0,0.0
3724,0.6,0.0,0.0
3168,0.3,2.5,0.1
2668,0.1,0.0,0.0
3721,0.7,0.0,0.0
3193,1.1,0.0,-0.0
3954,0.9,-0.0,-0.0
2695,0.8,0.0,-0.0
2519,0.5,0.7,0.0
2617,0.1,0.0,0.0
2489,0.5,0.0,0.0
3711,1.2,0.0,-0.0
3823,1.9,-0.0,-0.0
2297,-0.0,0.1,0.0
2337,0.2,0.0,0.0
2169,3.2,4.0,3.4
2502,0.1,0.9,-0.0
3880,0.7,-0.0,-0.0
3582,0.9,0.0,-0.0
3132,0.3,0.0,0.0
3135,0.9,0.0,0.0
2036,1.1,0.0,0.0
3450,0.3,0.0,0.0
2949,1.0,0.8,0.0
3551,0.3,-0.0,0.0
2591,1.3,0.0,-0.0
2351,-0.0,0.1,-0.0
3987,0.1,0.7,0.0
3932,0.2,-0.0,0.0
3228,0.5,1.8,2.1
2185,1.9,4.3,0.3
3443,0.0,0.0,0.1
2794,0.7,-0.0,-0.0
3840,0.6,-0.0,0.0
3201,0.4,1.5,-0.0
3097,1.1,0.0,-0.0
2377,3.8,5.1,3.7
3377,1.4,0.0,0.0
3203,1.0,0.0,-0.0
3231,0.3,-0.0,0.0
2808,1.0,-0.0,0.0
2263,0.2,-0.0,-0.0
3508,0.9,0.0,0.5
3481,0.1,3.3,3.3
2000,0.5,-0.0,-0.0
2982,-0.0,0.7,0.0
2481,1.3,0.0,-0.0
2861,1.9,0.0,-0.0
3037,0.4,-0.0,0.1
2295,1.5,-0.0,-0.0
3033,-0.0,0.9,0.7
3452,0.3,0.0,0.0
3492,0.2,-0.0,0.0
3465,0.8,1.4,0.0
2944,0.4,1.3,-0.0
3736,0.3,-0.0,0.0
2384,0.5,-0.0,0.0
2340,1.2,-0.0,0.0
2727,0.4,0.0,-0.0
2654,0.1,1.0,0.0
3111,1.7,-0.0,0.1
2895,0.7,-0.0,-0.0
3066,1.0,3.8,3.5
2343,0.1,0.0,0.0
3157,0.1,1.2,0.2
3595,1.0,2.8,0.0
2383,0.1,2.0,-0.0
3252,0.3,-0.0,0.0
3310,2.0,-0.0,1.7
2978,0.9,-0.0,-0.0
2836,0.9,-0.0,1.7
2262,0.2,0.3,-0.0
2093,0.7,1.3,0.0
3992,0.2,0.8,0.3
3975,0.3,-0.0,0.0
3050,2.0,0.0,-0.0
3921,0.0,0.2,0.0
2779,1.1,-0.0,-0.0
2522,3.0,-0.0,2.1
3920,0.1,1.8,1.9
2018,0.1,0.0,0.0
2571,0.6,0.0,-0.0
3566,2.6,4.7,1.8
3042,-0.0,4.2,-0.0
3693,-0.0,0.2,0.0
3311,1.0,-0.0,0.8
2488,0.7,5.0,1.2
2087,0.7,4.5,2.5
2685,0.4,4.2,2.5
3996,0.1,1.8,0.0
3375,0.0,1.7,-0.0
2447,0.2,0.0,-0.0
2239,0.7,3.0,0.8
2323,0.6,0.0,-0.0
2913,0.3,3.2,1.1
3988,1.4,-0.0,1.1
2413,0.3,1.0,-0.0
3547,0.8,2.1,-0.0
2178,0.7,3.5,1.4
3001,0.7,-0.0,-0.0
3013,0.3,0.0,0.0
2866,0.3,-0.0,0.0
2845,0.4,0.0,0.0
3049,0.6,3.6,1.9
3910,0.9,-0.0,0.0
2372,0.3,-0.0,0.0
2599,0.3,2.5,0.8
2485,0.7,-0.0,-0.0
3091,0.3,0.0,0.0
3938,0.5,0.0,0.0
3638,0.2,-0.0,0.2
3798,1.0,1.8,0.0
3216,0.5,0.0,-0.0
3521,3.0,0.8,0.0
