,y
3646,0.0
2776,0.0
2964,0.0
2718,0.0
3332,0.0
3081,0.0
3490,0.0
3289,0.0
2860,0.0
2116,0.0
3900,0.0
2478,0.0
2774,0.0
2114,0.0
2066,0.0
3818,0.0
3916,0.0
3335,0.0
2713,0.0
2668,1.0
2845,0.0
3823,0.0
2454,0.0
2484,0.0
2023,0.0
3339,0.0
3283,0.0
3556,0.0
2002,0.0
3455,0.0
3210,0.0
2543,0.0
3942,0.0
2514,1.0
3872,0.0
3638,0.0
3508,0.0
3515,0.0
2336,0.0
3453,0.0
2528,0.0
3838,0.0
3089,0.0
3796,0.0
2714,1.0
3938,0.0
3650,0.0
3059,0.0
2362,0.0
2760,0.0
3385,0.0
2846,0.0
3549,0.0
3548,0.0
3585,0.0
2282,0.0
2782,0.0
3752,0.0
2880,0.0
2832,0.0
3654,0.0
2194,0.0
3992,0.0
3971,0.0
3611,0.0
3839,0.0
2496,0.0
3858,0.0
2847,0.0
2230,0.0
3492,1.0
2879,0.0
3019,0.0
2326,0.0
3157,0.0
3539,0.0
2455,0.0
2086,0.0
2494,0.0
2192,0.0
2075,0.0
3078,0.0
3137,0.0
2243,0.0
2530,0.0
2540,0.0
2824,0.0
3692,0.0
2592,0.0
2583,0.0
3051,1.0
2586,0.0
3387,0.0
3048,0.0
3107,0.0
2314,0.0
2607,0.0
2700,0.0
2746,1.0
3451,0.0
2303,0.0
3897,0.0
3431,0.0
2036,0.0
2662,0.0
2747,0.0
3160,0.0
3748,0.0
3130,0.0
3104,1.0
3090,1.0
2488,0.0
2582,1.0
2949,0.0
2356,0.0
2482,0.0
3909,0.0
3801,0.0
3506,0.0
3503,1.0
3216,0.0
2988,0.0
2241,0.0
2959,0.0
2638,1.0
2386,0.0
3331,0.0
3625,0.0
2717,0.0
3454,0.0
2792,0.0
3566,0.0
2600,0.0
2804,0.0
3194,0.0
2267,0.0
3291,0.0
3849,0.0
2951,1.0
3525,1.0
2495,0.0
2417,0.0
2944,0.0
2486,0.0
2546,0.0
3975,0.0
3664,0.0
2728,0.0
2391,0.0
3536,0.0
3594,0.0
3736,0.0
3466,0.0
3723,0.0
2257,0.0
3842,0.0
3656,0.0
3180,0.0
2025,0.0
2322,0.0
2599,0.0
3798,0.0
2597,0.0
2636,0.0
3663,0.0
2658,0.0
2523,0.0
3452,0.0
3093,0.0
2794,0.0
2293,0.0
2121,0.0
3518,1.0
3171,0.0
2406,0.0
2085,0.0
2862,0.0
2162,0.0
2383,0.0
2448,0.0
2351,1.0
3169,0.0
2610,0.0
3929,0.0
2350,0.0
3182,0.0
2492,0.0
2858,0.0
2311,0.0
3322,0.0
2958,0.0
3765,0.0
2931,0.0
2891,0.0
3532,0.0
3294,0.0
2541,0.0
2457,0.0
2757,0.0
2242,1.0
