ix,goal_cost,intv_cost
2594,1.0,1.0
2549,1.0,4.9
3911,1.0,2.1
2799,1.0,0.6
3708,1.0,3.7
3524,1.0,8.7
3464,1.0,1.0
2425,1.0,5.1
3093,1.0,0.8
3334,1.0,2.7
2328,1.0,0.6
3563,1.0,2.0
3290,1.0,0.1
2575,1.0,6.7
3416,1.0,4.8
3912,1.0,0.2
2947,1.0,0.5
2064,1.0,0.5
3877,1.0,1.1
3645,1.0,11.7
2912,1.0,1.7000000000000002
2178,1.0,2.6
3966,1.0,2.8
3879,1.0,1.0
2419,1.0,2.1999999999999997
3600,1.0,0.3
3908,1.0,0.7
3634,1.0,1.1
2112,1.0,4.1
2528,1.0,8.600000000000001
3949,1.0,0.1
2916,1.0,1.4
3448,1.0,0.7
2280,1.0,5.0
3773,1.0,0.30000000000000004
2652,1.0,0.4
3556,1.0,0.7
2329,1.0,7.5
2214,1.0,10.1
2685,1.0,4.1
2137,1.0,1.9
2950,1.0,3.5
3460,1.0,0.6
2311,1.0,4.9
3683,1.0,0.7
3369,1.0,1.2
3246,1.0,2.4
2980,1.0,6.1
3530,1.0,0.7
3993,1.0,9.700000000000001
3076,1.0,0.7
3063,1.0,1.3
2276,1.0,1.1
2202,1.0,3.1999999999999997
2024,1.0,0.5
2694,1.0,2.3
2083,1.0,0.30000000000000004
3871,1.0,0.6
2904,1.0,2.1
3219,1.0,5.8999999999999995
3373,1.0,0.6
2390,1.0,0.3
2115,1.0,5.1
3355,1.0,1.0
3550,1.0,2.0999999999999996
3857,1.0,1.5
3488,1.0,0.7
3115,1.0,5.199999999999999
3991,1.0,2.5
2160,1.0,0.4
2715,1.0,11.0
3261,1.0,0.4
3470,1.0,0.9
3954,1.0,3.8000000000000003
3751,1.0,0.6
2640,1.0,2.2
3969,1.0,5.7
3554,1.0,1.4000000000000001
3089,1.0,5.4
2416,1.0,0.7
3902,1.0,1.8
3863,1.0,5.300000000000001
2099,1.0,1.7000000000000002
3032,1.0,2.2
2501,1.0,0.2
3007,1.0,2.9000000000000004
2496,1.0,9.4
3860,1.0,0.5
3231,1.0,1.2
2362,1.0,1.2
2053,1.0,0.1
3412,1.0,0.8
2335,1.0,0.5
2739,1.0,2.3
3480,1.0,0.3
3895,1.0,4.9
3033,1.0,4.1
2823,1.0,1.5
2834,1.0,7.0
2448,1.0,7.300000000000001
3320,1.0,2.9
3756,1.0,1.1
3199,1.0,1.9
2162,1.0,0.1
3657,1.0,1.6
3030,1.0,0.7
3240,1.0,0.4
2509,1.0,1.5
2050,1.0,5.4
2273,1.0,0.5
3605,1.0,6.1
2987,1.0,7.799999999999999
3628,1.0,5.5
3846,1.0,3.0
2314,1.0,3.3
2092,1.0,0.5
2510,1.0,4.7
2785,1.0,7.0
2029,1.0,2.1
3002,1.0,1.1
2808,1.0,4.1
2196,1.0,5.1
2513,1.0,8.7
2664,1.0,7.2
3798,1.0,2.5999999999999996
3176,1.0,1.3
3100,1.0,2.5999999999999996
3068,1.0,0.6
3776,1.0,2.7
2494,1.0,0.6
3381,1.0,0.5
2999,1.0,4.6
3286,1.0,5.4
3008,1.0,0.8
2865,1.0,0.2
2143,1.0,3.7
2058,1.0,0.8999999999999999
2212,1.0,11.8
2901,1.0,1.9
3301,1.0,1.1
3167,1.0,0.1
3186,1.0,0.1
2860,1.0,0.30000000000000004
2986,1.0,6.8
3686,1.0,0.5
3616,1.0,2.5
3777,1.0,1.0
2431,1.0,0.5
2608,1.0,0.1
3227,1.0,7.8999999999999995
3832,1.0,0.30000000000000004
2217,1.0,0.6
2418,1.0,2.0
3513,1.0,0.1
2164,1.0,0.6
2639,1.0,10.7
3822,1.0,0.1
3262,1.0,3.4
2709,1.0,3.8
2457,1.0,6.8999999999999995
3020,1.0,3.5
2546,1.0,0.5
3329,1.0,2.8
3342,1.0,2.2
2301,1.0,1.4
3764,1.0,0.30000000000000004
2918,1.0,1.4
2090,1.0,0.4
3384,1.0,0.5
2493,1.0,1.9
2529,1.0,0.6000000000000001
2238,1.0,5.8
2966,1.0,1.0
2455,1.0,11.6
3458,1.0,0.7
3479,1.0,2.2
2740,1.0,0.4
2222,1.0,1.0
2461,1.0,6.699999999999999
2138,1.0,2.5
3731,1.0,0.30000000000000004
3655,1.0,0.7
3725,1.0,0.7999999999999999
2532,1.0,5.1
3222,1.0,1.8
3887,1.0,6.8999999999999995
3602,1.0,8.0
3999,1.0,3.0
2612,1.0,5.6
2274,1.0,1.0
3980,1.0,1.0
3607,1.0,1.0
2194,1.0,6.8999999999999995
3562,1.0,1.0
3164,1.0,2.0
2753,1.0,6.5
3840,1.0,2.8
2210,1.0,2.3
3094,1.0,0.9
3893,1.0,0.3
