,x1,x2,x3
3205,0.7,0.5,1.3
3705,0.0,0.3,0.9
3139,-0.0,0.2,0.9
2927,1.0,0.0,-0.0
2455,2.6,3.1,6.0
2210,0.9,0.5,1.8
2768,0.3,0.4,1.8
2242,1.0,0.3,-0.0
2419,0.4,-0.0,2.9
2309,0.6,0.1,1.1
3413,0.9,-0.0,-0.0
3959,0.4,0.8,2.9
2937,-0.0,1.5,0.0
3486,0.7,0.0,-0.0
3305,0.0,0.1,0.0
3508,1.3,-0.0,3.7
3116,1.3,-0.0,-0.0
2211,1.8,0.0,0.0
3727,1.0,0.0,2.1
2121,1.5,0.0,4.1
3598,0.4,0.1,-0.0
2190,1.9,-0.0,0.0
2636,2.9,-0.0,4.2
3901,1.3,-0.0,2.7
3059,1.4,0.0,5.7
3093,1.5,0.0,1.3
2487,0.9,1.6,5.0
3033,2.8,-0.0,-0.0
2128,1.4,0.0,0.0
2721,1.6,-0.0,0.0
2766,0.5,0.1,0.7
2229,1.9,-0.0,0.0
3343,0.9,0.2,0.0
2352,1.6,1.9,0.0
2575,1.4,2.1,5.0
2876,0.2,0.4,0.0
3929,0.7,0.5,-0.0
2392,1.2,0.0,3.7
3469,0.4,0.4,1.3
2260,1.3,0.5,1.8
2270,0.0,-0.0,0.1
2546,0.7,0.1,1.0
3428,0.5,0.3,0.9
2024,-0.0,0.1,0.5
3605,0.9,1.0,4.1
3743,0.0,0.2,0.7
2214,1.5,3.7,0.0
3865,0.1,0.2,0.5
3766,0.0,0.2,0.3
2374,0.2,0.9,-0.0
2282,0.5,0.1,0.7
3733,2.1,0.4,0.7
3489,1.6,0.7,5.0
3993,1.0,4.1,-0.0
2987,1.5,0.0,4.4
3321,1.4,-0.0,-0.0
3175,0.3,1.1,3.7
2788,0.9,0.0,0.0
2378,1.9,0.8,-0.0
2300,0.8,-0.0,0.0
3158,1.3,0.3,0.0
3042,2.1,-0.0,3.1
2864,0.1,0.7,0.7
3224,1.2,1.3,-0.0
2934,0.5,0.3,0.0
3557,1.0,0.3,0.0
3615,0.0,0.3,-0.0
3940,1.0,0.5,4.2
2966,0.1,1.9,0.0
3015,1.3,0.4,2.3
2940,0.1,0.4,1.3
2013,0.0,0.1,0.0
2241,0.2,0.7,0.0
2261,0.3,0.3,4.2
3104,0.0,0.0,0.1
3717,1.4,1.9,6.6
2522,0.6,0.2,2.1
2446,0.7,-0.0,0.0
3238,0.8,0.2,1.3
3691,0.7,-0.1,0.0
2608,-0.0,0.1,0.1
2703,-0.0,2.0,0.0
3818,0.2,0.3,2.7
2664,2.3,0.0,3.8
3242,1.5,1.0,3.0
2531,1.7,2.2,5.6
2417,1.3,0.1,2.2
2325,0.4,0.1,-0.0
2265,-0.0,0.5,0.7
2005,1.1,0.0,0.0
2023,1.7,1.4,2.6
2225,1.5,1.4,4.2
2244,0.0,0.5,0.0
2295,1.4,-0.0,4.8
2143,2.1,0.0,1.6
2908,0.7,0.2,0.9
2058,0.7,0.1,0.1
3419,0.6,0.5,3.6
3855,1.9,0.2,0.0
2623,1.0,0.8,2.6
2137,1.0,0.5,2.1
2400,1.8,-0.0,6.6
3857,2.3,-0.0,2.8
2493,0.1,1.4,0.0
3569,0.5,0.2,1.4
2619,1.3,0.7,2.1
3871,0.8,0.5,-0.0
3710,1.1,1.3,0.0
2448,2.1,2.0,4.6
3176,0.4,0.0,-0.0
2732,2.5,-0.0,4.1
2385,1.3,-0.0,2.0
3919,0.1,0.8,2.1
3399,2.3,2.1,4.2
3609,0.0,0.3,0.0
3567,0.8,-0.0,1.8
2160,0.8,0.0,-0.0
2454,1.6,-0.0,2.3
3587,2.1,1.6,3.8
2856,1.4,1.0,4.1
2630,1.9,0.4,2.3
3125,0.6,0.2,0.0
3632,1.4,0.2,2.1
2286,0.3,0.8,-0.0
3814,0.7,0.2,1.3
2645,0.5,0.3,1.3
2893,0.8,0.3,-0.0
2798,2.3,-0.0,0.0
2588,-0.0,1.3,2.1
2605,0.1,0.7,1.4
2860,0.2,0.1,0.2
2444,0.0,0.2,-0.0
2738,0.6,1.3,2.3
3711,1.6,1.4,3.1
2068,0.3,0.8,0.0
2209,0.1,0.5,1.9
2362,0.8,1.0,0.0
3964,1.9,2.7,0.0
3054,1.3,0.7,2.1
3607,1.2,0.7,-0.0
2037,0.4,0.1,0.5
2509,0.8,0.9,-0.0
3032,1.1,-0.0,0.0
3834,0.3,0.7,0.0
2595,1.8,0.0,-0.0
3371,0.5,0.1,0.7
2912,0.3,0.2,1.9
2239,0.6,0.9,-0.0
3154,1.3,1.2,-0.0
2801,0.3,0.3,-0.0
2855,0.7,0.1,0.9
2532,1.2,-0.0,2.5
3064,0.0,0.5,3.8
2983,1.7,0.0,4.4
3962,0.2,0.0,0.0
2411,1.0,0.2,2.0
2148,2.5,-0.0,4.0
2337,1.2,0.0,1.3
3550,0.7,-0.0,0.0
2834,2.9,-0.0,5.0
2397,0.5,0.3,-0.0
3217,1.8,-0.0,2.9
3037,-0.0,0.7,-0.0
3924,0.1,0.5,2.1
3850,1.3,0.0,2.3
3488,0.4,0.4,1.9
3877,1.9,0.0,0.0
3479,1.2,1.3,5.7
2739,1.1,0.0,0.0
3769,0.5,0.4,0.0
3477,0.8,0.0,2.1
3817,0.8,0.5,2.1
3166,0.6,0.1,0.0
3760,1.7,-0.0,4.8
3405,1.3,0.7,2.6
3406,0.5,0.1,2.6
2146,0.3,0.1,0.7
2067,0.9,0.3,2.3
2140,1.4,-0.0,2.5
2510,1.9,-0.0,5.6
3672,0.1,0.1,1.3
3202,0.2,0.1,0.5
3624,0.6,0.1,0.7
3040,0.1,0.1,0.2
2818,1.0,1.3,4.1
2933,0.2,0.2,0.0
2613,1.2,0.2,1.8
2557,1.6,0.0,2.3
2534,0.4,1.3,0.0
3757,0.1,0.9,0.0
2641,0.5,0.2,0.9
3480,0.5,0.1,0.5
2304,1.5,0.4,-0.0
3342,3.7,0.0,3.6
2469,0.2,0.2,1.8
3024,1.8,0.0,5.4
3813,0.1,0.2,0.1
3686,1.5,-0.0,0.1
3077,1.6,0.6,2.8
3869,0.9,0.0,0.0
