,x1,x2,x3
3067,0.24905923,-0.6449582,0.2730214
3796,-0.07350962,0.028245293,0.0723664
2169,0.17460188,0.88835263,0.035618473
2121,0.36224967,-0.5724947,0.09806137
3273,0.15913258,-0.53901875,0.2750754
3834,0.14555138,-0.35279113,0.17087087
3824,-1.0985467,-1.3716407,2.1132176
3988,0.5274845,-0.62865406,0.03134303
3466,0.6828261,-2.5874531,1.36954
2293,-0.30048913,0.16324112,0.24476115
3199,0.24428295,-0.2771354,-0.015330506
2785,-0.11538504,-2.0143735,1.6898104
3050,-0.21343565,0.0871347,0.15980633
3590,-0.07640157,-1.0793412,0.9022732
2453,0.41041028,-0.49581686,0.051060725
3632,-0.034971572,-0.08883269,0.119977236
3092,0.3093339,-0.43867826,0.055156995
3415,0.025797438,-1.6147877,1.2444402
3396,0.09610533,-0.5323042,0.35093683
3056,0.012966871,-0.48783773,0.381826
3223,-0.027283775,-0.3506754,0.29450572
2084,0.719255,-0.8504274,-0.04404988
3436,-0.10709293,0.1365225,0.0026019097
3193,0.20716384,-0.49127063,1.3537891
2148,0.25875694,-0.53784764,0.19539885
3353,0.7234341,-0.6636651,-0.11955681
2241,-0.30932638,1.7107227,-0.2837129
3100,-0.01642244,-0.35577813,0.30619726
3781,-0.3614182,0.28607404,0.2809596
2984,-0.35630324,-0.13432932,0.44373187
3672,-0.28985548,0.37379506,0.035446
3668,0.60201055,-0.90332425,0.13135746
3910,0.3301814,-0.65705633,0.18162434
3061,0.3130134,-1.5983142,0.93036187
3055,0.45313674,-1.1218106,0.41868234
3587,0.45622727,-1.5826695,0.8381805
2162,-0.6035488,1.004416,-0.007857004
3521,-0.19581841,0.26906148,0.031319093
3821,0.41208082,-1.0605499,0.4107619
2079,-0.47550738,1.498891,0.094198585
2549,0.4308589,-1.3156302,0.5983772
3460,-0.25276464,0.95498115,0.19383745
3224,0.26146185,-1.6425889,1.0653545
2837,0.891397,-1.1422299,0.06686678
2147,0.7967532,-1.1207055,0.154478
3566,0.63756114,-1.4557048,0.5106455
3277,-0.13299873,0.37611076,0.3109237
3562,-0.22001664,-0.19373617,0.37395054
2301,0.32620862,-0.8204694,0.31134748
2304,-0.8538818,0.1500986,0.70893
2783,-0.08855517,-0.30411312,0.36674103
3413,0.09023966,-0.1844002,0.05817573
2584,0.21213666,-0.25228864,0.034489702
2203,0.06810501,0.0015092716,0.2511513
3520,-0.3867873,-0.07466053,0.4296004
2532,0.6717774,-1.2711849,0.3440577
3015,0.041135527,-0.500509,0.35691833
3999,-0.036089007,-0.514412,0.46740445
2861,-0.21517688,0.4480018,0.26072356
2170,0.7435342,-1.3355081,0.37230015
3290,0.10596442,0.02999109,0.21308398
2694,0.7341364,-0.5690403,-0.24126008
3083,-0.2597134,-0.14159563,0.5208181
2631,0.43675283,-0.24508183,-0.23613362
3412,-0.05973916,-1.264574,1.0274141
3887,0.079586506,-1.313301,0.9887017
3355,0.4582665,0.72266346,0.17125043
2745,-0.28563967,0.17151943,0.2330776
3867,-0.024529833,0.24805622,0.04136866
3376,0.22698115,-1.690283,1.089827
3803,0.4584736,0.33626446,-0.081270956
2753,-0.7637105,-1.6302304,2.0483737
2964,0.50023514,-0.46110642,-0.1032218
2675,1.1642394,-0.37627834,-0.81208205
2195,1.4794879,-1.1790931,-0.50375426
3500,0.7810178,-0.9267369,0.044745
2329,-0.043682717,-0.087999344,0.14954033
3305,-0.15852505,0.38080502,0.19158243
2510,1.1769861,-0.8159908,-0.51150256
3631,-0.08536395,-0.6437242,0.6241772
3997,0.2346262,-0.23998001,-0.04062605
2275,0.53115314,-1.8689535,0.9339038
2427,0.62220323,-2.2122087,1.1561539
3375,-0.5206715,0.35547405,0.24030392
2534,0.22999975,-1.4714671,1.079831
2934,-0.20416419,-0.5434045,0.67916524
3926,-1.351776,-0.82352036,1.9569263
2709,0.43675828,-1.217835,1.745437
2416,-0.39400083,-0.56371856,0.81463593
2895,0.0065209805,-0.46333808,0.34613597
3167,0.105518006,-0.23856136,0.09254732
3164,0.48655054,-0.44477677,-0.0024868965
3373,0.064054266,0.29234493,0.25193173
2448,0.7742474,-1.1861575,0.17856798
3064,-0.29313588,-1.1429677,1.1629239
2673,0.46487352,-0.5032438,-0.00985167
2531,0.7264822,-0.7916734,-0.06415729
3984,0.7379206,-1.047697,0.11263175
2342,0.26912457,0.02916441,-0.24870417
2904,0.5397183,0.8905182,-0.07983287
2013,-0.5434235,0.8089099,0.13164167
3886,-0.53042096,1.0541117,0.2724678
2583,0.23561029,-0.6996069,0.377987
3865,-0.19771314,0.19286604,0.07846215
3016,0.12005854,-2.2106073,1.637152
2204,0.10703225,-0.120680235,0.010232109
3879,0.20136246,-0.65327126,0.31413215
2711,0.27354512,-1.0829935,0.6287008
2771,-0.016023282,-0.219029,0.22012824
3624,0.019819116,0.025192153,-0.027781654
2703,0.5604396,-0.8720337,0.17163041
2560,0.02283535,-0.31120718,0.26845488
2921,-0.28394714,0.23531291,0.25040627
2287,0.66971666,-1.106562,0.25295198
3307,0.71215147,-1.0960368,0.15742727
2129,0.013586139,-0.685511,0.5091992
3012,1.1880907,-0.58370036,-0.65110254
3180,0.054723356,-0.27976236,0.23652323
3108,0.45945537,-0.71403563,0.7875985
3782,-0.090315655,1.4676107,0.042180706
3644,0.8029473,-1.0288099,0.1679388
3068,0.391695,-0.6145184,0.14521472
3639,-0.056436658,0.8705306,0.1944956
3556,0.5760118,-0.6179012,-0.024521422
2749,0.46259323,-1.6138492,0.79624796
2457,0.29673323,-1.57593,0.917796
2050,1.7149739,-2.2074142,0.06993146
2888,0.059393477,-0.21094546,0.10729446
2232,-0.026977077,-0.8628031,0.7230836
3563,0.10644044,-0.3014397,0.12861916
2574,1.0608622,-1.3556166,0.033940174
3735,0.02018323,-0.6209319,0.4548573
2725,-0.29303867,1.0281533,-0.48236892
2509,0.3648422,-0.4024196,-0.032681346
2365,1.1489822,-1.5942336,0.13552146
2991,-0.24856219,-0.90176356,0.94502366
2070,0.4558615,-1.1830987,0.47793683
3094,0.3604133,-0.60709643,0.14339986
3904,0.41330615,-0.47227222,-0.016295338
2280,-0.01264255,-0.99765885,0.8120369
3002,0.49219814,-0.5640719,-0.029069806
2052,0.74895823,-0.81090736,-0.04694109
3881,0.09065567,-1.4082258,0.99702317
3876,0.21744728,-0.31072628,0.031791113
3751,0.019047467,-0.27011797,0.20913856
2575,0.5012214,-1.0660814,0.3528692
2759,0.70761466,-0.883036,-0.006974864
2483,0.24259992,-0.2961458,0.038111288
2497,0.23260699,-0.6004234,0.27091452
3535,0.8472534,-1.2005023,0.10834875
2679,0.7037929,-1.8096904,0.7261794
3794,0.14073499,-1.8963728,1.313722
2915,-0.7233256,-0.37682217,0.9882304
2184,-0.1667292,-0.6970231,0.69520366
3053,-0.4694795,-0.57541305,0.9206141
3565,-0.17310819,-1.7898867,1.6509625
3955,0.16585866,0.5480267,0.50453705
3312,-0.12697645,0.11727433,0.036145307
2986,0.38201702,-2.033785,1.224369
3618,0.28894413,-2.5270836,1.6606132
3657,-0.5835377,-0.15145591,0.74952704
3940,0.4724501,-1.2314006,0.5562693
3899,-0.53995687,0.7597961,0.26841745
2258,-0.39911303,-0.09809818,0.4789943
3873,0.5392655,-0.6965603,0.06996553
2122,0.57141495,-1.1016768,0.28961354
2300,0.1361673,-0.5930155,0.32562295
3133,0.15360065,-0.67607915,0.4262889
3572,0.01511971,-0.52744895,0.38961524
3278,-0.2433118,-1.1318717,1.1367997
3847,-1.2338626,-1.5850438,2.4450166
3875,-0.60865885,0.51430374,0.1923221
3850,0.24658135,-0.8544032,0.43853027
2645,-0.36529675,0.5343065,0.40118328
2630,-0.49165854,-0.8774222,1.1930017
2197,0.29833296,-0.28072318,0.057498705
2454,0.3902657,-0.47353318,0.023252582
3386,0.020055039,-0.1674984,0.16074747
3907,-0.22261247,-0.48400116,0.59179944
3286,-0.12614003,-1.140579,1.0124555
2480,0.58304113,-0.58811194,-0.07619883
3403,-0.32925487,0.67480636,0.018729446
3659,0.48410872,-0.7762023,0.2895669
3282,1.2689142,-1.006615,-0.4556001
2800,-0.1687803,-0.07846256,0.25929514
2470,0.43806025,-0.4582542,0.4788151
3912,-0.05336497,-0.09470853,0.25281098
2164,-0.029074574,-0.20896801,0.25530288
2501,-0.4928329,0.31768715,0.32921883
3042,0.8163559,-1.4797585,0.37336764
2786,0.088303946,-0.039165176,-0.020345688
2821,-0.041838504,-0.2495066,0.23521127
3344,0.38453117,-1.1452777,0.5095584
3458,0.1347903,-0.17804965,0.017415786
2418,0.48551333,-0.024410188,0.190499
3788,0.7935931,-1.1244117,0.15135852
3266,0.012553024,-0.9299495,0.6979963
3198,-0.30076596,-0.052284777,0.6979014
2312,0.5022751,-0.80364394,0.12766267
3200,0.41577896,-2.120307,1.250311
