,y
3097,1.0
2855,1.0
2316,1.0
2258,1.0
3329,1.0
3686,1.0
3078,1.0
3403,1.0
3789,1.0
2906,1.0
2172,0.0
2876,1.0
2517,1.0
3396,1.0
3034,1.0
2966,1.0
2176,1.0
3536,1.0
3244,1.0
3929,1.0
2096,1.0
3200,1.0
2140,1.0
3902,1.0
3133,1.0
3823,1.0
2933,1.0
3881,1.0
3487,1.0
2783,1.0
2320,1.0
3373,1.0
2045,1.0
3838,1.0
2146,1.0
2021,1.0
3893,1.0
3644,1.0
2169,1.0
3798,1.0
2837,1.0
3979,1.0
3069,1.0
2275,1.0
2337,1.0
3281,1.0
3581,0.0
2210,1.0
3495,1.0
3977,1.0
3128,1.0
2953,1.0
3270,1.0
2233,1.0
3618,1.0
3401,0.0
3547,1.0
3485,1.0
3386,1.0
2263,1.0
2064,1.0
3872,1.0
3267,1.0
2180,1.0
2665,1.0
2290,1.0
2129,1.0
2869,1.0
3988,1.0
2119,1.0
3582,1.0
3586,1.0
3822,1.0
2062,1.0
3856,1.0
3945,1.0
2278,1.0
2084,1.0
2065,1.0
3226,1.0
2400,1.0
3120,0.0
2137,1.0
3136,1.0
3703,1.0
3854,1.0
3718,1.0
3969,1.0
3772,1.0
2711,1.0
3054,0.0
3450,1.0
2836,1.0
2343,1.0
3724,1.0
2908,1.0
2272,1.0
2680,1.0
3756,1.0
3346,1.0
3817,1.0
2370,1.0
2556,0.0
3343,1.0
2342,1.0
3312,0.0
2690,0.0
3707,1.0
2962,1.0
2280,1.0
2755,1.0
3369,1.0
2088,1.0
3700,1.0
3928,1.0
3994,1.0
2115,1.0
2194,1.0
2576,1.0
2253,1.0
2014,1.0
3139,1.0
3780,1.0
2229,1.0
2167,1.0
3632,1.0
2595,1.0
3919,1.0
2444,1.0
2368,1.0
3500,1.0
2980,1.0
2436,1.0
3265,1.0
3207,1.0
3654,1.0
3901,1.0
2923,1.0
3814,1.0
3024,1.0
2686,1.0
2892,1.0
3076,1.0
2204,1.0
3989,1.0
2347,1.0
2560,1.0
3999,1.0
3250,1.0
2958,1.0
3539,1.0
2189,0.0
3924,1.0
2469,1.0
3246,1.0
3100,1.0
3059,1.0
3991,1.0
2912,1.0
3381,1.0
3757,1.0
3678,1.0
2061,1.0
2582,1.0
3266,1.0
3765,1.0
2572,1.0
3219,1.0
3528,1.0
2329,1.0
3257,1.0
2785,1.0
3733,1.0
2715,1.0
2623,1.0
3227,1.0
3895,1.0
3002,1.0
2915,1.0
2910,1.0
3405,1.0
3488,1.0
3963,1.0
3164,1.0
2917,1.0
3522,1.0
2432,1.0
2453,1.0
2660,1.0
3729,1.0
3029,1.0
2023,1.0
2150,1.0
2328,1.0
3243,1.0
3971,1.0
3089,1.0
2366,1.0
3453,1.0
3997,1.0
