ix,goal_cost,intv_cost
3060,0.904,5.6000000000000005
2674,0.904,3.9000000000000004
3206,0.922,1.4
3393,0.91,2.3000000000000003
2774,0.94,1.6
3382,0.908,3.2
2786,0.908,3.7
2986,0.908,9.0
3267,0.91,2.9000000000000004
2615,0.906,6.3
3629,0.924,2.3
3756,0.938,1.2
2225,0.918,2.6
2119,0.92,4.3999999999999995
3946,0.918,1.3
2321,0.93,1.8
3199,0.97,3.0
2975,0.914,7.7
3338,0.908,2.7
3371,0.924,3.1999999999999997
3572,0.906,1.9
2867,0.918,3.9
3289,0.91,3.9
2709,0.918,9.8
2694,0.934,2.5999999999999996
2628,0.908,1.7000000000000002
3493,0.928,1.3
3369,0.938,1.2
2507,0.946,4.0
2783,0.946,5.0
2495,0.902,1.1
3378,0.91,5.9
2371,0.924,6.300000000000001
3139,0.91,1.7
2037,0.904,1.2
3134,0.904,1.1
2895,0.914,1.3
3719,0.912,3.9
3479,0.91,10.7
2253,0.904,10.5
3929,0.962,2.1
3871,0.92,2.4
2115,0.906,12.100000000000001
3373,0.904,2.1
3605,0.91,2.0
2837,0.904,9.7
3233,0.916,4.5
2981,0.906,3.2
2065,0.926,2.0
3015,0.91,1.9
2375,0.91,2.2
2488,0.942,5.2
3840,0.932,3.1
3079,0.904,3.5999999999999996
3050,0.926,1.3
3053,0.914,6.5
2209,0.92,3.5
2276,0.916,3.2
3647,0.908,5.199999999999999
3544,0.904,1.4
2272,0.906,14.100000000000001
2925,0.906,2.1
3077,0.94,2.2
2678,0.916,15.0
3724,0.912,2.9
3358,0.908,1.3
3735,0.906,9.600000000000001
3305,0.908,1.2
2675,0.906,2.5
3124,0.916,3.0999999999999996
3441,0.912,0.9
3243,0.934,2.4
2799,0.906,3.5
3217,0.902,7.300000000000001
3024,0.916,5.3999999999999995
3959,0.918,3.3
2412,0.904,3.1
3747,0.954,0.8
2583,0.934,4.9
3539,0.906,7.2
3342,0.918,10.5
3955,0.908,6.4
3128,0.92,1.3
3645,0.906,14.1
2323,0.908,7.4
3032,0.914,6.4
2090,0.908,1.5
2556,0.906,1.7
3226,0.912,5.7
3391,0.918,3.7
2754,0.904,4.0
2417,0.948,3.0
2172,0.902,1.8
3867,0.902,1.3
2232,0.94,3.7
2886,0.904,1.5
3376,0.904,3.5999999999999996
3710,0.902,4.9
2947,0.902,1.5
3344,0.908,8.4
3887,0.904,6.9
3620,0.912,4.7
2660,0.944,1.7
2546,0.93,3.0999999999999996
2594,0.912,0.3
2139,0.904,5.8
2370,0.902,8.5
3628,0.91,8.9
3120,0.908,4.300000000000001
2513,0.902,11.0
3343,0.926,1.6
2295,0.902,9.2
3303,0.924,4.1
2517,0.904,2.0
2501,0.922,1.3
3047,0.908,1.5
3290,0.906,1.7000000000000002
3822,1.0,0.4
2879,0.914,2.2
2990,0.936,4.3
3956,0.904,3.1
3989,0.9039999842643738,1.5
3637,0.934,1.8
3691,0.916,1.6
3166,0.91,1.8
3295,0.906,1.5
2681,0.934,1.3
3700,0.908,1.0
2045,0.932,2.6
2946,0.936,1.3
3163,0.91,2.8
3837,0.936,1.3
2703,0.918,3.1
2715,0.902,13.399999999999999
2022,0.908,4.9
2048,0.914,3.9
3940,0.902,8.2
3602,0.908,10.2
2824,0.902,3.5
2771,0.902,0.9
3008,0.921999990940094,2.5
2632,0.902,5.6
3782,0.904,2.4
3784,0.904,9.0
3458,0.922,2.6
3904,0.921999990940094,7.5
2189,0.908,5.4
3703,0.904,6.4
3966,0.926,2.3
3672,0.918,1.9
3718,0.9399999976158142,1.0
3828,0.91,1.6
2369,0.91,4.3
2956,0.938,1.7
3158,0.928,2.7
3536,0.908,10.399999999999999
2070,0.912,9.1
2910,0.912,4.8
3262,0.922,6.5
2483,0.916,0.8
3624,0.91,3.6000000000000005
3251,0.938,1.8
3122,0.962,2.3
3911,0.916,10.200000000000001
2569,0.916,3.5
2307,0.904,7.2
2226,0.93,4.1
2073,0.908,2.9
3984,0.902,3.3
3265,0.906,2.8000000000000003
3464,0.92,2.7
3353,0.926,3.3
3356,0.904,2.1
2934,0.914,1.9
2392,0.906,8.9
3392,0.918,1.1
3910,0.906,2.9
2081,0.902,0.8
2170,0.908,5.5
3912,0.908,1.0
3196,0.906,6.6
3426,0.938,3.4000000000000004
3877,0.922,3.2
3198,0.918,1.6
3246,0.906000018119812,7.0
2984,0.912,1.2
3631,0.936,1.6
3181,0.92,9.5
3962,0.95,0.6
2630,0.904,6.8
2024,0.908,1.3
2366,0.924,1.8
3330,0.908,12.6
3639,0.904,4.3
2494,0.918,2.3
3266,0.904,4.699999999999999
2477,0.936,2.7
2828,0.908,1.9
2619,0.904,6.3
2818,0.908,8.6
