,x1,x2,x3
2440,-1.0377944,-2.9151511,-4.012755
2107,-0.30066836,-0.15035686,-0.37054604
2481,-0.061711162,-0.30564228,-0.3809996
2728,-1.9082834,-1.8525859,-3.747846
3350,-1.3517479,-3.3365529,-4.656897
2309,-0.9334536,-2.7348113,-3.5371618
3829,-0.24386276,-1.0456399,-1.4029393
3241,-0.7445974,-1.0533696,-1.7013109
3792,-0.9520522,-1.1302546,-2.286151
2297,0.6102507,-0.66474414,-0.08692967
2944,-1.3862052,-1.8656435,-3.2368596
2296,0.54781413,-1.2325488,-0.56644744
2679,-0.5927207,-1.2967931,-1.934994
3311,-0.8052195,-0.3332315,-1.1816579
2762,-0.5886788,-0.76050115,-1.4018394
2640,-0.7140181,-0.08486694,-1.007788
2103,-0.85549814,-1.6036731,-2.4287286
3955,-0.65509903,-1.217289,-1.9500332
2399,-0.39542085,-0.7934415,-1.2221435
3083,-0.2843304,-1.4855653,-1.6569341
3745,-1.4727784,-1.4021147,-2.8899932
3466,-0.11875708,0.121932395,-0.023846043
3703,-0.15081696,-0.7748735,-0.8341732
3065,-0.51676667,-0.07810435,-0.66647923
2266,-0.12078197,-0.7116315,-0.90212834
3286,-1.2527854,-2.1468515,-3.3353107
2847,0.5833567,-0.63740474,-0.06668731
2692,-1.0564169,-0.009165287,-0.91497785
3365,-0.18979599,-1.7411335,-2.012701
3059,-1.1478153,0.7670344,-0.3884671
3785,-2.1082604,-2.8819966,-4.9847364
2828,-0.78605783,-2.1612792,-2.8622072
3270,-0.8984496,-0.3367762,-1.2982409
3419,-0.5060357,-1.5189869,-1.9695011
2609,-0.4910445,-1.7104605,-2.2759042
3822,-0.65971327,-0.25064206,-0.89269865
2288,0.5186511,-1.2372044,-0.6167423
2940,-1.0516659,0.49557316,-0.6438644
3712,-2.0076597,-2.7105806,-4.758266
2860,-0.40797222,-1.0488821,-1.3112243
3185,-0.29606086,-0.6484808,-0.7882516
3002,-0.68309784,-1.3546314,-2.2085965
3165,0.12597816,-0.28996426,-0.22178973
2248,-1.1670431,-1.6726454,-2.6725383
2271,-1.1312709,-1.857606,-2.9355137
2009,-0.12018992,-0.8377339,-0.8600503
3922,-0.55471665,-2.0024683,-2.4126601
3008,-1.3506304,-0.00054097176,-1.4601732
2147,0.58735293,-0.8359954,-0.30322388
2114,-0.7138728,-1.8319587,-2.5916595
2802,-0.8994481,-1.5865402,-2.5176892
2464,-1.7078395,-1.1063201,-2.7740843
3260,-0.40393764,-0.14986706,-0.5558114
2913,-0.98107433,-1.3888448,-2.3857627
3146,-0.4765963,0.25432462,-0.124779806
2327,-1.4898845,-2.5315368,-4.1570244
2801,0.093338,-1.0223193,-0.95355535
3936,-1.108388,-2.177766,-3.145017
2581,-1.392053,-1.5708412,-3.0072184
2947,0.05174267,-0.7095348,-0.6490212
3588,-0.88390064,0.5290649,-0.123308256
2322,-1.1673142,-0.36791283,-1.4603295
3036,-0.21374245,-0.30760372,-0.4179579
2671,-1.9336864,-3.8095758,-5.6472483
3851,-0.6809113,-0.99264914,-1.4651994
3604,-1.1848551,-1.1392092,-2.2546785
2686,-0.91587454,0.1552915,-0.7274741
2229,0.09144142,-0.3308681,-0.30994755
3698,0.0958794,-0.38958663,-0.29589215
3051,-0.25482598,-1.382171,-1.6252811
3376,-0.6299853,-1.0748851,-1.6521866
2451,-0.81610304,-0.4290105,-1.2629862
3832,-0.41500854,-0.2914426,-0.5567426
3284,-0.9305195,-2.1101563,-3.1252525
2962,-0.39871067,0.40332305,-0.04913971
2090,-1.2094896,-0.37573093,-1.6126908
2203,-0.31790346,-1.1560421,-1.4696252
3867,-0.0053499048,-0.14643386,-0.33898908
3180,0.2715144,-1.7590439,-1.5401523
3870,-0.4878681,-0.51871884,-1.1052325
3724,0.031542066,-0.622268,-0.46905857
3175,-0.95449454,-0.77979374,-1.7887127
3336,-0.74201465,-1.1452365,-2.0302289
2465,-0.21277252,-0.96406555,-1.2097743
3102,0.33641192,-0.66831076,-0.2455518
2571,-1.1292294,-1.232515,-2.3817239
2217,-1.7319187,-3.5675926,-5.1688805
2626,-2.003418,0.08791733,-2.149524
3742,-1.8051852,-1.8220402,-3.7112691
3450,-0.9457487,0.14753914,-0.8178191
2907,-1.2446882,-1.8130709,-3.1503508
2397,-1.5702153,-0.84506047,-2.464094
3169,0.19832075,-0.35552245,-0.16453949
2450,-2.3017209,-1.2098337,-3.478599
2321,-0.8496309,-2.5200338,-3.4833195
2914,-1.1335636,-0.9343941,-2.115063
2112,-0.4426995,-1.5251427,-1.8880163
2139,-1.4134744,-1.0858653,-2.496611
2293,-0.43589374,-0.08108476,-0.4194363
2916,-1.7049309,-3.8073692,-5.5538955
2482,-1.2809668,0.28754854,-1.0534096
3779,-0.36875343,-0.2768055,-0.67490375
3308,-0.115554005,-1.4294308,-1.4352578
3537,-0.11436075,-2.063545,-2.2740571
2558,0.063495435,-0.8542847,-0.79006183
2077,-0.78335756,-0.25388843,-0.98031175
2651,-1.6118846,-2.239944,-3.5722237
3840,-0.48459446,-1.8242006,-2.3569415
3581,0.03192743,-0.6468608,-0.502785
