ix,goal_cost,intv_cost
2440,0.913,10.299999999999999
2107,0.902,1.5
2481,0.939,0.9
2728,0.908,2.4
3350,0.912,5.9
2309,0.903,9.3
3829,0.908,5.0
3241,0.9179999828338623,1.5
3792,0.901,6.7
2297,0.913,1.2
2944,0.905,6.6000000000000005
2296,0.903,1.8
2679,0.902,6.1
3311,0.926,1.2
2762,0.9049999713897705,2.5
2640,0.906,4.0
2103,0.902,1.8
3955,0.901,4.4
2399,0.904,3.7
3083,0.916,2.9
3745,0.901,7.800000000000001
3466,0.932,0.7
3703,0.903,2.0
3065,0.981,1.2
2266,0.934,1.1
3286,0.907,4.5
2847,0.912,1.6
2692,0.908,1.1
3365,0.906,6.199999999999999
3059,0.905,0.8
3785,0.912,12.299999999999999
2828,0.908,4.0
3270,0.923,1.3
3419,0.902,3.0999999999999996
2609,0.9129999876022339,3.5
3822,0.9129999876022339,1.0
2288,0.911,0.9
2940,0.914,0.9
3712,0.906,11.8
2860,0.903,2.4
3185,0.904,2.0
3002,0.921,1.7
3165,0.903,1.3
2248,0.909,7.800000000000001
2271,0.909,2.1
2009,0.907,4.1000000000000005
3922,0.906,3.5999999999999996
3008,0.903,3.7
2147,0.932,0.8
2114,0.907,7.5
2802,0.906,7.300000000000001
2464,0.9100000262260437,2.0
3260,0.92,0.9
2913,0.913,7.1
3146,0.921,0.7
2327,0.909,10.6
2801,0.907,1.0
3936,0.907,8.7
2581,0.911,6.2
2947,0.906,1.7999999999999998
3588,0.91,0.7
2322,0.905,1.3
3036,0.913,0.8
2671,0.911,13.6
3851,0.906,3.8
3604,0.902,1.7
2686,0.903,2.5
2229,0.903,0.7
3698,0.933,0.8
3051,0.902,2.8
3376,0.91,2.9
2451,0.907,3.2
3832,0.987,1.3
3284,0.915,4.3
2962,0.902,0.5
2090,0.913,1.4
2203,0.916,2.7
3867,0.935,0.8
3180,0.903,2.7
3870,0.918,1.1
3724,0.901,1.6
3175,0.907,1.4
3336,0.91,6.199999999999999
2465,0.907,2.3
3102,0.918,1.4
2571,0.901,3.4
2217,0.908,12.600000000000001
2626,0.972,1.9
3742,0.922,4.800000000000001
3450,0.924,2.4
2907,0.957,2.3
2397,0.904,6.8999999999999995
3169,0.916,0.7
2450,0.917,2.4
2321,0.906,9.3
2914,0.996,2.3
2112,0.905,6.1
2139,0.901,3.5
2293,0.906,0.8
2916,0.902,3.3
2482,0.904,1.1
3779,0.913,0.9
3308,0.904,2.7
3537,0.906,6.699999999999999
2558,0.93,1.0
2077,0.901,4.2
2651,0.907,9.700000000000001
3840,0.903,6.800000000000001
3581,0.919,0.9
2110,0.904,11.2
3230,0.952,1.3
2163,0.928,0.6
2258,0.903,12.8
2840,0.901,3.5
3107,0.905,2.5
3678,0.91,3.9000000000000004
2869,0.904,13.6
2922,0.906,12.2
2493,0.926,0.7
3876,0.9240000247955322,1.5
2921,0.91,1.6
2949,0.905,1.3
3517,0.914,7.5
3022,0.902,2.0999999999999996
3283,0.905,2.0
2486,0.901,1.3
3289,0.921,1.1
2756,0.901,1.9
3407,0.915,1.5999999999999999
2934,0.951,1.8
3205,0.914,1.0
3130,0.91,2.4000000000000004
3548,0.92,0.7
3132,0.904,10.4
2408,0.904,1.1
2616,0.923,1.4
2704,0.904,5.0
2478,0.912,1.3
3664,0.908,6.800000000000001
3302,0.906,8.6
3556,0.909,3.2
3106,0.901,1.2000000000000002
3990,0.907,9.100000000000001
3549,0.901,2.5
2678,0.906,8.2
2707,0.904,1.8
2557,0.907,4.4
2743,0.901,15.7
3225,0.925,0.6
3734,0.927,0.8
3951,0.957,1.8
2453,0.902,6.2
3094,0.917,0.7
3728,0.907,0.8
3542,0.913,2.8000000000000003
3093,0.913,2.5
3245,0.92,4.2
2183,0.904,13.1
2901,0.978,1.8
2169,0.902,7.799999999999999
2094,0.908,8.2
2946,0.925,1.2
3488,0.914,4.300000000000001
3608,0.901,1.4000000000000001
3692,0.904,9.5
2902,0.911,1.1
2767,0.9110000133514404,1.5
2039,0.906,15.2
3003,0.901,1.4
2460,0.944,1.1
3920,0.907,7.299999999999999
3641,0.91,1.7
3716,0.91,4.3999999999999995
2268,0.908,5.3
2994,0.941,1.3
3534,0.903,0.6
2720,0.904,3.0
3345,0.914,2.7
3869,0.946,1.2
2775,0.902,5.0
2791,0.923,0.9
3072,0.917,0.6
3690,0.905,5.4
3228,0.959,0.9
3966,0.904,11.7
3709,0.902,0.8
3584,0.907,11.8
3421,0.924,1.2
2160,0.913,2.4
2205,0.904,3.3
3660,0.905,2.9
2382,0.916,2.6
2126,0.904,2.3
3932,0.946,0.9
3313,0.904,1.9
3676,0.922,0.7
3086,0.906,0.6
2434,0.916,0.9
3654,0.915,2.1
2391,0.918,2.3
