,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.9,0.9,0.8849999904632568,0.11500000208616257,1.0,1.0,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,2,"[[1.0571628745036765, 1.1444619133730998, 1.0009931667305103], [-0.06495289867542325]]",0.9739999771118164,2.2275
1,1.0,0.9,0.9,0.5550000071525574,0.11999999731779099,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,2,"[[1.0571628745036765, 1.1444619133730998, 1.0009931667305103], [-0.06495289867542325]]",0.753000020980835,3.741999999999999
2,1.0,0.9,0.9,0.5649999976158142,0.11999999731779099,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,2,"[[1.0571628745036765, 1.1444619133730998, 1.0009931667305103], [-0.06495289867542325]]",0.7740000486373901,3.640000000000002
3,1.0,0.9,0.9,0.8899999856948853,0.11999999731779099,0.985,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,2,"[[1.0571628745036765, 1.1444619133730998, 1.0009931667305103], [-0.06495289867542325]]",0.9380000233650208,2.5000000000000013
4,1.0,0.9,0.9,0.5199999809265137,0.10499999672174454,0.97,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,2,"[[1.0571628745036765, 1.1444619133730998, 1.0009931667305103], [-0.06495289867542325]]",0.7749999761581421,4.158
5,1.0,0.9,0.9,0.9549999833106995,0.10999999940395355,1.0,1.0,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,1,"[[1.021913024429533, 0.809138181300334, 1.0571131786015238], [0.004099456996617908]]",0.9950000047683716,2.7390000000000003
6,1.0,0.9,0.9,0.5350000262260437,0.10999999940395355,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,1,"[[1.021913024429533, 0.809138181300334, 1.0571131786015238], [0.004099456996617908]]",0.6399999856948853,3.7344999999999993
7,1.0,0.9,0.9,0.5049999952316284,0.08500000089406967,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,1,"[[1.021913024429533, 0.809138181300334, 1.0571131786015238], [0.004099456996617908]]",0.4139999747276306,4.0654999999999974
8,1.0,0.9,0.9,0.9150000214576721,0.10000000149011612,0.995,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,1,"[[1.021913024429533, 0.809138181300334, 1.0571131786015238], [0.004099456996617908]]",0.9909999966621399,2.9405000000000006
9,1.0,0.9,0.9,0.5550000071525574,0.09000000357627869,0.95,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,1,"[[1.021913024429533, 0.809138181300334, 1.0571131786015238], [0.004099456996617908]]",0.6330000162124634,3.9574999999999996
10,1.0,0.9,0.9,0.9100000262260437,0.09000000357627869,1.0,1.0,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,0,"[[1.0694271572678018, 1.2988483080837487, 0.861742508721648], [0.02682326245724079]]",0.9810000658035278,2.001500000000001
11,1.0,0.9,0.9,0.4650000035762787,0.10499999672174454,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,0,"[[1.0694271572678018, 1.2988483080837487, 0.861742508721648], [0.02682326245724079]]",0.8920000195503235,2.8979999999999984
12,1.0,0.9,0.9,0.48500001430511475,0.11500000208616257,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,0,"[[1.0694271572678018, 1.2988483080837487, 0.861742508721648], [0.02682326245724079]]",0.8600000143051147,4.238
13,1.0,0.9,0.9,0.8949999809265137,0.07500000298023224,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,0,"[[1.0694271572678018, 1.2988483080837487, 0.861742508721648], [0.02682326245724079]]",0.9769999384880066,2.4255
14,1.0,0.9,0.9,0.4950000047683716,0.07999999821186066,0.96,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,0,"[[1.0694271572678018, 1.2988483080837487, 0.861742508721648], [0.02682326245724079]]",0.9019999504089355,
