,x1,x2,x3
3982,-0.0,0.0,2.8
2508,-0.0,0.0,0.6
2711,-0.1,-0.0,-0.0
2226,-0.0,0.0,3.0
2296,0.0,0.0,4.4
2992,-0.0,-0.0,2.2
2021,0.0,0.0,1.7
2544,0.0,0.0,0.7
3759,0.0,0.0,4.8
3569,-0.0,-0.0,0.6
2990,0.0,-0.0,0.6
3035,0.0,0.0,0.4
2416,-0.3,-0.0,0.6
3598,-0.0,-0.1,0.5
2052,-0.0,0.0,5.2
2818,0.0,0.0,3.0
3123,-0.0,-0.0,0.1
3604,0.0,-0.0,1.3
2573,0.0,-0.0,4.9
3390,0.0,-0.0,4.3
2504,0.1,0.0,4.7
3461,0.0,0.0,1.7
3794,0.0,0.0,3.5
2589,0.0,-0.0,2.1
2489,-0.0,0.0,0.6
2719,-0.0,-0.0,2.8
3335,0.0,0.0,1.4
3594,0.0,-0.0,1.0
3682,-0.0,-0.0,2.5
3258,-0.0,0.0,2.2
3266,-0.0,-0.0,2.4
2169,0.0,0.0,3.0
3401,-0.0,0.0,0.9
2146,0.0,-0.0,6.3
3384,0.0,0.0,3.0
3711,-0.0,-0.1,3.0
2861,-0.0,-0.0,0.6
2814,0.0,0.0,5.0
2122,0.0,-0.0,0.1
3055,-0.0,0.0,1.3
3499,0.0,0.0,0.2
3012,-0.0,-0.0,0.9
2497,0.0,0.0,0.5
3091,0.0,-0.0,5.6
3671,-0.0,-0.0,1.5
2812,-0.0,-0.0,1.8
2709,0.0,-0.0,3.2
2726,0.0,-0.1,4.4
2768,0.0,-0.0,2.7
2034,0.0,-0.0,0.4
3207,-0.0,0.0,0.6
2330,0.0,-0.0,4.4
2437,-0.0,-0.0,3.1
2890,-0.0,0.0,3.0
3548,0.0,0.0,2.0
2279,0.0,0.0,1.4
3508,0.0,0.0,5.8
3432,-0.0,0.0,1.8
3550,-0.1,0.0,0.5
3792,-0.0,0.0,3.0
3107,-0.0,-0.0,0.3
2324,-0.0,0.0,0.2
3802,-0.0,0.1,5.4
3903,0.0,0.0,1.1
3795,-0.0,-0.1,3.8
3237,0.0,0.0,3.0
3679,-0.0,0.0,1.4
3780,0.0,-0.1,3.1
2751,0.0,-0.0,0.1
2838,-0.0,-0.1,3.7
3164,-0.1,-0.0,0.5
3979,0.0,-0.0,0.1
2689,0.0,-0.0,1.0
3797,0.0,-0.0,2.6
3166,-0.0,-0.0,2.2
2445,-0.1,-0.0,3.4
2051,-0.0,-0.1,4.9
3719,-0.0,-0.0,4.6
3217,0.0,0.0,2.1
2857,-0.1,-0.0,2.8
2323,0.0,-0.1,1.5
3936,0.0,-0.0,1.9
3656,-0.0,0.0,1.3
2160,0.0,0.0,4.3
2277,0.0,-0.0,0.9
3093,0.0,0.0,0.6
3152,-0.0,-0.0,2.9
2005,-0.0,0.0,2.0
2004,0.0,-0.0,2.4
2415,0.0,-0.0,3.4
3002,-0.3,0.0,1.3
3133,-0.0,-0.0,1.1
3478,0.1,-0.0,2.8
3334,-0.0,-0.1,0.5
3504,0.0,0.0,1.8
3945,-0.0,-0.0,0.5
3855,0.0,-0.0,2.9
3299,-0.0,-0.0,0.3
2519,0.1,-0.0,1.3
3271,0.0,-0.0,2.0
2046,-0.0,0.0,3.8
3489,-0.0,-0.0,1.7
2136,-0.0,-0.0,0.7
3016,-0.0,-0.0,2.0
2456,-0.1,-0.1,2.8
3967,-0.0,0.0,4.0
3100,0.0,0.0,4.6
3232,-0.1,-0.0,3.9
2350,-0.0,0.0,1.7
2735,0.0,0.0,1.7
3534,-0.0,-0.0,2.1
3567,-0.0,0.0,4.1
2022,0.1,0.0,2.4
2102,-0.0,-0.0,0.8
2473,-0.0,0.0,2.9
3279,0.0,0.0,2.8
3902,-0.0,0.0,1.5
2188,0.0,0.0,2.1
2886,0.0,0.0,1.9
3635,-0.0,-0.0,0.6
3995,-0.0,0.0,1.0
3619,0.0,0.0,0.2
2408,-0.1,0.0,4.1
3978,-0.1,-0.1,1.8
3198,-0.0,-0.0,1.7
3473,0.0,-0.0,2.1
2386,0.0,0.0,0.1
2275,-0.0,-0.0,1.4
3608,-0.0,0.0,3.9
3208,0.0,-0.0,0.9
3454,-0.0,-0.0,1.0
2342,-0.0,-0.0,1.9
2843,0.0,0.0,3.9
3337,-0.0,0.0,3.1
2920,-0.0,-0.0,4.2
2582,-0.0,0.0,6.6
3842,-0.0,-0.0,5.4
3307,0.0,0.0,3.5
2362,-0.0,0.0,3.0
2172,-0.0,-0.0,0.4
2128,-0.0,0.0,1.9
2001,0.0,-0.0,2.9
3281,0.0,-0.0,3.5
3657,-0.1,0.0,0.3
2019,-0.0,-0.1,1.4
2698,0.1,0.0,5.5
3715,0.0,-0.0,1.1
3006,0.0,-0.0,0.9
3832,0.0,0.1,0.7
2162,-0.0,0.0,0.8
2035,-0.1,-0.0,2.3
2405,0.0,-0.0,0.9
3834,-0.0,-0.0,0.6
2518,-0.0,-0.0,1.8
3257,-0.0,0.0,0.3
3336,0.0,0.0,1.6
3094,0.0,-0.0,2.4
2853,0.0,-0.1,2.7
2282,0.0,-0.0,1.3
3498,-0.0,0.0,0.1
2407,-0.1,-0.1,3.3
2510,0.0,-0.0,0.1
3690,0.0,-0.0,0.2
2469,0.0,0.0,1.0
2028,0.0,-0.1,2.6
3320,-0.0,0.1,3.1
2889,0.1,0.1,4.3
3344,0.0,-0.0,1.0
3112,0.0,-0.0,1.2
2856,0.0,-0.1,2.6
2193,-0.0,-0.0,0.6
3017,0.0,-0.0,1.7
3044,0.0,-0.0,3.2
2328,0.0,-0.0,0.5
3965,0.0,-0.0,3.4
3103,-0.1,0.0,2.1
2958,-0.0,0.0,0.5
3878,-0.1,-0.1,2.5
3480,-0.0,-0.0,1.7
2554,0.0,0.0,2.1
3681,0.0,-0.0,0.8
3073,0.0,0.0,0.7
2083,0.1,-0.0,2.5
3520,0.0,-0.0,2.3
3872,0.0,-0.0,5.0
3998,0.0,0.0,3.9
3410,-0.0,0.0,1.9
3355,0.0,-0.0,0.2
2137,-0.1,0.0,2.2
2904,0.0,0.0,1.1
2896,-0.0,0.0,1.8
2522,-0.1,0.0,2.9
3976,-0.0,0.0,0.5
2528,-0.0,0.0,0.7
2745,-0.0,-0.1,1.4
2286,-0.1,0.0,1.9
3817,-0.0,0.0,2.7
2976,0.0,0.1,0.1
3876,-0.0,-0.0,1.4
3193,0.0,-0.0,2.2
