,x1,x2
2058,0.9,-0.0
3731,1.3,0.8
3270,1.2,0.0
3039,1.6,-0.0
2441,1.0,0.0
2518,1.2,-0.0
3372,1.1,-0.0
3116,2.6,3.8
2903,1.3,1.4
3376,0.9,0.7
2798,0.6,-0.0
3015,0.4,1.3
2126,1.2,0.0
3705,2.1,-0.0
2840,0.9,2.6
2405,1.1,-0.0
2146,0.6,6.7
3512,1.5,-0.0
2350,2.5,1.8
2719,0.7,3.1
3529,1.8,0.0
3196,2.4,0.0
2423,1.3,2.1
2277,1.3,-0.0
3600,1.9,0.0
2165,0.7,4.6
3986,2.1,0.0
3739,3.1,4.7
3917,1.8,-0.0
3013,1.4,2.1
3169,0.5,-0.0
3185,1.1,0.0
3413,1.3,1.8
2650,0.9,0.0
3154,2.4,0.0
2412,0.9,-0.0
2601,1.8,-0.0
3164,0.6,0.0
2314,1.2,0.0
3298,1.7,4.2
2805,1.4,-0.0
3350,0.9,0.0
2439,3.0,0.0
3240,0.0,1.3
2925,1.6,0.0
2237,1.6,0.0
3904,0.9,0.0
2960,0.9,-0.0
3592,1.1,-0.0
2272,0.7,-0.0
3016,1.1,0.0
3271,1.8,1.4
2502,1.0,-0.0
2239,0.2,1.8
3112,1.0,-0.0
2184,0.6,-0.0
2830,0.2,1.3
2537,0.7,1.9
2983,1.0,-0.0
2915,0.1,0.9
2666,1.8,-0.0
3987,0.7,0.0
3226,1.3,-0.0
2330,1.5,4.2
3501,1.1,0.0
3066,1.9,0.0
3012,0.7,-0.0
3548,0.8,3.1
2217,0.9,-0.0
3881,0.9,-0.0
3163,0.5,0.0
2576,1.3,-0.0
3337,1.8,-0.0
3320,2.1,0.0
3473,0.8,2.1
2890,1.4,-0.0
3373,0.9,0.0
3713,0.1,1.8
2112,1.5,-0.0
3421,0.7,-0.0
2683,1.2,4.6
3035,1.0,-0.0
3369,1.5,0.0
3683,2.1,3.3
2193,0.8,0.0
2509,2.1,3.9
3080,1.9,-0.0
3120,0.6,-0.0
3871,0.1,1.0
2966,0.7,4.2
2173,0.3,3.6
2602,2.5,4.2
3433,0.5,0.0
3598,0.4,1.3
2679,1.3,0.7
3902,1.4,0.0
3527,1.6,-0.0
2619,0.9,2.1
2282,0.8,1.3
2491,1.6,0.0
2188,1.3,-0.0
2849,0.9,0.0
2577,0.4,1.3
3263,0.3,4.1
3597,2.4,0.0
3474,1.5,0.0
2787,1.3,3.3
2831,1.5,-0.0
2362,0.9,2.6
2682,1.4,-0.0
2048,0.8,0.0
2677,3.6,0.0
3802,2.1,3.3
2040,0.8,-0.0
2811,1.4,1.3
3855,1.3,0.0
3152,2.2,2.3
3203,0.7,3.6
3412,1.7,-0.0
3632,0.7,3.1
3191,0.7,-0.0
3926,0.2,1.5
3078,1.2,-0.0
2392,0.6,1.3
3366,1.3,0.0
3702,0.6,2.8
3837,1.9,-0.0
3245,1.3,-0.0
3070,1.0,-0.0
2028,2.4,-0.0
3205,1.4,-0.0
3055,0.8,-0.0
3988,2.6,0.0
2415,2.1,0.0
2402,2.0,-0.0
3541,0.1,1.3
3660,0.6,-0.0
2379,2.4,0.0
3930,1.2,-0.0
2539,1.5,4.2
2016,1.4,-0.0
3458,1.1,2.8
3343,0.8,-0.0
2745,1.0,0.0
3752,0.7,0.0
2656,2.1,0.0
3690,0.6,-0.0
2148,1.4,3.1
3465,0.9,2.1
3769,0.9,-0.0
2629,0.7,2.6
3619,0.9,-0.0
3721,0.7,0.0
2492,0.1,2.6
3748,0.7,0.0
3903,1.4,-0.0
3192,1.1,-0.0
2501,2.1,3.0
2287,0.6,0.0
3044,1.7,0.0
3593,0.9,-0.0
2866,0.3,1.8
3493,0.6,0.0
2919,1.1,3.1
2326,3.4,2.1
3215,2.4,-0.0
2211,2.2,0.0
2856,1.3,-0.0
3318,1.6,-0.0
2726,2.1,4.2
2841,1.3,4.2
3187,0.9,0.8
2169,1.6,0.0
2416,0.0,1.9
2407,1.3,3.6
3931,1.9,0.0
2976,0.5,1.3
3221,1.3,-0.0
2065,0.3,0.9
2904,0.8,-0.0
2300,1.5,2.1
3075,1.8,0.0
3351,1.8,2.1
3378,0.7,-0.0
3395,1.1,-0.0
2874,1.0,3.6
3451,3.2,2.3
2751,0.7,-0.0
3193,1.1,-0.0
3089,0.9,3.1
2368,0.4,2.3
2906,1.4,2.6
3437,2.1,0.0
2992,1.4,-0.0
3499,0.9,-0.0
2689,0.2,1.8
3835,1.7,0.0
3685,0.9,0.0
3461,1.3,0.0
2473,1.3,2.1
