,u_x1,u_x2,u_y,u_x3
2000,-1.8648493,1.0728153,0.9587405,0.20951916
2001,0.6157101,-1.537243,0.8384212,-0.59760153
2002,2.3604302,0.31546807,0.43679404,-2.4110234
2003,0.12034388,0.88145554,0.71757114,0.7093502
2004,-1.7580905,1.1960233,0.8483175,-0.47221327
2005,1.9308196,0.15280066,0.088566184,0.7519674
2006,0.035247326,-0.2610412,0.7049533,-0.82622284
2007,0.20332569,0.83858806,0.5653217,0.3748264
2008,0.5223297,-2.9590962,0.05451286,-1.5271295
2009,-0.5591877,-1.503407,0.4515878,0.033003427
2010,1.039834,-0.30744126,0.20270252,-0.60099506
2011,-1.1889219,-2.053707,0.81216145,-0.94464123
2012,-0.377941,1.0393806,0.95679736,1.7829733
2013,-0.30153197,2.0848641,0.73169744,0.31547216
2014,-0.13684186,-0.49289635,0.9664484,-0.58518577
2015,-1.6707829,-1.1153984,0.3734827,-0.21821238
2016,-0.79262346,-0.85846657,0.39323473,-1.5724448
2017,-0.92564845,-0.43798354,0.36510038,-0.3203525
2018,-1.4571098,-0.7010541,0.48443234,-0.6017979
2019,0.9584706,0.919968,0.08852434,0.42926913
2020,1.3465868,0.13084033,0.27527308,1.3484217
2021,0.7314748,0.051958397,0.8516594,2.9297016
2022,1.2526371,-1.999721,0.07071257,-0.5507354
2023,-2.0852067,1.9535779,0.94187534,0.10628577
2024,1.3066417,-1.1640667,0.14966738,-0.14598542
2025,-0.3686277,-0.75158274,0.056986094,0.39444506
2026,-0.08001151,0.63007003,0.75031734,0.2710122
2027,0.70734143,-1.0221758,0.15441728,-0.90365857
2028,-1.2724327,0.43005595,0.6742884,0.065333955
2029,0.5811303,-0.059136067,0.59264183,-0.022546703
2030,-0.27601406,0.31608623,0.13786423,0.5790005
2031,-0.5011317,-0.6701291,0.2816471,0.1527665
2032,0.7840036,-0.34309798,0.015212417,0.4446457
2033,0.8459829,-0.1032633,0.5155325,-0.40590897
2034,-0.6491881,-0.7287308,0.4785676,-1.5818889
2035,-0.5252717,-0.9536857,0.39150596,-0.30483022
2036,1.0479084,-1.875966,0.5240017,-0.412966
2037,-0.20119244,1.4918071,0.48287547,-1.3548537
2038,1.1437429,0.5106418,0.043638706,0.38494462
2039,0.9688082,-1.2273487,0.95733464,-0.02845199
2040,0.22006305,-0.3764042,0.55700004,0.8358989
2041,-0.6831733,-0.35870597,0.6036086,0.029118469
2042,0.5297803,1.1293807,0.31945956,0.23362444
2043,0.61917645,0.09063727,0.13099444,-1.1107088
2044,-1.1649733,-0.48418522,0.87349916,1.1889518
2045,-0.6706304,0.85483676,0.62757957,0.36303833
2046,1.2954278,-0.9022902,0.78354406,0.7565674
2047,1.453464,1.1828254,0.8241395,-0.36351505
2048,1.1410567,-1.1465229,0.23630345,-1.0213971
2049,2.2485662,-0.3696974,0.60999656,-1.4084123
2050,1.3265007,0.2121504,0.26321697,0.849605
2051,0.5752144,-0.25525382,0.76850927,0.41348168
2052,-1.3372825,-0.03423269,0.31853735,1.9095854
2053,-0.65042406,0.31457597,0.023073673,-0.67040485
2054,-0.28958327,-1.2263498,0.4834478,-0.036260504
2055,-1.9641131,-0.5226412,0.5969806,0.028467685
2056,0.5001158,1.003771,0.0827657,1.0324721
2057,-0.59467447,1.2037696,0.6578084,-0.07008087
2058,0.7637602,0.06569061,0.7337742,-0.19210021
2059,-0.90311754,-0.3572596,0.74799013,1.5687432
2060,-0.19466709,3.2718933,0.62435746,-0.12878834
2061,0.86076176,-0.17675543,0.036658883,1.2055829
2062,-0.08819474,-0.6078491,0.6984552,1.839361
2063,1.4558725,2.332948,0.2668022,1.5590183
2064,0.4446754,-0.28846568,0.86659527,-0.36448628
2065,-0.8008222,-0.36153087,0.55752647,-0.2318261
2066,0.5996585,0.6278817,0.88504636,-1.3838931
2067,0.4172941,-0.1417911,0.40425336,0.40485772
2068,2.2266865,0.16127399,0.67711914,0.14880517
2069,-2.8470283,1.0557889,0.77369916,-0.90892434
2070,-0.23342007,2.1703057,0.11818457,-1.2889256
2071,-1.0468216,1.3368651,0.93365455,-0.4844419
2072,-0.6946937,-0.79734755,0.027304888,-2.1355915
2073,-0.46547,-0.600863,0.48239064,1.0047797
2074,0.3370229,-0.26773998,0.70599496,0.4481965
2075,-0.35535496,-0.81646955,0.4912821,0.156667
2076,0.7151531,0.3665773,0.54137194,-0.8523408
2077,2.011878,-1.060979,0.75609636,-0.8319264
2078,-1.2858528,1.0853211,0.8924484,-1.8922714
2079,1.5386351,0.4698373,0.56519353,-0.6240776
2080,-2.2000415,-0.43946075,0.28162992,-1.4133414
2081,-0.47990462,-1.497574,0.32911968,0.7370406
2082,-0.11745447,1.2796549,0.8679882,2.0657063
2083,0.0063839667,0.69349205,0.47746527,0.49669558
2084,-0.26814574,-0.03885843,0.848853,0.8932507
2085,-0.2604569,-0.05897952,0.79594064,-1.465198
2086,-0.48920912,0.599043,0.88228536,-1.674647
2087,-0.022050552,-0.2779506,0.41160607,-0.45652643
2088,-1.4438587,0.7425041,0.4353056,1.6642218
2089,0.48729584,0.014227059,0.564121,-1.7853045
2090,-0.36652058,-1.5516969,0.5848676,0.38226676
2091,0.8339575,0.62019026,0.1512934,-0.25501025
2092,0.9074365,0.26929772,0.5412303,0.6600675
2093,-1.0521376,-0.25718033,0.48259234,-1.1949258
2094,-2.058534,0.31050667,0.5797056,0.059289783
2095,-1.4203153,-0.73932767,0.19037807,-0.7513485
2096,0.116617,-1.8117533,0.1880318,-1.0859202
2097,0.6831799,1.5134665,0.7084124,0.62727445
2098,-0.12394309,0.61731166,0.13081503,-1.1087304
2099,-1.1094302,-0.11586265,0.66935,0.5494498
2100,-0.3498355,1.2865242,0.22541499,1.329743
2101,-0.4940148,-0.17600822,0.7345339,1.3429893
2102,-0.4418283,-1.69339,0.20694327,-0.18310742
2103,1.3513125,0.14232552,0.5726929,-1.1261775
2104,-0.64987,0.6815506,0.91618,0.0014275064
2105,0.6443948,-0.3917223,0.8966185,0.74309397
2106,-0.7261882,1.0877182,0.83392644,-0.27821618
2107,-0.6997392,0.476073,0.23070908,-0.122642964
2108,0.31624076,-1.9348195,0.12960947,0.24048802
2109,-0.5702123,-0.73942,0.24610293,-0.70724916
2110,0.28921825,0.97086173,0.9043231,-1.4692106
2111,0.34895962,0.08977679,0.77832186,0.21830001
2112,1.2299055,-0.7954039,0.45507765,1.3806677
2113,-0.9930971,-0.4802302,0.51684487,-0.660103
2114,0.36025116,-2.0670013,0.83105516,0.14425918
2115,1.4323924,-0.4955778,0.19899023,0.73750097
2116,-0.061892588,-0.010770861,0.72771657,-0.7253362
2117,-0.13005179,0.70569575,0.776014,1.311828
2118,-0.36174935,0.11934075,0.06896222,0.17145193
2119,1.1333066,-0.9912675,0.6360384,-0.913705
2120,1.2443308,-1.398175,0.03943181,1.0400674
2121,-1.3135554,-0.1405697,0.77835405,0.29099873
2122,-0.5408705,-0.10252824,0.6607257,0.15956262
2123,0.6159077,0.5001036,0.21573973,0.018098395
2124,0.34301034,1.3074751,0.8621738,0.8881382
2125,0.20818946,0.27869004,0.68794286,-0.65496945
2126,0.4858811,-0.32718378,0.97192633,0.03250384
2127,0.58269054,-1.0837092,0.9222641,-2.3841624
