,u_x1,u_x2,u_y,u_x3
2000,-1.740942,-0.05401608,0.752092,1.0728153
2001,0.40708497,0.40566906,0.27537107,-1.537243
2002,-2.148853,0.9149434,0.7184609,0.31546807
2003,1.0215771,0.78429663,0.59386766,0.88145554
2004,-1.1569628,-0.3478282,0.32325137,1.1960233
2005,0.014732406,0.012974016,0.22045231,0.15280066
2006,-0.17112672,-0.8121228,0.5615698,-0.2610412
2007,0.5200042,0.21620551,0.986936,0.83858806
2008,-1.0022912,0.6826132,0.40163088,-2.9590962
2009,-0.16147302,-0.09078175,0.5915133,-1.503407
2010,1.9408492,-1.5351049,0.6437353,-0.30744126
2011,-0.41535768,1.2233771,0.43329728,-2.053707
2012,0.6817734,-0.47849855,0.98911023,1.0393806
2013,0.9108059,-0.103101686,0.31748414,2.0848641
2014,-0.18547018,1.1985651,0.7868092,-0.49289635
2015,-0.44493088,0.3776456,0.42628467,-1.1153984
2016,0.13635883,-1.9222251,0.29201972,-0.85846657
2017,0.106935784,-0.95697665,0.26508045,-0.43798354
2018,-0.3101096,-1.0367401,0.7821249,-0.7010541
2019,-0.94310457,1.268115,0.76125383,0.919968
2020,0.3036295,-1.0510402,0.024162412,0.13084033
2021,1.5780811,-0.16788405,0.090914726,0.051958397
2022,-0.124144234,0.097219534,0.730652,-1.999721
2023,0.44505048,-2.2156107,0.95526934,1.9535779
2024,1.6705399,2.0204859,0.7848096,-1.1640667
2025,-0.44101205,-1.0876046,0.63378274,-0.75158274
2026,-0.36896062,0.0017086903,0.61824393,0.63007003
2027,0.68828654,-1.0671835,0.86424935,-1.0221758
2028,-0.26790103,0.8682897,0.12035859,0.43005595
2029,-0.67110157,-0.67789644,0.79621947,-0.059136067
2030,0.20068584,0.08906576,0.4487338,0.31608623
2031,-0.010158858,1.0015885,0.78663933,-0.6701291
2032,-1.0836259,0.46830487,0.34502935,-0.34309798
2033,-0.4513501,-0.2063062,0.14465153,-0.1032633
2034,0.9216231,-1.0542121,0.558035,-0.7287308
2035,-0.5396085,-0.62469786,0.69947314,-0.9536857
2036,1.0947634,-0.11579586,0.84588146,-1.875966
2037,-0.69268715,-0.22190072,0.93511415,1.4918071
2038,-0.15391739,-1.2290277,0.6396079,0.5106418
2039,-0.29512098,-0.9288034,0.2808199,-1.2273487
2040,0.21100692,-0.25625172,0.67122114,-0.3764042
2041,-0.9855878,1.1354083,0.8555486,-0.35870597
2042,2.2051535,1.1944844,0.6011028,1.1293807
2043,-0.9865668,-0.3543112,0.8473147,0.09063727
2044,-0.70747405,1.7605841,0.6406504,-0.48418522
2045,0.50339395,1.4895153,0.9704865,0.85483676
2046,0.65023744,-0.9577038,0.018503428,-0.9022902
2047,1.4982725,0.991958,0.9979236,1.1828254
2048,0.7407601,1.2443755,0.43974543,-1.1465229
2049,-0.784038,0.49064758,0.5054451,-0.3696974
2050,-1.4702879,0.8609562,0.61471796,0.2121504
2051,-1.5515485,-0.66424364,0.19535398,-0.25525382
2052,-0.14474638,-1.5479224,0.45392334,-0.03423269
2053,0.030042809,0.3263118,0.73304045,0.31457597
2054,0.23352401,-0.67684704,0.8147377,-1.2263498
2055,-0.87672406,0.21416268,0.6201248,-0.5226412
2056,-0.75455815,-0.94149333,0.025542855,1.003771
2057,-0.26251867,-1.416299,0.32676685,1.2037696
2058,1.4856077,0.9736291,0.4821813,0.06569061
2059,-0.36392525,-1.4226394,0.40192735,-0.3572596
2060,-0.1454868,-1.2336609,0.18563032,3.2718933
2061,0.9144452,-2.3510797,0.24611068,-0.17675543
2062,-0.46704435,0.03527394,0.7770885,-0.6078491
2063,0.13849722,-0.06544281,0.95863664,2.332948
2064,-1.0604236,0.96268094,0.4072683,-0.28846568
2065,0.9861729,0.41501716,0.6716238,-0.36153087
2066,1.105359,0.61966985,0.79842377,0.6278817
2067,0.24595363,-0.02237574,0.98813665,-0.1417911
2068,1.8386703,-1.2400568,0.6402136,0.16127399
2069,-0.86188185,0.48399118,0.2683649,1.0557889
2070,-2.0285783,0.039756306,0.4908147,2.1703057
2071,-0.61609036,0.53342706,0.698066,1.3368651
2072,1.099939,-1.4607006,0.06057942,-0.79734755
2073,-0.97543055,-0.34978625,0.8158797,-0.600863
2074,0.32588038,-0.88890153,0.41946065,-0.26773998
2075,1.8269975,-0.93253106,0.9401282,-0.81646955
2076,-1.32259,-0.48943985,0.78217864,0.3665773
2077,-0.447899,-0.42901248,0.03423357,-1.060979
2078,-1.8770468,2.3302581,0.9858463,1.0853211
2079,-1.4995236,-0.4971008,0.8514731,0.4698373
2080,1.1032108,-1.2886437,0.75820804,-0.43946075
2081,1.2623236,-1.0475575,0.38790512,-1.497574
2082,0.6409204,-2.2732553,0.22543979,1.2796549
2083,-1.281178,-0.7859106,0.13995934,0.69349205
2084,0.41112602,-0.833174,0.13124299,-0.03885843
2085,1.2498355,-0.07704802,0.5107155,-0.05897952
2086,-0.9280337,0.06117273,0.11694634,0.599043
2087,-1.0859519,-0.3425678,0.15655982,-0.2779506
2088,1.0049505,-0.85544515,0.83904874,0.7425041
2089,0.87967,-0.30782786,0.81057703,0.014227059
2090,-0.36142588,1.5255188,0.7685907,-1.5516969
2091,-0.84783137,0.28880075,0.45572472,0.62019026
