,x1,x2,x3
2694,-0.0,-0.0,0.4
3022,-0.0,-0.0,5.7
2889,0.0,-0.0,1.3
2819,0.1,1.9,-0.0
3469,-0.0,0.0,4.1
3063,0.0,-0.0,0.3
2025,0.0,-0.0,3.2
3192,0.0,-0.0,1.5
3838,0.0,-0.0,1.8
2645,-0.2,-0.0,4.5
2548,0.0,0.0,3.9
2622,-0.0,0.0,2.4
2261,0.0,0.0,0.4
2625,0.0,-0.0,3.3
2062,-0.0,0.0,2.0
3445,-0.0,0.0,2.5
2750,0.0,-0.0,0.7
3031,-0.0,0.0,1.4
2226,-0.0,-0.0,1.9
2154,-0.0,0.0,4.6
3895,0.1,0.0,-0.0
2056,0.1,0.8,0.0
2102,0.0,-0.0,0.9
3187,0.3,-0.0,-0.0
2031,0.0,0.0,0.2
2408,0.4,0.0,0.0
3846,-0.0,0.0,4.0
3060,-0.0,-0.0,2.2
2431,-0.0,0.0,3.1
2451,0.0,-0.0,2.6
2601,0.2,0.0,-0.0
3849,0.0,-0.1,1.7
2385,0.0,-0.1,4.5
2143,-0.0,-0.0,1.5
2741,0.8,-0.0,-0.0
2190,0.0,0.0,2.6
3635,0.0,2.1,-0.0
3350,0.3,0.0,0.0
2175,0.1,0.0,2.2
3822,-0.0,0.0,1.4
3329,0.2,0.0,-0.0
3856,0.2,-0.0,0.0
3132,-0.0,-0.0,1.1
3605,-0.0,-0.0,3.9
3079,0.4,-0.0,0.0
3041,0.0,0.0,1.5
2232,-0.0,-0.0,0.3
2314,0.2,0.0,0.0
2612,-0.0,-0.0,1.6
3873,-0.0,-0.0,1.7
3776,0.0,0.0,0.3
2905,0.0,0.0,3.7
2018,-0.0,0.0,2.8
3881,0.0,-0.0,2.6
3729,0.0,-0.0,3.3
3506,0.2,0.0,-0.0
3584,0.5,0.0,-0.0
3292,0.1,-0.0,4.2
3619,0.0,0.0,0.8
2225,-0.0,0.0,1.2
2808,0.0,0.3,0.0
2582,-0.0,-0.0,2.2
3018,-0.0,-0.0,0.7
2755,0.3,-0.0,-0.0
2688,-0.2,-0.0,6.6
2860,-0.0,-0.1,1.3
2906,0.0,-0.0,1.3
2720,-0.0,0.0,2.6
3140,0.0,0.0,3.0
3316,-0.0,-0.0,0.4
3490,-0.0,-0.0,2.1
2574,-0.0,-0.0,0.8
3649,0.0,-0.0,0.6
3568,-0.0,-0.0,1.3
2850,0.0,-0.0,0.7
3106,0.6,0.0,0.0
2880,0.0,0.0,0.6
2346,0.2,-0.0,0.0
2112,-0.0,0.0,0.1
3205,-0.0,-0.0,3.4
3607,-0.0,0.0,0.9
2847,-0.0,0.0,3.4
3542,0.0,0.0,3.6
2545,-0.0,0.0,0.4
2279,-0.0,0.0,1.4
3672,-0.0,0.0,1.7
3059,0.0,0.0,2.0
2238,0.0,-0.0,2.4
2111,-0.0,0.0,2.4
3531,-0.1,-0.0,1.1
2374,-0.0,-0.0,3.4
2558,0.4,0.0,-0.0
2159,0.0,0.0,6.4
3023,-0.0,0.0,1.1
3533,0.1,-0.0,5.1
3601,0.2,2.0,0.0
3686,0.0,-0.0,3.7
3790,0.0,-0.0,2.0
3008,0.0,0.0,3.0
2734,-0.0,-0.0,1.1
2641,-0.0,0.0,3.7
2903,0.0,0.0,2.2
3573,2.3,0.0,0.0
2798,-0.0,-0.0,0.2
2809,0.0,-0.0,0.1
3916,0.1,0.0,5.7
2571,0.0,0.0,1.8
2268,-0.0,0.0,4.1
3249,0.3,-0.0,-0.0
3992,-0.0,0.5,-0.0
2351,0.0,0.0,4.7
3443,-0.0,0.0,1.8
3544,-0.0,0.0,3.2
3335,-0.0,0.0,1.7
2453,0.5,0.0,0.0
3425,-0.0,0.0,0.5
3876,0.0,-0.0,1.8
2272,-0.0,0.0,0.5
3767,-0.0,-0.0,4.9
2711,-0.0,-0.0,0.7
2302,-0.0,-0.0,3.0
3932,-0.0,0.0,0.9
3184,-0.0,-0.0,0.8
3177,-0.0,-0.0,3.8
