,y
2577,1.0
3229,1.0
2530,1.0
2778,1.0
2738,1.0
3995,1.0
3506,1.0
3941,1.0
3783,0.0
3200,1.0
3513,1.0
2579,1.0
2626,1.0
3482,1.0
3025,1.0
3789,1.0
3668,1.0
2383,1.0
2046,1.0
3770,1.0
2630,1.0
3176,0.0
3063,1.0
3098,0.0
2574,1.0
3912,1.0
3192,1.0
2869,1.0
2055,1.0
3581,0.0
3749,1.0
3072,1.0
3648,1.0
3742,1.0
3658,1.0
2411,1.0
2641,1.0
3282,1.0
2736,1.0
3011,1.0
2110,1.0
2618,1.0
3925,1.0
2981,1.0
3661,0.0
2903,1.0
2739,1.0
2212,0.0
3847,1.0
3331,1.0
2149,1.0
2709,1.0
3996,0.0
2620,0.0
2308,1.0
2570,1.0
2540,1.0
2114,1.0
3443,1.0
3530,1.0
2372,0.0
2790,1.0
2391,1.0
2052,1.0
3931,1.0
2766,1.0
3158,1.0
2836,1.0
3782,1.0
2799,1.0
2654,1.0
3299,1.0
2959,1.0
3614,1.0
3094,1.0
3594,1.0
2384,1.0
3574,0.0
2429,1.0
3228,1.0
3438,1.0
3672,1.0
3491,1.0
3132,1.0
2707,1.0
2228,1.0
2888,1.0
2344,0.0
2037,0.0
2054,1.0
3001,1.0
3650,0.0
3360,1.0
2022,1.0
3467,1.0
2786,1.0
3259,1.0
2181,1.0
2494,1.0
2033,1.0
2514,1.0
3335,1.0
3380,1.0
3066,1.0
2035,1.0
2678,1.0
3056,1.0
3320,1.0
2881,1.0
2270,1.0
2146,1.0
3871,1.0
2862,1.0
2373,1.0
3430,1.0
3659,0.0
2831,1.0
2461,1.0
3798,1.0
3570,1.0
2520,1.0
3205,1.0
3393,0.0
2051,1.0
2900,0.0
3976,1.0
3471,0.0
3023,1.0
3591,1.0
3140,1.0
2424,0.0
2976,1.0
2015,1.0
3122,1.0
3555,1.0
3241,1.0
3844,1.0
3194,1.0
3531,1.0
3182,0.0
2544,1.0
3480,1.0
2375,0.0
3119,1.0
2247,1.0
3892,1.0
3959,1.0
2145,1.0
3978,1.0
2000,1.0
3121,1.0
3154,1.0
3469,1.0
2980,1.0
3287,1.0
2239,1.0
2539,1.0
2936,1.0
2735,1.0
2070,1.0
3963,1.0
3628,1.0
2858,1.0
2694,1.0
3795,1.0
3585,1.0
2824,1.0
2793,1.0
2927,1.0
3003,1.0
2440,1.0
2968,1.0
2796,1.0
2467,1.0
2137,1.0
3597,1.0
2077,1.0
3615,1.0
3492,1.0
2008,1.0
3404,1.0
2454,0.0
2652,1.0
3974,1.0
2879,1.0
2154,1.0
2353,1.0
3008,0.0
2692,1.0
2680,1.0
3999,1.0
3809,1.0
3548,1.0
2238,1.0
3910,0.0
3899,1.0
2486,1.0
2827,0.0
2872,1.0
3146,1.0
