,y
2577,1.0
3229,0.0
2530,0.0
2778,0.0
2738,0.0
3995,1.0
3506,0.0
3941,0.0
3783,0.0
3200,1.0
3513,0.0
2579,0.0
2626,0.0
3482,0.0
3025,0.0
3789,0.0
3668,0.0
2383,1.0
2046,1.0
3770,0.0
2630,0.0
3176,0.0
3063,1.0
3098,0.0
2574,0.0
3912,0.0
3192,1.0
2869,0.0
2055,0.0
3581,0.0
3749,0.0
3072,0.0
3648,0.0
3742,0.0
3658,0.0
2411,0.0
2641,0.0
3282,0.0
2736,0.0
3011,0.0
2110,0.0
2618,0.0
3925,0.0
2981,0.0
3661,0.0
2903,0.0
2739,0.0
2212,0.0
3847,0.0
3331,0.0
2149,0.0
2709,0.0
3996,0.0
2620,0.0
2308,0.0
2570,0.0
2540,0.0
2114,0.0
3443,0.0
3530,1.0
2372,0.0
2790,0.0
2391,1.0
2052,0.0
3931,0.0
2766,0.0
3158,0.0
2836,0.0
3782,0.0
2799,0.0
2654,1.0
3299,0.0
2959,0.0
3614,0.0
3094,0.0
3594,0.0
2384,0.0
3574,0.0
2429,0.0
3228,0.0
3438,0.0
3672,0.0
3491,0.0
3132,0.0
2707,0.0
2228,0.0
2888,0.0
2344,0.0
2037,0.0
2054,0.0
3001,0.0
3650,0.0
3360,0.0
2022,0.0
3467,1.0
2786,0.0
3259,0.0
2181,0.0
2494,0.0
2033,1.0
2514,0.0
3335,0.0
3380,0.0
3066,0.0
2035,0.0
2678,0.0
3056,0.0
3320,1.0
2881,0.0
2270,0.0
2146,1.0
3871,0.0
2862,0.0
2373,0.0
3430,0.0
3659,0.0
2831,0.0
2461,0.0
3798,0.0
3570,0.0
2520,0.0
3205,0.0
3393,0.0
2051,0.0
2900,0.0
3976,0.0
3471,0.0
3023,0.0
3591,0.0
3140,0.0
2424,0.0
2976,0.0
2015,0.0
3122,0.0
3555,0.0
3241,0.0
3844,0.0
3194,0.0
3531,0.0
3182,0.0
2544,0.0
3480,0.0
2375,0.0
3119,0.0
2247,0.0
3892,1.0
3959,0.0
2145,0.0
3978,0.0
2000,0.0
3121,0.0
3154,1.0
3469,0.0
2980,0.0
3287,0.0
2239,0.0
2539,1.0
2936,0.0
2735,1.0
2070,0.0
3963,0.0
3628,0.0
2858,0.0
2694,0.0
3795,0.0
3585,0.0
2824,0.0
2793,0.0
2927,0.0
3003,1.0
2440,0.0
2968,0.0
2796,1.0
2467,1.0
2137,1.0
3597,1.0
2077,1.0
3615,0.0
3492,1.0
2008,0.0
3404,0.0
2454,0.0
2652,0.0
3974,0.0
2879,0.0
2154,0.0
2353,0.0
3008,0.0
2692,0.0
2680,0.0
3999,0.0
3809,0.0
3548,0.0
2238,0.0
3910,0.0
3899,0.0
2486,0.0
2827,0.0
2872,0.0
3146,0.0
