,x1,x2,x3
3405,-0.31172276,-2.3796766,-3.0475492
2038,-0.15391739,-1.3829452,-1.0262208
3812,-1.5372597,-1.2617936,-1.7696339
3491,-0.035717208,-0.91359556,-1.6094751
3931,-0.727477,-1.8861227,-3.4632633
3460,-1.1833293,-3.382347,-4.899034
3574,-1.3468275,-1.257391,-2.7916303
2326,0.4549284,-1.4152836,0.25708044
3124,-1.2277011,-0.96857333,-2.7792668
2018,-0.3101096,-1.3468497,-2.3580134
2982,-0.39655814,-0.21306829,-0.77510804
2754,-0.8043785,-0.23150969,-1.4427013
2600,-1.1562546,-0.9471625,-1.4654571
3964,0.6520219,-1.1261934,0.021017611
3813,-0.39130744,-1.1597925,-0.20500958
3853,-0.33550152,-0.21896997,-0.40244532
3888,-0.45878235,0.89148617,-0.63234377
2303,-1.2051042,0.0033512115,-0.69311255
2070,-2.0285783,-1.988822,-1.8470945
3810,0.1862237,-1.7868303,0.06311506
2055,-0.87672406,-0.6625614,-2.0619266
3199,-1.3991342,-3.913926,-5.559867
2358,-0.5320859,-0.8051302,-0.61599845
3294,0.08715792,-2.2286515,-2.8984706
2381,-0.98419875,-2.9397433,-2.9019158
3021,-1.0241135,-1.0341164,-2.9274602
3705,-1.8140314,-1.5163553,-4.300702
3533,-1.0089654,-3.5880795,-4.7353067
2454,-1.9689997,-1.3860471,-2.9958067
3027,-1.7175763,-0.5151949,-1.8612851
2574,-0.35124248,-0.96595407,-0.36394888
2174,-0.91541284,-0.6486417,-0.9234875
2463,-1.2172663,-0.52743095,-0.9823399
2811,-1.4938827,-0.17539418,0.11213744
2114,-0.3645278,0.07143742,-2.3600917
3378,0.015019297,-1.2316014,-1.3298342
3186,-0.5116686,-0.2541777,-0.8777544
3393,-0.97266746,-0.5691589,-1.3444984
2202,-0.24437012,-1.7759161,-2.0774906
3197,-1.0765297,0.36155903,-0.5824455
2598,0.4262184,-0.7656511,-0.019410968
3708,-0.96048933,-0.6449474,-1.3040842
3615,0.14348626,-0.69049346,-2.323053
3992,-0.07878281,-0.6838651,-0.030085504
2163,-0.90166825,-1.666333,-2.737153
2014,-0.18547018,1.0130949,0.3347284
2401,-0.95922136,1.5840421,0.24623293
3273,0.32509553,0.28226018,-0.20046455
2684,-0.96797943,-0.48227254,0.14226449
2530,-1.0358967,-1.8156545,-1.6853911
3494,-0.1619768,-1.1875079,-1.4173036
2606,0.13972463,-0.26220405,-1.2933831
3512,-0.32760274,-1.5367094,-2.0816047
3778,-1.1001835,-1.2490387,-2.9525228
2305,-0.19120602,-0.54176176,0.035002604
3920,-2.012746,-1.6625016,-3.1082706
3681,-0.16928071,-0.40986267,-2.0164986
3119,-2.063834,-3.235652,-4.573372
2120,-0.19890392,0.9578742,0.36079526
3204,-2.2831519,-1.2330252,-4.222737
3808,0.61542696,-0.5440311,0.30712616
3967,-0.98984385,-2.8426437,-5.498772
2372,0.17220795,-0.6511027,-0.994052
2322,-0.9826877,-1.2427903,-2.8436282
3011,-0.7340099,-1.5560405,-1.6927309
2779,-0.32459736,-0.10435736,-0.9242499
3013,-1.0452058,-1.5853829,-1.7636555
3614,0.67479676,0.108125985,0.19787568
3458,-2.0178301,-3.0842297,-5.800127
3425,0.18567096,-0.46170175,0.052865744
3879,-2.5955987,-2.6658146,-5.857446
2900,-1.5989739,-1.5708966,-4.1516123
2841,0.05482153,-1.2572322,-0.6233531
3825,-1.3782074,-1.9339783,-5.543853
3122,-1.5387799,-1.7491435,-2.2480469
3644,-1.8591862,-3.6599689,-4.2437043
2986,-2.2022111,-0.7812127,-2.7836354
2827,-0.23556179,-0.69561064,-1.6064553
2011,-0.41535768,0.8080194,-0.6610452
3996,-1.2283509,0.4307679,-1.9166145
3048,-0.87697905,-0.46548066,-0.14315021
2325,-0.2528553,-0.45485222,-0.94166565
3031,-0.1891796,-0.38994366,-0.9265677
2285,-0.43296883,-0.6909109,-0.81540775
2204,-1.6583389,-0.79816985,-2.0999897
3594,-0.029897368,0.5408527,-0.3570097
3792,0.09513946,-1.6656975,-1.5271628
2529,-0.67120785,0.89213055,-0.34954584
2237,-0.48741212,-0.07246858,0.04981658
2115,-0.4589308,-0.6452875,-0.5997961
2438,-0.4520768,-0.080495685,-0.69476277
3368,-0.82603836,-1.0210271,-3.7983813
2804,0.06882448,-0.17829984,-0.8905388
3530,-0.1602834,1.4910363,0.18637943
2041,-0.9855878,0.1498205,-1.1944733
3028,-0.8547577,-0.45149392,-1.5397571
2258,-1.1151742,-0.35958183,-2.1633327
3059,-0.5654565,-0.8848642,-1.5153794
3896,-2.2823107,-3.266547,-4.543227
2116,-1.5290906,-2.2106829,-3.7505443
2430,0.14493828,-0.17288692,-0.24966758
2205,-1.7515097,-2.5190048,-5.229054
2773,-0.8958367,-0.14356834,-0.398484
3699,-0.68958193,-0.7934064,-1.0911026
2374,-1.307189,-0.77163136,-3.0039406
3793,-0.80196214,-2.3748455,-2.925526
3751,-1.276753,-1.4435852,-3.770824
2539,0.5056157,-1.6962881,0.2573913
3181,0.07229096,-0.86808395,-1.3522623
2548,-0.6964303,-2.4977953,-3.4940057
2002,-2.148853,-1.2339096,-3.0672946
2736,-0.50932294,0.056580484,-0.987127
2869,-1.2691096,-1.7999182,-4.155654
3659,-1.5628716,-1.1372304,-3.1350377
2966,-1.4637041,-1.2016346,-1.4252572
3732,-1.0095407,-0.6569053,-1.2433956
2057,-0.26251867,-1.6788176,-0.7375667
2162,-0.99343187,-1.4532051,-0.5362147
3228,-0.11262306,-0.030688815,-0.70376056
3148,0.86485296,0.059859455,0.3474049
2170,-0.40551087,-0.6892153,-1.5534843
3324,-1.5778918,-1.8671081,-2.9222965
3630,-1.0558866,-1.938731,-2.7064836
2930,-0.7286237,-0.4263754,-1.6631697
3844,0.12976235,-0.718456,-1.0689731
3007,-0.03792903,-1.1080703,-1.628688
2076,-1.32259,-1.8120298,-2.7680423
2917,-0.82668877,-0.26602268,-2.325222
3020,-0.4023984,-1.0143918,-0.9855813
3227,-0.005928417,-0.8973506,-3.0990622
3259,-1.3231627,-1.7793492,-3.349883
2889,-0.849276,-1.0703658,-0.87137717
3645,-0.6033855,-1.9820287,-2.4042811
3757,-0.3687867,-0.24510753,-2.7551305
2831,-0.8176111,-0.82314867,-0.58170915
3478,-1.2197008,-1.4884177,-1.159938
3168,-1.2303375,-1.6371036,-4.765763
2457,-1.2361628,-0.68459064,-0.9589474
2861,-0.025776029,-0.8860837,-1.3019574
2016,0.13635883,-1.7858663,-2.507974
2778,-0.72301584,0.4949004,-0.09584463
2750,0.58556503,-0.31222612,-0.12413517
3146,-0.603116,-0.5053248,-0.21336764
2228,-0.48434007,-1.2747548,-1.786062
2108,-1.7965335,-4.20245,-7.9338026
3769,-0.28357005,-0.7753569,-0.8718102
3019,-1.1280249,-3.6482887,-4.6393337
2765,-0.6065937,-1.1825135,-2.1013043
2154,-1.1403147,-1.5274245,-4.179972
3443,-0.859953,-0.40440118,-1.3210844
2641,-1.3045505,-1.8307946,-3.3487747
2027,0.68828654,-0.37889695,-0.7127862
3240,-1.2372742,-0.36367995,-2.0823472
2999,-0.4342428,0.58725476,0.23258185
3403,-2.433043,-1.5369008,-4.37498
3487,-0.83870906,-2.2918513,-4.4647446
3675,-0.034728717,-1.123146,-1.0468292
3362,-1.2371868,-0.76794237,-1.2510267
3506,-1.0307457,0.7465706,0.14578345
3105,0.24701789,-0.3713189,-0.5714503
3583,-0.21633996,-0.27533174,-0.8555631
3003,0.0013689391,-0.061967053,-0.23499805
3804,-0.61610115,-1.6100079,-2.6029947
3243,-1.2422062,-0.97581774,-2.7347794
2786,-1.3347973,-2.4665875,-3.762613
3018,-0.92821157,0.07420778,-0.27109516
2451,-0.9069921,-1.3528693,-2.2330873
3836,0.5485051,-0.5237288,-0.5596748
3498,-0.7097851,0.034653127,0.20839882
2858,-0.09132485,-1.0595559,-2.746232
3849,-0.69159746,-0.9418919,-1.2313912
3700,0.38319114,-0.20988825,-1.5669291
2197,-1.325018,-0.05410564,-1.2782073
2110,-0.9962688,-0.41789472,-0.44330186
2908,-0.4443962,-1.1358945,-1.7526951
2270,0.41518587,-1.4511294,-1.7074003
3467,-1.0962816,-0.03316903,0.12530786
3006,0.3649652,0.37207112,0.49225277
3072,-1.9471929,-2.0613375,-3.72035
3064,-0.250029,0.27750537,0.24797171
3239,-1.0404953,-2.109867,-4.0893264
3988,-1.1056803,-2.4167383,-4.2102976
2125,-0.503236,-0.97350127,-1.1980472
2375,-0.9095184,-1.1779436,-2.750789
3738,-1.6249039,-1.5588375,-4.4288125
2519,-0.53427523,-0.06833413,-0.4448134
2029,-0.67110157,-1.3489981,-2.0792358
3085,-0.09035629,0.14428928,-1.0063092
2698,-0.75795954,-1.0312886,-0.2484259
3354,-0.44304657,-0.09892294,-1.6639597
3404,-1.1410381,-2.029948,-2.458253
2467,-0.42926472,-1.6199169,-1.220738
2210,-1.3992431,-0.52820224,-2.2869294
3776,0.12637211,1.1739582,0.2810974
3495,-0.55697644,-0.6322216,-2.4413366
3170,-1.277077,-1.015309,-2.9996672
2943,-0.6747047,-0.059397936,-0.7757807
2261,0.27734986,0.013955504,0.17100585
3922,-0.5059276,0.45294082,-0.78751415
2756,-0.43483526,-1.1601543,-2.3472683
