,y
3405,0.0
2038,1.0
3812,0.0
3491,1.0
3931,1.0
3460,0.0
3574,0.0
2326,1.0
3124,1.0
2018,1.0
2982,1.0
2754,1.0
2600,1.0
3964,1.0
3813,0.0
3853,0.0
3888,1.0
2303,1.0
2070,1.0
3810,1.0
2055,1.0
3199,1.0
2358,0.0
3294,0.0
2381,1.0
3021,1.0
3705,1.0
3533,1.0
2454,0.0
3027,1.0
2574,1.0
2174,1.0
2463,0.0
2811,1.0
2114,1.0
3378,1.0
3186,1.0
3393,0.0
2202,1.0
3197,1.0
2598,1.0
3708,1.0
3615,1.0
3992,1.0
2163,1.0
2014,1.0
2401,0.0
3273,0.0
2684,0.0
2530,1.0
3494,1.0
2606,0.0
3512,1.0
3778,1.0
2305,1.0
3920,1.0
3681,1.0
3119,1.0
2120,1.0
3204,1.0
3808,0.0
3967,1.0
2372,0.0
2322,1.0
3011,1.0
2779,1.0
3013,1.0
3614,0.0
3458,1.0
3425,1.0
3879,1.0
2900,1.0
2841,1.0
3825,0.0
3122,1.0
3644,0.0
2986,1.0
2827,0.0
2011,1.0
3996,0.0
3048,1.0
2325,1.0
3031,1.0
2285,1.0
2204,1.0
3594,1.0
3792,1.0
2529,1.0
2237,1.0
2115,1.0
2438,1.0
3368,1.0
2804,0.0
3530,1.0
2041,0.0
3028,1.0
2258,0.0
3059,1.0
3896,1.0
2116,1.0
2430,1.0
2205,1.0
2773,1.0
3699,0.0
2374,1.0
3793,0.0
3751,1.0
2539,1.0
3181,1.0
2548,1.0
2002,1.0
2736,1.0
2869,1.0
3659,1.0
2966,1.0
3732,1.0
2057,1.0
2162,1.0
3228,1.0
3148,1.0
2170,1.0
3324,1.0
3630,0.0
2930,1.0
3844,1.0
3007,1.0
2076,1.0
2917,0.0
3020,0.0
3227,1.0
3259,1.0
2889,1.0
3645,0.0
3757,1.0
2831,1.0
3478,1.0
3168,1.0
2457,1.0
2861,1.0
2016,1.0
2778,1.0
2750,1.0
3146,1.0
2228,1.0
2108,1.0
3769,1.0
3019,1.0
2765,1.0
2154,1.0
3443,1.0
2641,1.0
2027,0.0
3240,1.0
2999,1.0
3403,1.0
3487,0.0
3675,1.0
3362,0.0
3506,1.0
3105,1.0
3583,1.0
3003,1.0
3804,0.0
3243,1.0
2786,1.0
3018,1.0
2451,1.0
3836,1.0
3498,1.0
2858,1.0
3849,0.0
3700,1.0
2197,1.0
2110,1.0
2908,1.0
2270,1.0
3467,1.0
3006,1.0
3072,1.0
3064,1.0
3239,1.0
3988,1.0
2125,0.0
2375,0.0
3738,1.0
2519,1.0
2029,1.0
3085,0.0
2698,1.0
3354,1.0
3404,1.0
2467,1.0
2210,0.0
3776,0.0
3495,1.0
3170,0.0
2943,1.0
2261,1.0
3922,1.0
2756,1.0
