,y
3141,0.0
2248,0.0
3456,1.0
2758,0.0
3291,0.0
2780,1.0
2022,0.0
3569,1.0
3322,0.0
3065,0.0
2160,1.0
3039,0.0
3113,1.0
2668,0.0
3557,0.0
3302,0.0
3959,0.0
3267,0.0
3985,0.0
2688,0.0
2756,0.0
3058,0.0
3613,0.0
2399,0.0
3095,0.0
3151,1.0
3572,0.0
3648,0.0
2449,1.0
3912,0.0
2913,0.0
3915,0.0
3597,0.0
3935,0.0
3123,0.0
3426,0.0
3930,0.0
3446,0.0
3246,1.0
3284,0.0
2198,0.0
2765,0.0
3262,0.0
3233,0.0
2484,0.0
2527,0.0
3834,0.0
2321,0.0
3338,0.0
2008,0.0
2560,0.0
2933,1.0
2026,0.0
3591,0.0
3837,0.0
2468,1.0
3421,0.0
2342,0.0
3450,0.0
2338,0.0
2783,0.0
3644,0.0
2121,0.0
3337,1.0
3707,0.0
3010,0.0
2832,0.0
3653,0.0
2545,0.0
2988,0.0
3918,0.0
2052,0.0
2915,0.0
3440,0.0
2892,0.0
2625,1.0
2877,0.0
3780,0.0
3602,0.0
2002,0.0
2777,0.0
3543,0.0
2583,0.0
3084,0.0
3343,0.0
3150,1.0
2242,0.0
2917,0.0
3716,0.0
2691,0.0
2110,1.0
3771,0.0
2233,0.0
3954,0.0
2315,1.0
3831,0.0
2140,0.0
3429,0.0
2045,0.0
3031,1.0
3766,0.0
3997,0.0
2781,0.0
2814,0.0
3027,0.0
3094,0.0
2339,0.0
3213,0.0
3571,0.0
3867,0.0
3317,0.0
3102,0.0
2934,0.0
3640,0.0
3033,0.0
2151,0.0
3448,0.0
3449,1.0
3549,0.0
2804,0.0
3138,0.0
3789,0.0
2817,0.0
3592,0.0
2749,0.0
3104,1.0
3969,0.0
3485,0.0
2641,0.0
3578,0.0
3874,0.0
3048,0.0
3759,0.0
2519,0.0
3301,0.0
2104,0.0
2818,0.0
2790,0.0
3741,0.0
2813,0.0
2445,0.0
2954,0.0
3845,1.0
3458,0.0
2126,0.0
3758,1.0
3178,0.0
3303,0.0
3205,0.0
3667,0.0
3463,0.0
2072,0.0
3082,0.0
2546,0.0
3972,0.0
3576,0.0
3464,0.0
3447,0.0
3806,0.0
3715,0.0
3410,1.0
3258,0.0
2588,0.0
3245,0.0
3059,0.0
2201,0.0
2488,1.0
3552,0.0
2732,1.0
2551,0.0
2836,0.0
2108,0.0
2702,1.0
2793,0.0
2131,0.0
2246,0.0
3675,1.0
2284,0.0
2197,0.0
3568,0.0
3554,0.0
3916,0.0
2731,0.0
3877,0.0
3530,1.0
3196,0.0
2046,0.0
2852,0.0
2174,0.0
3067,0.0
3538,1.0
3471,0.0
2164,0.0
3350,0.0
3311,0.0
3905,1.0
2591,0.0
3184,0.0
3697,0.0
2644,0.0
