ix,goal_cost,intv_cost
2090,1.0,1.0
3193,1.0,4.0
3869,1.0,4.3
3573,1.0,3.9
3729,1.0,2.8
3191,1.0,0.3
2550,1.0,2.1
2697,1.0,1.0
2908,1.0,1.8
2715,1.0,1.2
2404,1.0,2.3000000000000003
3462,1.0,0.2
3017,1.0,3.5
2573,1.0,2.1
2384,1.0,1.2000000000000002
2262,1.0,1.4
3785,1.0,0.6
2641,1.0,3.0
2804,1.0,2.3
2947,1.0,1.1
3280,1.0,4.1
2808,1.0,0.1
3074,1.0,6.4
2412,1.0,0.5
3137,1.0,3.6
2140,1.0,4.8999999999999995
3329,1.0,1.1
2543,1.0,0.1
2381,1.0,0.9
2370,1.0,1.4
3538,1.0,1.1
3348,1.0,1.5
3429,1.0,0.3
2480,1.0,3.1
3480,1.0,4.4
3081,1.0,2.0
2179,1.0,3.6
2488,1.0,0.5
2915,1.0,2.1
2952,1.0,1.5
2367,1.0,2.8
2468,1.0,0.6
3921,1.0,4.4
2783,1.0,0.4
3408,1.0,2.1
3238,1.0,2.3
3370,1.0,0.7
2835,1.0,0.1
2832,1.0,3.3
3877,1.0,1.3
3311,1.0,0.6
3668,1.0,3.5
2026,1.0,4.1
2012,1.0,3.9
3197,1.0,1.6
2481,1.0,1.7
2616,1.0,1.1
2981,1.0,2.2
2422,1.0,2.5
3550,1.0,1.7000000000000002
2994,1.0,4.4
2300,1.0,2.6
2852,1.0,2.8
2334,1.0,1.6
3402,1.0,4.2
3166,1.0,1.4
3855,1.0,1.6
2342,1.0,2.3
2345,1.0,0.8
3439,1.0,4.6
3971,1.0,4.5
2962,1.0,2.8
2041,1.0,0.6
3228,1.0,3.0
3926,1.0,3.5
2782,1.0,1.0
3886,1.0,5.0
3433,1.0,4.3999999999999995
2242,1.0,1.1
2786,1.0,0.5
3328,1.0,1.2
3790,1.0,2.3
2197,1.0,0.9
3343,1.0,1.1
3190,1.0,0.7
3520,1.0,2.1
3572,1.0,7.1
3880,1.0,1.9
2700,1.0,2.3
3107,1.0,3.6
2467,1.0,2.4
3157,1.0,4.7
3669,1.0,0.9
3359,1.0,0.6
3923,1.0,0.8
2656,1.0,0.4
3780,1.0,0.7
3593,1.0,1.8
2167,1.0,0.3
2218,1.0,0.5
3323,1.0,2.6
3986,1.0,6.1
3105,1.0,0.1
2877,1.0,2.3
2211,1.0,3.0
2363,1.0,1.8
3765,1.0,0.4
3861,1.0,2.5
3888,1.0,5.3
3775,1.0,3.3
2320,1.0,1.6
2749,1.0,2.8000000000000003
3630,1.0,0.1
3036,1.0,0.6
2647,1.0,3.8
3148,1.0,0.7
2442,1.0,2.0
2051,1.0,1.8
2660,1.0,2.7
3031,1.0,4.1
2560,1.0,3.2
2495,1.0,3.7
3389,1.0,2.2
2740,1.0,5.2
2314,1.0,3.8
3531,1.0,0.5
2210,1.0,2.9
3486,1.0,1.5
3485,1.0,1.8
2267,1.0,1.0
3096,1.0,0.1
3516,1.0,1.7
2252,1.0,2.9
3571,1.0,1.5
2444,1.0,1.4
2225,1.0,1.5
2018,1.0,6.3
3117,1.0,0.1
2585,1.0,4.6
2961,1.0,4.1
3743,1.0,0.2
3508,1.0,1.5
2248,1.0,3.8
2684,1.0,3.5
3959,1.0,1.0
2746,1.0,3.4
2517,1.0,0.8
3168,1.0,1.3
2372,1.0,1.0
2689,1.0,2.7
2279,1.0,3.9
2590,1.0,7.8
2558,1.0,0.3
3819,1.0,2.1
2720,1.0,1.1
2776,1.0,4.5
3557,1.0,0.8
2005,1.0,2.3000000000000003
3023,1.0,2.3
3391,1.0,3.6
3016,1.0,1.7
3978,1.0,5.9
2443,1.0,0.5
2930,1.0,1.9
2858,1.0,4.6
3695,1.0,2.3
2429,1.0,1.1
3419,1.0,0.3
2296,1.0,0.5
2941,1.0,0.2
3048,1.0,3.1
2073,1.0,3.5
3490,1.0,1.4
2551,1.0,0.8
3434,1.0,2.6
3849,1.0,0.6
2606,1.0,3.8
3446,1.0,4.5
2228,1.0,2.1
3345,1.0,2.8
3713,1.0,3.1
3697,1.0,3.5
2922,1.0,4.1
3464,1.0,6.1
3475,1.0,0.7
3960,1.0,0.1
3067,1.0,3.5
2853,1.0,3.2
2068,1.0,1.0
2329,1.0,3.0
2424,1.0,1.9
3636,1.0,2.0
3583,1.0,3.3
2942,1.0,0.4
2007,1.0,1.7
3502,1.0,1.9
3393,1.0,3.8
3374,1.0,1.7
3937,1.0,0.6
3949,1.0,1.8
