,y_hat
2090,False
3193,False
3869,False
3573,False
3729,False
3191,False
2550,False
2697,False
2908,False
2715,False
2404,False
3462,False
3017,False
2573,False
2384,False
2262,False
3785,False
2641,False
2804,False
2947,False
3280,False
2808,False
3074,False
2412,False
3137,False
2140,False
3329,False
2543,False
2381,False
2370,False
3538,False
3348,False
3429,False
2480,False
3480,False
3081,False
2179,False
2488,False
2915,False
2952,False
2367,False
2468,False
3921,False
2783,False
3408,False
3238,False
3370,False
2835,False
2832,False
3877,False
3311,False
3668,False
2026,False
2012,False
3197,False
2481,False
2616,False
2981,False
2422,False
3550,False
2994,False
2300,False
2852,False
2334,False
3402,False
3166,False
3855,False
2342,False
2345,False
3439,False
3971,False
2962,False
2041,False
3228,False
3926,False
2782,False
3886,False
3433,False
2242,False
2786,False
3328,False
3790,False
2197,False
3343,False
3190,False
3520,False
3572,False
3880,False
2700,False
3107,False
2467,False
3157,False
3669,False
3359,False
3923,False
2656,False
3780,False
3593,False
2167,False
2218,False
3323,False
3986,False
3105,False
2877,False
2211,False
2363,False
3765,False
3861,False
3888,False
3775,False
2320,False
2749,False
3630,False
3036,False
2647,False
3148,False
2442,False
2051,False
2660,False
3031,False
2560,False
2495,False
3389,False
2740,False
2314,False
3531,False
2210,False
3486,False
3485,False
2267,False
3096,False
3516,False
2252,False
3571,False
2444,False
2225,False
2018,False
3117,False
2585,False
2961,False
3743,False
3508,False
2248,False
2684,False
3959,False
2746,False
2517,False
3168,False
2372,False
2689,False
2279,False
2590,False
2558,False
3819,False
2720,False
2776,False
3557,False
2005,False
3023,False
3391,False
3016,False
3978,False
2443,False
2930,False
2858,False
3695,False
2429,False
3419,False
2296,False
2941,False
3048,False
2073,False
3490,False
2551,False
3434,False
3849,False
2606,False
3446,False
2228,False
3345,False
3713,False
3697,False
2922,False
3464,False
3475,False
3960,False
3067,False
2853,False
2068,False
2329,False
2424,False
3636,False
3583,False
2942,False
2007,False
3502,False
3393,False
3374,False
3937,False
3949,False
