ix,goal_cost,intv_cost
2553,1.0,2.2
2763,1.0,1.4
3361,1.0,0.4
2832,1.0,5.1
2359,1.0,1.3
3443,1.0,4.2
2810,1.0,3.3
2342,1.0,3.1
2445,1.0,4.5
3801,1.0,1.3
3342,1.0,4.3
3408,1.0,0.5
2362,1.0,0.7
2812,1.0,0.4
2538,1.0,0.8
2058,1.0,1.4
3154,1.0,0.3
3827,1.0,0.4
3149,1.0,4.699999999999999
2959,1.0,0.7
3557,1.0,0.1
2982,1.0,8.1
2483,1.0,0.3
2187,1.0,0.3
2651,1.0,0.6
2255,1.0,1.1
3549,1.0,2.1
2798,1.0,0.8
3235,1.0,2.5
2936,1.0,1.4
3893,1.0,5.5
3276,1.0,1.4
2052,1.0,1.0
2753,1.0,4.3
2451,1.0,2.3
3518,1.0,0.8
2603,1.0,3.4
3380,1.0,2.9
3098,1.0,0.4
2212,1.0,3.1
3157,1.0,4.3
2365,1.0,1.4
3731,1.0,0.9
2036,1.0,2.5
3599,1.0,8.9
3482,1.0,2.0
3453,1.0,0.8
3713,1.0,1.4
2167,1.0,2.6
3903,1.0,3.0
3413,1.0,1.0
2367,1.0,5.0
3424,1.0,1.0
2616,1.0,1.2
3253,1.0,1.3
3403,1.0,0.1
2908,1.0,3.7
3689,1.0,0.9
3189,1.0,3.1
2661,1.0,3.5
3267,1.0,0.5
2010,1.0,2.1
3831,1.0,3.8000000000000003
3755,1.0,0.1
2095,1.0,7.799999999999999
3300,1.0,1.1
2061,1.0,0.8
3596,1.0,3.7
3649,1.0,4.4
3543,1.0,2.0
3296,1.0,2.6
2463,1.0,2.5
3377,1.0,1.7
2872,1.0,6.6
3660,1.0,0.4
3917,1.0,3.7
3542,1.0,2.7
2401,1.0,1.0
3007,1.0,1.7000000000000002
3597,1.0,0.9
3638,1.0,1.5
3027,1.0,3.3
3951,1.0,3.6
3523,1.0,6.1
3227,1.0,0.8
2272,1.0,5.9
2094,1.0,0.1
2562,1.0,1.4000000000000001
2558,1.0,0.3
2015,1.0,3.6
3068,1.0,2.0
2124,1.0,0.8999999999999999
3571,1.0,1.5
3050,1.0,5.1
2910,1.0,1.3
2751,1.0,2.5999999999999996
3338,1.0,2.4
2712,1.0,0.7
3116,1.0,1.1
3299,1.0,1.6
3001,1.0,3.5
2976,1.0,0.6
3942,1.0,4.2
2301,1.0,3.1
2157,1.0,0.4
2624,1.0,1.7
3657,1.0,8.2
3282,1.0,1.5
3020,1.0,2.6
2927,1.0,2.0
3418,1.0,0.3
2314,1.0,3.4
2431,1.0,0.6
3406,1.0,4.6
3679,1.0,2.4
3813,1.0,2.3
3395,1.0,2.4000000000000004
2426,1.0,0.2
3497,1.0,2.8
3427,1.0,1.1
3455,1.0,0.4
2078,1.0,4.1
3727,1.0,1.3
2233,1.0,0.6
2074,1.0,2.0
3225,1.0,3.1
3145,1.0,1.6
2029,1.0,0.2
2289,1.0,4.5
3352,1.0,0.6
3500,1.0,0.4
2727,1.0,7.6
2984,1.0,3.1
3094,1.0,3.4
3823,1.0,3.8000000000000003
2171,1.0,1.8
2490,1.0,4.3999999999999995
3318,1.0,0.7
2155,1.0,3.1
2863,1.0,3.0
3263,1.0,4.6
3651,1.0,0.4
3784,1.0,0.3
3399,1.0,2.4
3531,1.0,6.6
3187,1.0,0.3
3941,1.0,0.4
3378,1.0,1.6
3387,1.0,5.8
3385,1.0,2.5
2259,1.0,1.3
2446,1.0,5.3
3580,1.0,2.9
2928,1.0,4.2
3172,1.0,1.0
2093,1.0,1.0
2724,1.0,2.9
2204,1.0,1.2
2747,1.0,1.2
2476,1.0,2.1
3621,1.0,1.8
2179,1.0,3.4
3567,1.0,2.9
2754,1.0,2.0
2702,1.0,2.2
2987,1.0,4.0
2393,1.0,0.2
3521,1.0,3.7
3606,1.0,0.2
2404,1.0,0.2
3770,1.0,2.6
3958,1.0,3.5
3832,1.0,1.9
2443,1.0,1.9
2968,1.0,0.8
3311,1.0,1.6
2633,1.0,0.7
2033,1.0,2.5
3658,1.0,4.199999999999999
2374,1.0,5.9
3198,1.0,2.5
3522,1.0,1.9
2182,1.0,1.7000000000000002
2766,1.0,1.9
2091,1.0,2.3
2341,1.0,3.0
3279,1.0,2.5
2152,1.0,0.5
3997,1.0,2.3
3481,1.0,1.9
3632,1.0,1.0
3680,1.0,0.2
2549,1.0,0.9
3220,1.0,0.3
3126,1.0,0.3
2756,1.0,2.2
2970,1.0,3.9
3624,1.0,1.9000000000000001
3321,1.0,1.1
3519,1.0,2.4
