,y_hat
2819,False
3313,False
2473,False
2644,False
2726,False
3763,False
3348,False
2776,False
2633,False
3345,False
3500,False
2140,False
3755,False
3711,False
2777,False
2979,False
3275,False
3377,False
2907,False
3935,False
2502,False
3387,False
3728,False
2167,False
2433,False
3716,False
3915,False
3971,False
3088,False
2350,False
3474,False
3166,False
2516,False
3352,False
2056,False
3972,False
2436,False
3661,False
2246,False
3213,False
3221,False
3426,False
3607,False
2095,False
2562,False
2437,False
2253,False
3863,False
2867,False
3733,False
3556,False
3632,False
3042,False
3173,False
3287,False
2936,False
2377,False
3247,False
2925,False
2088,False
3260,False
3225,False
3199,False
2263,False
2574,False
3044,False
3604,False
2487,False
2934,False
2415,False
2289,False
3693,False
2610,False
3749,False
2496,False
2500,False
2291,False
2366,False
3993,False
3453,False
2772,False
2449,False
3254,False
3959,False
2468,False
3014,False
2331,False
3335,False
3566,False
3318,False
3746,False
2110,False
2866,False
3493,False
2521,False
3815,False
2178,False
2094,False
3941,False
2652,False
3992,False
3744,False
3007,False
3255,False
3473,False
2958,False
3143,False
2928,False
3805,False
2149,False
3126,False
2157,False
2374,False
2523,False
3321,False
3262,False
3700,False
3530,False
2872,False
2850,False
3383,False
3770,False
3276,False
3715,False
3801,False
2328,False
2142,False
2417,False
2940,False
3989,False
3583,False
3850,False
3619,False
2180,False
3223,False
2904,False
3207,False
2968,False
3244,False
2106,False
3189,False
2000,False
3681,False
2847,False
3888,False
2486,False
2815,False
3568,False
3015,False
3436,False
2230,False
2103,False
3190,False
2762,False
2452,False
3803,False
2977,False
3829,False
2209,False
3464,False
2998,False
3502,False
3508,False
2530,False
2869,False
2463,False
3699,False
2362,False
3629,False
3703,False
3658,False
2723,False
3054,False
3835,False
2352,False
2747,False
3251,False
3943,False
2337,False
2501,False
2760,False
2036,False
3621,False
3685,False
3124,False
3842,False
2480,False
3132,False
3514,False
2184,False
2476,False
3768,False
2788,False
3378,False
2324,False
2037,False
3802,False
3833,False
3920,False
2508,False
