,y
2819,0.0
3313,0.0
2473,0.0
2644,0.0
2726,1.0
3763,1.0
3348,0.0
2776,0.0
2633,0.0
3345,0.0
3500,0.0
2140,0.0
3755,0.0
3711,0.0
2777,0.0
2979,0.0
3275,0.0
3377,0.0
2907,0.0
3935,0.0
2502,0.0
3387,0.0
3728,1.0
2167,0.0
2433,1.0
3716,0.0
3915,0.0
3971,0.0
3088,0.0
2350,1.0
3474,0.0
3166,1.0
2516,0.0
3352,1.0
2056,0.0
3972,0.0
2436,0.0
3661,0.0
2246,1.0
3213,0.0
3221,0.0
3426,0.0
3607,0.0
2095,0.0
2562,0.0
2437,0.0
2253,0.0
3863,0.0
2867,0.0
3733,0.0
3556,0.0
3632,0.0
3042,0.0
3173,0.0
3287,1.0
2936,0.0
2377,0.0
3247,0.0
2925,0.0
2088,0.0
3260,0.0
3225,0.0
3199,0.0
2263,0.0
2574,0.0
3044,0.0
3604,0.0
2487,0.0
2934,0.0
2415,0.0
2289,0.0
3693,0.0
2610,0.0
3749,0.0
2496,1.0
2500,0.0
2291,0.0
2366,1.0
3993,0.0
3453,0.0
2772,0.0
2449,0.0
3254,0.0
3959,0.0
2468,1.0
3014,0.0
2331,1.0
3335,1.0
3566,0.0
3318,0.0
3746,1.0
2110,0.0
2866,0.0
3493,0.0
2521,0.0
3815,0.0
2178,0.0
2094,1.0
3941,0.0
2652,0.0
3992,1.0
3744,0.0
3007,0.0
3255,0.0
3473,1.0
2958,0.0
3143,0.0
2928,0.0
3805,0.0
2149,0.0
3126,0.0
2157,1.0
2374,0.0
2523,0.0
3321,0.0
3262,0.0
3700,1.0
3530,0.0
2872,0.0
2850,0.0
3383,0.0
3770,0.0
3276,1.0
3715,0.0
3801,0.0
2328,0.0
2142,0.0
2417,0.0
2940,0.0
3989,0.0
3583,0.0
3850,0.0
3619,1.0
2180,0.0
3223,0.0
2904,0.0
3207,0.0
2968,0.0
3244,0.0
2106,0.0
3189,0.0
2000,1.0
3681,0.0
2847,0.0
3888,0.0
2486,0.0
2815,0.0
3568,0.0
3015,0.0
3436,0.0
2230,0.0
2103,0.0
3190,0.0
2762,0.0
2452,1.0
3803,0.0
2977,0.0
3829,0.0
2209,1.0
3464,0.0
2998,0.0
3502,1.0
3508,0.0
2530,1.0
2869,0.0
2463,0.0
3699,0.0
2362,0.0
3629,0.0
3703,1.0
3658,0.0
2723,0.0
3054,0.0
3835,0.0
2352,0.0
2747,0.0
3251,0.0
3943,1.0
2337,0.0
2501,0.0
2760,0.0
2036,0.0
3621,0.0
3685,0.0
3124,0.0
3842,0.0
2480,1.0
3132,0.0
3514,0.0
2184,0.0
2476,0.0
3768,0.0
2788,0.0
3378,0.0
2324,0.0
2037,0.0
3802,0.0
3833,0.0
3920,1.0
2508,0.0
