,x1,x2,x3
2021,1.5377983,1.7047746,3.7569926
3650,2.129887,1.4622104,2.503748
2472,1.0280354,2.0947204,4.680641
2922,1.8872871,1.4111146,4.7087183
2528,0.5094608,2.4643345,3.040238
3058,2.3961105,1.1270204,3.622343
2759,1.902495,1.4931566,3.8467445
3940,1.0695194,2.364218,3.692049
2243,1.8700064,1.2961569,3.0929477
3063,1.6002452,1.5478004,4.631058
3776,1.5688632,1.4316213,3.3997471
2709,1.6962012,1.2970263,4.55898
3385,1.6421827,1.1560454,3.6288824
2481,1.9683709,1.411445,3.938302
3421,0.8152364,2.3363476,3.3699927
2288,2.350334,2.3034742,3.8522143
2411,1.1253479,2.121009,4.2126207
2315,1.4296658,1.9690356,3.8447447
2230,1.7077999,1.6561301,3.179576
2629,1.6630096,1.5346856,3.849401
2649,1.1803126,2.0272207,3.7223155
3134,1.2454692,1.8377998,3.3181849
2112,1.4556085,1.5804452,4.64068
3272,1.810299,1.4005446,5.0163674
3239,1.4920328,1.4639359,3.763197
3382,1.4797654,1.6474478,4.1032233
3566,2.0331028,1.3396792,4.197146
2399,1.6001489,1.3019985,5.7301784
3579,1.535854,1.9499545,3.9891164
2059,1.3590535,2.1017628,4.850745
3558,1.0728046,2.1094456,3.410421
2710,1.8425775,1.328563,3.1849577
3105,0.7837765,2.180961,4.7762594
3908,2.3089812,1.2574072,3.9017413
3340,1.4265841,3.2902236,2.4129796
2548,1.632221,1.3929061,5.0273166
2895,1.407453,1.6240672,3.026463
2697,0.87793016,2.5453951,3.527371
3258,1.4954894,1.5869833,4.131261
3902,2.1136954,1.7426463,3.7054777
2397,1.4363874,1.5791444,5.6525264
3812,1.7938738,1.2256386,3.384618
2983,1.182061,2.06609,4.327254
3014,1.7327057,1.615401,4.6554627
3415,0.7132092,1.7287134,4.7785854
2655,1.7748976,1.6065012,3.5243998
3124,0.47795513,2.3042805,3.4198418
3290,1.8311062,1.5092233,3.3869412
3845,1.7678674,2.0636022,2.9677365
2438,0.9168096,2.1713796,4.597075
3099,1.7599459,1.1530763,4.3246274
3274,0.8355372,2.1557844,4.9205537
