ix,goal_cost,intv_cost
2021,0.955,7.5
3650,0.956,2.0
2472,0.956,5.5
2922,0.958,2.3
2528,0.955,7.699999999999999
3058,0.96,2.5
2759,0.952,1.4
3940,0.957,1.7
2243,0.953000009059906,6.5
3063,0.953,8.1
3776,0.953,1.6
2709,0.9570000171661377,2.5
3385,0.954,3.6
2481,0.952,3.9
3421,0.957,2.3
2288,0.959,1.4
2411,0.959,6.3
2315,0.958,2.2
2230,0.957,2.1
2629,0.952,2.2
2649,0.9509999752044678,2.0
3134,0.953,4.6
2112,0.956,3.4000000000000004
3272,0.9629999995231628,2.5
3239,0.9549999833106995,2.5
3382,0.953,5.199999999999999
3566,0.952,1.9
2399,0.951,2.3
3579,0.951,3.9
2059,0.965,1.9
3558,0.954,2.2
2710,0.957,2.0
3105,0.951,6.800000000000001
3908,0.967,3.1
3340,0.955,2.7
2548,0.959,5.6
2895,0.956,9.5
2697,0.953,2.0
3258,0.953,5.699999999999999
3902,0.955,2.9000000000000004
2397,0.959,2.9
3812,0.957,1.8
2983,0.953,5.199999999999999
3014,0.953,2.0
3415,0.954,3.5
2655,0.951,3.6999999999999997
3124,0.951,3.3000000000000003
3290,0.958,2.2
3845,0.953,1.4
2438,0.951,2.8
3099,0.952,4.0
3274,0.951,1.8
3565,0.956,8.0
2293,0.954,5.2
3407,0.962,2.4
2197,0.951,2.4
2694,0.9509999752044678,3.0
3595,0.958,2.9
3076,0.955,5.1
3832,0.953,7.300000000000001
3009,0.957,3.7
2307,0.954,1.3
2162,0.953,2.6
3369,0.952,2.2
2575,0.9599999785423279,3.0
3533,0.958,1.9
2060,0.954,2.1
2206,0.952,8.2
2819,0.954,7.5
3729,0.953,6.0
3232,0.964,3.0
2306,0.954,1.8
2854,0.952,1.8
2746,0.956,1.8
3582,0.952,3.8
3931,0.953,2.7
3422,0.952,8.2
2458,0.952,1.8
3216,0.954,4.9
3429,0.953,4.2
3542,0.952,5.2
2529,0.966,1.5
2161,0.956,1.8
3143,0.952,3.3
2270,0.955,2.7
3712,0.957,2.6
2553,0.952,2.1
3490,0.951,6.0
2989,0.965,1.6
3458,0.956,1.8
2711,0.953,2.3
3827,0.956,3.6999999999999997
3298,0.955,4.3999999999999995
2234,0.968,1.7
2006,0.953,2.3
3950,0.96,1.6
2239,0.952,2.6
2646,0.9559999704360962,2.0
3150,0.951,4.1
2337,0.951,4.1
3207,0.952,1.9
3713,0.957,2.1
3162,0.955,2.7
3026,0.955,4.5
3075,0.9580000042915344,2.0
2563,0.952,1.7
3964,0.958,2.1
3601,0.959,1.6
2010,0.956,1.9
2106,0.955,2.4
2604,0.966,2.7
3457,0.953,5.8999999999999995
3325,0.952,8.5
2035,0.951,3.8
2070,0.953,2.0
3879,0.958,7.2
3881,0.955,2.8
3354,0.954,2.0
3619,0.956,4.0
2864,0.96,2.3
3859,0.96,3.1
2765,0.954,7.0
2468,0.955,6.4
3805,0.957,2.0
3192,0.964,4.2
3826,0.955,1.5
3254,0.951,9.9
3362,0.951,1.8
3972,0.954,2.2
3744,0.954,7.699999999999999
3159,0.955,2.1
3337,0.952,3.6
2738,0.952,4.4
2135,0.951,2.7
2148,0.952,3.7
3975,0.956,2.2
2844,0.965,2.3
3714,0.952,3.0
3698,0.961,1.7
2739,0.955,1.9
2150,0.951,5.5
3784,0.951,5.800000000000001
3671,0.953,1.9
3778,0.955,2.7
2469,0.951,7.5
2224,0.951,2.3
2954,0.956,4.1
2488,0.951,2.7
2504,0.951,1.3
2992,0.956,3.0
2111,0.953,2.3
3501,0.954,2.6
2534,0.9539999961853027,2.5
3785,0.955,4.1
3345,0.954,2.2
3467,0.955,7.699999999999999
3966,0.956,6.8
2937,0.957,3.0
2371,0.956,1.8
2247,0.9599999785423279,1.5
2894,0.952,4.8
2336,0.957,1.9
2207,0.951,5.1
2558,0.971,2.4
2349,0.967,2.9
2051,0.9520000219345093,2.0
2445,0.952,1.9
3259,0.952,4.2
2788,0.952,2.3
3270,0.951,3.9000000000000004
2848,0.951,1.9
2758,0.954,2.3
3318,0.953,1.8
3425,0.954,2.5
3048,0.961,1.6
3250,0.952,5.3999999999999995
3366,0.962,1.8
3391,0.961,3.6
3104,0.951,2.0
3884,0.951,7.6
2107,0.956,2.2
2171,0.961,2.7
3791,0.9549999833106995,2.0
3976,0.951,3.9000000000000004
2824,0.954,7.0
2176,0.951,1.3
3012,0.953,3.4000000000000004
3384,0.9520000219345093,3.5
3974,0.958,2.2
3700,0.956,1.7
3689,0.953,1.7
3517,0.952,2.7
2522,0.955,2.0
2686,0.951,3.4
3349,0.957,1.6
2030,0.958,3.2
3227,0.966,2.3
2375,0.958,2.1
2581,0.9539999961853027,3.5
3995,0.9539999961853027,3.0
