ix,goal_cost,intv_cost
3998,0.966,2.6
2101,0.954,1.8
2124,0.976,2.2
2025,0.96,1.9
3843,0.96,2.3
2674,0.9580000042915344,2.5
3544,0.956,3.2
2941,0.958,1.5
2584,0.954,1.7
3029,0.954,6.8
2091,0.966,1.6
3440,0.96,2.2
3833,0.96,2.4
3601,0.982,2.0
3884,0.954,7.3
2081,0.956,2.9
3347,0.956,2.2
3051,0.958,6.3
3285,0.956,4.1
3776,0.982,1.0
3233,0.954,3.0
2878,0.954,8.7
2418,0.962,1.2
3994,0.958,2.3
2922,0.964,2.2
3388,0.954,6.0
2621,0.964,4.1
2642,0.958,4.0
2140,0.966,2.8
2734,0.956,2.4
2495,0.956,4.0
3561,0.962,2.4
2637,0.952,2.6
2818,0.972,1.8
3219,0.972,3.3
3965,0.958,1.9
2286,0.958,1.7
2017,0.954,4.2
2868,0.952,7.1
2722,0.96,2.3
2810,0.958,1.7
3974,0.952,4.0
3438,0.964,1.9
3308,0.9660000205039978,2.5
3826,0.954,1.9
2254,0.954,2.9
2655,0.954,3.2
2815,0.96,2.7
3882,0.96,1.8
3961,0.962,1.5
3637,0.96,2.0
2712,0.958,1.8
2139,0.954,8.7
2368,0.9679999947547913,2.5
3973,0.9639999866485596,2.5
2341,0.96,1.1
3706,0.958,2.3
3065,0.96,8.9
3077,0.97,2.3
2411,0.952,5.7
3376,0.956,2.5
2485,0.962,1.1
2172,0.98,3.1
3486,0.96,2.7
2034,0.96,2.9
2297,0.97,2.2
3255,0.956,2.6
3689,0.952,1.7
2082,0.952,3.7
2823,0.9539999961853027,4.0
2048,0.96,7.4
3194,0.966,1.7
2522,0.954,3.7
2942,0.956,1.9
3714,0.956,0.3
2069,0.962,2.1
3317,0.96,1.4
3899,0.956,1.1
3763,0.952,4.5
2397,0.956,3.1
3600,0.958,5.5
2210,0.962,4.6
3270,0.956,1.5
3620,0.96,2.8
2844,0.9520000219345093,4.0
3277,0.974,1.9
2954,0.96,2.1
3930,0.954,2.8
2997,0.952,1.8
3293,0.952,2.1
3687,0.958,2.3
3010,0.9599999785423279,3.5
3957,0.956,2.2
2701,0.964,3.3
2206,0.958,8.4
3343,0.9639999866485596,3.0
2298,0.96,2.8
2824,0.964,6.9
2231,0.978,2.2
2919,0.9520000219345093,1.5
2205,0.954,2.1
3068,0.958,4.6
2460,0.954,4.6
2445,0.964,3.6
3501,0.9520000219345093,5.5
3138,0.968,3.6
3098,0.964,1.4
3576,0.962,3.0
3715,0.954,1.2999999999999998
2188,0.952,6.199999999999999
2759,0.954,1.2
2718,0.958,2.2
2243,0.952,6.199999999999999
2773,0.9639999866485596,1.0
3674,0.956,2.8
3915,0.976,2.3
2098,0.958,2.5
2993,0.966,2.4
2749,0.958,2.3
3945,0.96,1.6
3249,0.972000002861023,2.0
3770,0.954,6.199999999999999
3526,0.964,2.5
2675,0.956,3.3
2215,0.96,4.300000000000001
2505,0.968,1.3
2087,0.968,2.1
2524,0.956,2.9
2106,0.954,2.8
2322,0.98,3.2
2848,0.952,1.5
3839,0.954,3.5
3421,0.972,3.2
2847,0.9559999704360962,4.0
3439,0.964,1.7
3593,0.958,1.2
3547,0.956,6.3999999999999995
3861,0.968,3.5
2143,0.962,2.3
2233,0.96,5.7
2071,0.958,3.4000000000000004
3844,0.966,2.6
2346,0.966,6.6
3391,0.954,7.4
2056,0.968,4.9
3252,0.952,6.2
3991,0.9520000219345093,2.0
3227,0.956,2.2
2078,0.954,1.7
3595,0.956,3.1
2184,0.952,5.3
2481,0.952,1.1
2338,0.966,3.9
3919,0.9639999866485596,1.5
2932,0.954,6.1
2896,0.968,1.4
2272,0.954,2.4
2099,0.952,2.4
2402,0.958,4.5
3404,0.954,1.7
2575,0.968,3.3
2558,0.956,4.4
3890,0.958,5.8
3504,0.952,3.7
3474,0.956,1.0
2563,0.968,2.6
2401,0.954,5.300000000000001
2340,0.954,1.7
3887,0.954,4.7
3815,0.956,2.9
3141,0.958,2.5
2822,1.0,2.5
2973,0.956,1.4
2630,0.964,1.9
2191,0.956,4.4
2007,0.956,6.7
3464,0.956,3.9000000000000004
3635,0.956,6.699999999999999
3809,0.966,2.8
2746,0.954,1.7
3089,0.966,1.8
2590,0.956,7.4
2631,0.956,4.2
2877,0.9620000123977661,2.0
3239,0.956,2.6
2164,0.958,3.1
3959,0.952,4.2
3703,0.9559999704360962,2.5
2694,0.954,6.0
3076,0.9580000042915344,2.5
3700,0.958,2.2
3533,0.962,2.7
3859,0.958,3.4
3755,0.954,4.5
2944,0.966,3.1
3447,0.96,5.2
2900,0.956,4.9
2855,0.972,3.1
3331,0.962,1.7
3822,0.96,2.5
