,x1,x2
3072,1.7,3.2
2556,2.8,-0.0
3550,3.1,3.2
3019,2.6,3.8
3423,1.6,0.0
2685,0.8,0.3
2591,1.2,3.6
2132,2.2,0.0
3758,1.3,3.5
3412,1.4,0.0
2242,1.1,1.0
2868,1.5,2.6
3804,1.8,0.0
3910,1.2,2.2
2117,1.7,0.0
2963,1.0,3.1
3855,2.9,0.0
2416,2.3,0.0
2278,1.4,4.0
3245,2.0,0.0
3898,1.3,0.0
2969,3.9,4.2
2265,2.0,-0.0
2695,2.8,0.0
2869,1.7,0.0
3151,1.6,4.9
2283,1.0,2.8
2436,0.1,5.0
2932,2.4,0.0
3884,2.9,-0.0
2013,0.0,2.9
2085,2.9,5.5
2089,2.2,0.0
2889,1.9,0.0
2910,3.0,-0.0
3525,2.6,4.6
3152,2.4,0.0
3275,2.3,0.6
3897,2.5,4.4
3548,2.2,-0.0
3148,1.6,-0.0
3562,0.6,1.6
3529,2.3,0.0
2549,2.1,0.0
2190,2.0,0.0
3285,2.6,-0.0
2602,1.7,0.0
2713,2.5,0.0
3137,2.5,0.0
2639,2.6,-0.0
2046,1.9,-0.0
3017,2.0,1.5
3110,1.6,0.0
3542,0.8,0.0
2519,1.8,3.8
3986,1.2,3.9
2455,2.5,-0.0
3771,2.5,0.0
2500,0.8,-0.0
2544,2.6,2.1
2012,2.3,2.9
3361,1.7,0.0
2971,0.5,3.5
3173,2.6,-0.0
3773,1.7,0.0
2431,2.0,0.0
3664,2.6,0.0
3694,0.9,2.5
2505,3.2,2.0
2838,1.9,0.0
3283,2.3,0.0
3377,3.0,-0.0
2101,3.2,4.2
3435,2.9,4.7
3979,2.3,-0.0
2464,2.0,3.5
2651,1.8,0.0
3971,2.0,0.0
2966,2.6,-0.0
3830,3.0,-0.0
2373,2.8,0.0
3474,2.5,-0.0
2066,2.0,-0.0
3080,2.7,0.0
3706,1.9,-0.0
2917,2.9,5.6
3896,2.8,3.7
2330,2.1,0.9
2369,2.6,-0.0
2042,2.1,-0.0
2383,2.1,0.0
3455,4.0,-0.0
3811,1.5,0.0
3178,2.8,-0.0
3218,1.9,0.0
2099,1.7,0.0
2857,2.2,0.0
2141,2.5,2.8
3411,0.4,-0.0
3714,4.2,0.0
2387,2.4,0.0
2382,2.4,-0.0
3106,1.0,0.0
3866,3.4,-0.0
3860,2.3,0.0
2592,2.3,3.4
2842,2.4,0.0
2632,2.1,0.0
2941,1.7,4.9
2284,0.2,1.5
3861,1.4,0.0
3356,0.1,4.5
2570,2.1,-0.0
2079,3.3,5.2
2244,2.5,4.2
3287,2.6,-0.0
3089,2.0,-0.0
3226,1.3,4.6
3690,1.4,-0.0
2039,1.0,3.6
2469,2.5,-0.0
2221,1.4,3.9
2759,2.5,-0.0
2047,1.8,0.0
2189,2.1,-0.0
3613,2.9,-0.0
2991,2.6,-0.0
3183,2.4,1.9
3475,1.6,5.1
3172,2.8,5.7
3970,0.8,2.6
3583,1.6,3.3
2107,3.0,4.9
2771,0.5,1.5
3068,0.3,3.0
2531,1.5,1.6
2532,2.5,0.0
3480,0.5,1.0
2377,2.2,-0.0
2739,0.2,4.9
3225,2.7,0.0
2476,0.1,4.8
2399,1.8,0.0
3444,1.5,-0.0
2635,0.6,0.0
3260,2.6,-0.0
2286,2.9,-0.0
2049,2.5,0.0
3772,0.2,3.1
3317,2.5,-0.0
2450,2.4,2.6
2213,2.5,2.0
2984,3.5,4.6
3628,2.0,0.0
3189,1.8,2.6
2154,0.8,3.1
3631,-0.0,3.0
2354,3.0,-0.0
3376,3.4,2.2
3732,1.6,3.6
2494,2.7,-0.0
3965,1.7,-0.0
3599,1.5,0.0
2156,1.3,-0.0
2248,3.1,0.0
3129,1.7,3.3
3759,1.9,-0.0
3502,1.5,0.0
2148,2.0,-0.0
2521,4.9,-0.0
3524,1.7,-0.0
3145,2.9,-0.0
3662,4.7,0.0
3742,1.9,0.0
3776,1.3,0.0
3406,1.7,0.0
3833,3.3,0.0
2734,3.1,-0.0
2550,1.5,0.0
2865,1.5,-0.0
3038,3.4,-0.0
3582,2.5,5.4
2820,0.7,-0.0
2068,1.8,0.0
2227,1.6,-0.0
2044,2.2,0.0
2337,1.7,-0.0
3642,1.4,4.8
3698,3.3,0.0
2487,2.3,3.3
3841,2.3,0.0
2566,3.6,4.2
2109,2.1,0.0
2486,1.7,4.2
2672,0.8,3.0
2211,2.2,-0.0
2400,1.6,-0.0
3467,3.6,0.0
3433,2.8,1.0
2037,1.9,-0.0
