,x1,x2,x3
3050,-0.7342482,-2.019944,-2.9138157
3346,-1.2730546,-1.8970945,-3.6559715
3310,-1.0540725,-0.9145419,-1.2236236
2009,0.29830495,-0.012604862,-0.4500432
3978,-1.8922517,-0.11827755,-1.9285052
2171,-0.33186212,-0.7559936,-0.2280218
3188,-1.1565176,-2.26679,-3.1727543
2822,0.5108475,-0.31379747,0.28867352
3037,-0.6784504,-0.52458096,-1.7961049
2052,0.020296574,-0.729663,0.70400524
2745,-3.0731752,-3.0602605,-3.9792042
2038,-1.3913014,-0.0045911074,-0.72479826
2941,-0.07896385,-1.628402,-1.8068002
2628,-0.9994343,-0.9375658,-2.8230948
2465,-0.74703264,-0.5341316,-1.595691
2636,-0.9847304,-1.332219,-3.7527027
3373,-0.0658833,-1.7055086,-1.4178332
3945,-1.4012645,0.09495187,-1.2502214
3298,-1.0743341,-1.8978813,-4.349514
2553,0.079408534,-0.108466186,-0.2129572
3630,-0.11029673,-3.390993,-4.009261
3703,-1.0714263,-1.2076025,-2.100251
3179,-1.3195928,-2.332621,-3.7137542
2119,-1.5620087,-1.7282987,-4.690612
2886,-0.32729003,-1.154991,-1.2445583
3065,0.37590757,-0.84776115,-1.2164687
3010,-0.6947546,-0.38273773,-0.106866956
2846,-1.3402411,-1.9608502,-3.256882
2854,-0.47539255,-0.12805524,-1.8380289
2595,-0.7057013,-1.0716963,-2.0528872
3518,-0.66379887,-0.8082348,-1.7739316
3293,-1.5802234,-1.575644,-3.9398742
3719,-0.23390251,-1.1708395,-1.4385026
2502,-1.6550585,-1.9738531,-2.8985915
2629,0.43759272,-1.042111,-0.21272081
3032,-0.61683464,-0.6709546,-3.037694
2723,-0.32085016,0.44747373,-0.7886039
3788,0.9563739,-0.13690132,-0.32605577
3759,0.27822506,-0.38109976,-1.6909957
3752,0.08395339,-0.4947908,-0.15264866
2718,-0.22356065,-0.028432652,-0.51316184
2980,-0.44359288,-1.3805484,-0.5754166
2549,-1.3111863,-2.1832886,-4.0264063
3629,-1.0782413,-1.9957747,-2.8878086
2659,-0.48998323,-0.023897946,0.09110004
3597,-0.7098016,-0.82168704,-1.82544
2084,-0.13706358,1.5291785,0.044500828
3159,-2.0922852,-1.9861586,-2.9329686
2727,-1.7870013,-2.319641,-3.5012956
2323,-0.62185293,-1.8179162,-3.0531733
2137,0.011032487,-1.1910317,-0.53925943
2491,-0.3018644,-1.3190664,-0.8362935
3834,0.6094607,-0.4164157,-1.3036618
3809,-0.3140405,-1.269287,-1.1379118
2459,1.208523,-1.598223,-0.33059934
3814,0.3261016,-1.5324941,-1.4412069
2582,-2.1064162,-2.0990517,-3.6139777
3155,0.99080324,-0.70045996,-0.60942364
2975,0.6374742,-1.468681,-1.4457026
2043,-1.7796564,-0.53902555,-2.849891
2080,-0.09313407,-0.21781011,-0.6651255
2710,0.21775506,-1.1297936,-1.7240798
2839,-0.52982926,0.29658723,-2.2934122
2411,-0.046766315,0.3917842,-0.69487643
3030,-0.4647282,0.2361522,-1.7577302
3304,-0.93881285,-2.5063071,-2.87869
2817,-0.7076698,0.80920285,0.22358067
3774,-2.1424358,-2.1739562,-4.40092
3454,-0.44978008,-1.6851394,-1.8771048
2298,-0.45187986,-0.81034684,-1.4863244
3511,-0.35546094,-2.016092,-0.20881867
2200,0.18407181,0.10848715,-0.7072515
3533,-1.5271379,-0.97770375,-0.6328428
2189,0.10654811,-0.104036726,-0.14733076
3723,-1.6535816,-1.4352901,-2.670488
3256,-2.207766,-2.6967132,-5.0246944
2918,-1.2410882,-3.12137,-4.055253
3677,1.062774,-0.5470524,0.5752233
3754,-0.8557735,0.20015985,0.18547404
2470,-0.78483266,-0.88679767,-2.4653573
2214,-0.52584666,-1.5128152,-0.76502883
3199,-1.1770678,-1.3446627,-3.2383783
2678,-0.052538436,-0.2863531,0.35014218
3510,-1.3543092,-0.34235084,0.48206472
3164,-0.14362046,-1.6922275,-0.19451463
2370,-0.12987822,-0.24210313,-1.3298284
2144,-0.3210518,1.0339969,0.19965458
3246,-0.7270329,-1.0641005,-3.5495844
2581,-1.5203481,-1.7421278,-3.9917002
3634,-1.3476629,-1.2545269,-0.860064
2345,-1.2387009,-0.7552478,-2.798743
2618,-0.48590106,-0.84481764,-1.6089861
2020,-1.2472377,-0.55544794,-2.3655233
2167,-2.0297585,-1.5343122,-3.022749
3925,-1.4210143,-1.3453372,-4.2176394
3437,0.23305422,-0.2751702,0.2591391
2653,-0.15096505,-0.44201535,-1.0481323
2639,-1.5181923,-2.2273793,-3.1091042
2290,-1.9847322,-3.10822,-6.733966
2850,-0.0750102,-0.37990397,-0.119366765
3578,-0.59831613,-0.06444633,-0.11129749
2947,-0.41914925,-1.858815,-3.040739
2300,0.12761953,-1.7664273,-3.0470726
2569,0.61730045,-0.5925357,-1.1202612
2957,-0.9510546,-0.61317766,-1.8881928
3242,-0.04540587,-0.30319163,-0.26809
2445,0.17967436,-1.0227702,-0.17235076
2728,-0.40156323,-0.12215987,-0.26412195
2567,-0.028485173,0.47976595,-0.6901589
2999,0.22510058,-2.0938413,-1.1249394
3873,-0.76191455,-0.8353816,-3.4671116
2057,-1.1308154,-1.9562302,-3.4378853
2759,-1.7395619,-1.423988,-4.2466474
3480,-1.1749682,-2.6366074,-4.671647
2259,-1.038041,-0.20733261,-1.5264423
2089,-1.9634554,-1.3557491,-3.3402586
2274,-1.1791817,-1.2854878,-1.2991226
3793,-0.15942355,-1.6881027,-1.7871513
3047,-0.20262396,-1.3278295,-2.5895262
2177,-0.09216956,-2.1312072,-1.1576272
3372,-0.6445494,-0.40160865,-1.481066
3701,-1.2120849,-2.3862758,-3.9143696
2681,0.6097094,-1.98221,-2.2479684
3461,-1.5283504,-2.5285325,-3.1962023
3538,-0.31543556,-0.6166029,-1.3093691
3954,-0.38802812,0.6668241,0.20636177
3073,0.19069222,-0.34988883,-0.6607959
3599,-1.4482316,-0.117128134,-0.82756734
2841,0.6815325,-0.33507776,0.54307437
3850,-0.07528559,0.49146393,-1.2730912
3035,-0.61820215,-1.8251467,-2.633266
2944,-0.32997274,0.237908,0.4323008
2005,-1.2235435,-0.022994757,-2.3449388
2417,0.7235393,-0.34067422,0.04782
3357,-1.0786197,-2.6031086,-4.072833
3674,-1.0155653,-0.427042,-0.065641165
2213,-0.65512866,-0.83565867,-1.5296292
2800,-0.35133877,-1.7777076,-2.8961072
3791,-0.393142,-1.1895119,-1.1093879
2762,-1.0019461,0.54332864,-1.0635132
2935,-0.040313292,-0.18842432,-0.051672578
2385,-0.31064013,-0.8067244,-0.7580372
2796,-1.5032784,-1.4016061,-4.147095
3805,-0.9848906,-0.30894566,-0.975778
2276,-0.9696201,-2.614007,-5.0471897
3334,-0.3321807,-1.8998456,-2.2546456
3110,-0.95467603,-0.75915116,-3.041245
2451,-0.026307499,0.21437708,0.07135556
3897,-2.1865485,-2.0664065,-5.2298875
2180,-0.15641668,-1.4221637,-2.4134536
2722,-1.6138593,-2.1098845,-4.908713
3927,0.0015060946,-0.28256422,-0.97363293
2022,-1.2084533,-0.94183755,-1.8768697
3892,-0.6590489,-1.6597859,-3.5656583
