,x1,x2,x3
3069,-0.0,1.4,5.5
3085,-0.0,-0.0,3.5
2882,-0.0,0.1,2.2
3771,0.0,0.2,1.3
2531,0.0,0.0,0.4
3866,-0.0,0.0,3.9
2453,-0.0,0.0,0.4
2741,-0.0,0.2,3.8
2533,-0.0,0.2,4.0
3754,0.0,-0.0,0.3
3151,0.0,0.1,2.3
3804,0.0,-0.1,0.9
3059,0.0,0.1,4.0
2620,-0.0,0.2,5.2
2104,-0.0,0.4,1.1
2219,0.0,0.0,1.5
2549,-0.0,-0.0,5.1
2558,0.0,0.6,3.6
2837,-0.0,-0.0,4.0
3779,0.0,0.0,1.6
2616,-0.1,-0.1,1.1
3755,0.0,0.2,1.1
3917,0.0,0.1,0.4
3528,0.0,0.0,0.1
3296,-0.1,0.2,4.2
3092,0.0,0.2,4.6
2996,-0.0,0.0,1.3
3719,-0.1,0.3,2.2
2577,0.0,-0.0,0.4
3054,0.1,-0.1,2.0
3543,-0.0,0.1,0.8
3362,0.0,0.0,0.8
2504,-0.0,-0.0,1.4
2171,0.0,-0.0,1.0
3203,0.0,0.0,0.8
3047,-0.0,-0.0,3.5
3545,-0.0,0.3,3.1
2146,0.0,0.0,0.6
3234,-0.1,0.1,2.0
3451,0.0,0.3,3.9
2963,0.0,0.0,1.5
3686,0.0,-0.0,3.7
2609,0.0,0.2,0.2
2627,0.0,0.0,2.1
3438,0.0,0.1,3.8
3578,0.0,-0.0,0.7
2976,0.0,0.1,2.3
3352,0.1,-0.1,0.9
3100,-0.0,-0.0,4.0
3089,0.0,0.0,0.1
3898,0.0,0.1,6.4
3850,-0.0,0.0,1.7
3321,-0.1,0.5,4.2
2164,0.0,0.8,5.3
3696,-0.0,0.0,0.7
2057,-0.1,0.6,4.3
3011,-0.0,0.0,0.4
2839,0.0,0.1,2.7
3855,0.0,0.0,1.7
3371,-0.0,0.5,4.7
3331,0.0,0.1,3.1
3997,0.0,-0.0,0.8
2796,0.0,0.0,5.0
3452,-0.0,-0.1,4.8
2301,-0.0,0.2,2.3
2000,0.0,0.8,4.1
2390,0.0,0.4,3.2
3868,-0.0,0.1,2.1
2386,0.1,0.0,2.3
2052,0.0,0.0,0.1
2736,-0.0,0.0,1.6
2900,-0.0,1.5,4.5
2276,0.0,0.6,6.1
3874,0.0,-0.0,2.5
3674,0.0,-0.0,0.7
3025,-0.0,0.1,2.4
