,y_hat
3001,False
2992,False
3763,False
3447,False
2174,False
2127,False
3194,False
3629,False
3781,False
3702,False
3325,False
2934,False
3982,False
2418,False
2306,False
2336,False
3813,False
3427,False
2534,False
2691,False
3350,False
3282,False
2728,False
3098,False
2558,False
3473,False
3322,False
3580,False
3111,False
2715,False
2025,False
2111,False
2853,False
2710,False
2411,False
3133,False
2874,False
2563,False
3410,False
3422,False
3011,False
3143,False
3999,False
3304,False
2954,False
2857,False
3340,False
2641,False
3455,False
3997,False
3009,False
3348,False
2116,False
3049,False
2479,False
3166,False
3298,False
3181,False
3052,False
3470,False
2605,False
3417,False
3281,False
2096,False
2042,False
2939,False
2245,False
3159,False
3967,False
2417,False
2843,False
2091,False
2622,False
2763,False
2221,False
2239,False
2173,False
3914,False
2384,False
2707,False
3371,False
2240,False
2189,False
2716,False
3850,False
3186,False
3771,False
2094,False
2132,False
2809,False
2854,False
3220,False
3901,False
3600,False
2420,False
3919,False
3032,False
2940,False
2424,False
2514,False
3786,False
2892,False
2216,False
2051,False
2738,False
2254,False
2915,False
3120,False
2269,False
3989,False
3077,False
2994,False
2657,False
2120,False
2996,False
2504,False
2569,False
3696,False
3389,False
2386,False
3489,False
3454,False
2071,False
2628,False
3388,False
3932,False
2536,False
2722,False
3328,False
2817,False
2351,False
3246,False
3239,False
2905,False
3526,False
3939,False
2352,False
2155,False
2689,False
2681,False
3226,False
2616,False
3022,False
2459,False
3395,False
3069,False
3365,False
3188,False
3087,False
2650,False
3543,False
2509,False
2283,False
2687,False
2866,False
3896,False
2642,False
3873,False
3966,False
3184,False
3360,False
2553,False
2211,False
2088,False
2944,False
2924,False
3868,False
2596,False
2146,False
2118,False
2896,False
3518,False
2677,False
2446,False
3169,False
2041,False
3633,False
3097,False
3167,False
2398,False
2178,False
3668,False
2455,False
2502,False
3975,False
2611,False
3677,False
3253,False
3606,False
3290,False
3945,False
3315,False
3649,False
2575,False
2966,False
3610,False
3409,False
3056,False
2460,False
3428,False
