,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.95,0.95,0.9549999833106995,0.18000000715255737,1.0,0.99,"[1.0, 1.0]",300.0,0.5,individualized,improvement,2,"[[-0.02169982150016994, 0.22968267546048632, 0.8662488131705595], [-0.44684755442685314]]",1.0,3.137999999999999
1,1.0,0.95,0.95,0.23000000417232513,0.1550000011920929,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,2,"[[-0.02169982150016994, 0.22968267546048632, 0.8662488131705595], [-0.44684755442685314]]",0.5429999828338623,2.6115000000000004
2,1.0,0.95,0.95,0.14499999582767487,0.14000000059604645,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,2,"[[-0.02169982150016994, 0.22968267546048632, 0.8662488131705595], [-0.44684755442685314]]",0.4899999499320984,2.6315000000000004
3,1.0,0.95,0.95,0.9449999928474426,0.1899999976158142,1.0,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,2,"[[-0.02169982150016994, 0.22968267546048632, 0.8662488131705595], [-0.44684755442685314]]",0.9989999532699585,3.129999999999999
4,1.0,0.95,0.95,0.18000000715255737,0.15000000596046448,0.985,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,2,"[[-0.02169982150016994, 0.22968267546048632, 0.8662488131705595], [-0.44684755442685314]]",0.49000006914138794,2.777000000000001
5,1.0,0.95,0.95,0.9549999833106995,0.18000000715255737,1.0,0.985,"[1.0, 1.0]",300.0,0.5,individualized,improvement,1,"[[0.06698683918622554, 0.02294710991066491, 0.9312539723062421], [-0.4130232217603126]]",1.0,3.2964999999999973
6,1.0,0.95,0.95,0.22499999403953552,0.1599999964237213,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,1,"[[0.06698683918622554, 0.02294710991066491, 0.9312539723062421], [-0.4130232217603126]]",0.6850000023841858,2.2174999999999985
7,1.0,0.95,0.95,0.18000000715255737,0.1850000023841858,0.995,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,1,"[[0.06698683918622554, 0.02294710991066491, 0.9312539723062421], [-0.4130232217603126]]",0.5839999914169312,2.3509999999999986
8,1.0,0.95,0.95,0.9399999976158142,0.2199999988079071,0.98,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,1,"[[0.06698683918622554, 0.02294710991066491, 0.9312539723062421], [-0.4130232217603126]]",0.9850000143051147,3.279
9,1.0,0.95,0.95,0.15000000596046448,0.14000000059604645,0.985,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,1,"[[0.06698683918622554, 0.02294710991066491, 0.9312539723062421], [-0.4130232217603126]]",0.5740000009536743,2.4905
10,1.0,0.95,0.95,0.9700000286102295,0.17000000178813934,1.0,0.995,"[1.0, 1.0]",300.0,0.5,individualized,improvement,0,"[[-0.00899751760012786, -0.04203304407028488, 1.0119926557462524], [-0.5094145793336967]]",1.0,3.3645
11,1.0,0.95,0.95,0.2150000035762787,0.14000000059604645,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,0,"[[-0.00899751760012786, -0.04203304407028488, 1.0119926557462524], [-0.5094145793336967]]",0.4659999907016754,2.2095000000000002
12,1.0,0.95,0.95,0.1850000023841858,0.17499999701976776,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,0,"[[-0.00899751760012786, -0.04203304407028488, 1.0119926557462524], [-0.5094145793336967]]",0.37199997901916504,2.0360000000000005
13,1.0,0.95,0.95,0.9549999833106995,0.1599999964237213,0.995,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,0,"[[-0.00899751760012786, -0.04203304407028488, 1.0119926557462524], [-0.5094145793336967]]",0.9950000047683716,3.2060000000000013
14,1.0,0.95,0.95,0.1850000023841858,0.18000000715255737,0.995,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,0,"[[-0.00899751760012786, -0.04203304407028488, 1.0119926557462524], [-0.5094145793336967]]",0.36900001764297485,2.253999999999999
