,u_x1,u_x2,u_y,u_x3
2000,1.1886944,-1.042669,0.06700754,-1.8648493
2001,0.19620074,0.11870427,0.5450703,0.6157101
2002,0.5330847,0.4912621,0.058140516,2.3604302
2003,0.3768733,0.6175908,0.75864387,0.12034388
2004,-0.14558649,-0.102313146,0.3179829,-1.7580905
2005,-1.2310028,-1.0684876,0.8862498,1.9308196
2006,0.8809507,1.3964082,0.83415115,0.035247326
2007,0.37223372,-0.8008655,0.8417455,0.20332569
2008,1.0591081,-0.50170404,0.27622962,0.5223297
2009,-0.15090612,-0.615169,0.14136362,-0.5591877
2010,-1.3844119,-1.8233746,0.10334337,1.039834
2011,-1.0063108,-0.85495067,0.091310024,-1.1889219
2012,0.6534358,-0.15447438,0.9156164,-0.377941
2013,1.3136826,0.13462724,0.54505146,-0.30153197
2014,0.8437981,-1.2768643,0.2186675,-0.13684186
2015,0.7731526,1.2074037,0.082574844,-1.6707829
2016,-0.3582137,0.29264945,0.9414778,-0.79262346
2017,-1.0193584,0.11048689,0.46035802,-0.92564845
2018,-0.0865066,1.098994,0.9525106,-1.4571098
2019,1.7702636,0.7179014,0.3602301,0.9584706
2020,-1.7279505,-1.7347198,0.88485515,1.3465868
2021,0.8213293,-1.0253702,0.42722237,0.7314748
2022,-0.071928605,1.6026721,0.16733015,1.2526371
2023,-0.7635668,3.6304264,0.13539302,-2.0852067
2024,0.20920275,1.6611767,0.68978405,1.3066417
2025,0.2012173,-2.126188,0.919371,-0.3686277
2026,-2.1777427,-0.048653677,0.27400148,-0.08001151
2027,-0.26095954,-1.5758128,0.78998184,0.70734143
2028,-0.1008423,-0.85851884,0.9255183,-1.2724327
2029,0.28582215,-1.5655843,0.061929703,0.5811303
2030,-0.114794776,0.28956318,0.0849967,-0.27601406
2031,-0.020158343,-2.021784,0.31834543,-0.5011317
2032,1.1692461,0.33579662,0.84294736,0.7840036
2033,0.32634583,-0.50541013,0.3527708,0.8459829
2034,-0.9141406,1.8511604,0.5194415,-0.6491881
2035,0.64352125,0.066499464,0.6044847,-0.5252717
2036,0.3113114,-0.62096095,0.91411746,1.0479084
2037,-0.3989782,1.236884,0.6949427,-0.20119244
2038,-0.6431697,0.1258667,0.0782727,1.1437429
2039,1.1252104,-0.66317624,0.5316367,0.9688082
2040,1.5062985,-1.0312827,0.91638136,0.22006305
2041,1.1418729,-0.6564787,0.41358602,-0.6831733
2042,1.147882,-0.57497406,0.13591385,0.5297803
2043,0.5088214,-0.3127437,0.64680994,0.61917645
2044,1.5764526,2.4636726,0.39834142,-1.1649733
2045,-1.0852981,-0.5071255,0.108906746,-0.6706304
2046,1.1651026,-1.0745629,0.031689405,1.2954278
2047,0.018050876,0.1285631,0.23622882,1.453464
2048,-0.22475353,-0.7406994,0.33566618,1.1410567
2049,0.17466259,-0.7698419,0.82068217,2.2485662
2050,-0.32959098,-0.2688601,0.7220079,1.3265007
2051,-0.9662337,0.29249883,0.9141263,0.5752144
2052,1.340358,1.0630254,0.8879051,-1.3372825
2053,-0.84911704,-0.08773758,0.29197,-0.65042406
2054,1.2532719,0.6645744,0.47054744,-0.28958327
2055,2.0933573,1.2810988,0.6730989,-1.9641131
2056,-0.0009062263,-0.009313474,0.8502257,0.5001158
2057,-1.4239006,-0.2228885,0.93077433,-0.59467447
2058,1.0512928,-0.51757276,0.57560563,0.7637602
2059,0.7640474,1.4459885,0.060646176,-0.90311754
2060,-0.11709552,0.33496404,0.90031135,-0.19466709
2061,1.3376514,-0.0060972497,0.6928073,0.86076176
2062,-1.0217512,-1.048123,0.7834799,-0.08819474
2063,2.3549955,0.17278785,0.7751267,1.4558725
2064,-1.5062758,0.47842538,0.9762169,0.4446754
2065,-0.021586683,-0.105766356,0.7381903,-0.8008222
2066,-0.50247073,-0.8418019,0.9442791,0.5996585
2067,0.48657858,1.9028858,0.47984195,0.4172941
2068,-0.44756436,-1.4769208,0.43695033,2.2266865
2069,-0.57438755,0.7004347,0.55827796,-2.8470283
2070,-2.0815783,-0.19653873,0.101796865,-0.23342007
2071,0.019553574,-2.5979402,0.3814243,-1.0468216
2072,-0.75837183,-0.20619968,0.32677257,-0.6946937
2073,0.0795824,0.23568974,0.24890709,-0.46547
2074,-0.36290893,-1.449407,0.52005696,0.3370229
2075,1.5099714,-1.4959097,0.70986056,-0.35535496
2076,-0.59314036,1.4968878,0.4186138,0.7151531
2077,-0.8001459,0.6448755,0.26836765,2.011878
2078,-0.19829957,-0.010409575,0.30135012,-1.2858528
