,x1,x2,x3
3550,1.4549499,-1.5948329,-2.4265678
3973,1.1120818,1.1487722,4.74172
3673,0.1261044,1.8934364,1.9372636
3469,1.1259153,1.0651715,3.9206977
3262,1.2282349,1.6240368,3.4250362
2186,1.3678042,1.961497,4.700977
2782,0.9278833,1.2523497,3.2002609
3178,0.66750073,1.4672543,3.4662657
2520,1.0805699,1.0946258,4.7884035
2429,1.4820551,1.0462554,2.7201636
3145,0.064120844,2.1272237,3.98966
3875,1.6121345,0.7234861,2.8757112
3620,1.8764155,0.23637256,1.0792572
3977,1.19884,0.9790766,2.1228168
2642,0.6805513,1.4946207,2.2909498
3156,0.92270976,1.1809499,3.2883875
2368,0.8484631,1.3975371,2.422573
3676,1.4074756,1.1017027,3.6082118
2938,1.3586596,0.47724527,0.6757767
2417,0.83130515,1.3525989,5.4975386
3061,1.3196783,1.3740629,3.745372
2027,1.3390405,0.9632277,4.0096097
3244,1.3588005,1.823231,4.955219
3787,1.3446431,1.1405058,2.609135
2758,1.3770812,1.6001914,4.0714364
2502,1.281622,0.8849696,5.119968
2050,1.270409,1.0015489,4.5984583
3482,1.3388919,0.73010355,0.5436108
3186,1.1905515,0.91045165,1.8485878
3737,1.3448253,0.9248779,4.0039935
3961,0.95290476,1.0269368,3.2301247
3661,1.3457545,2.0107837,4.264626
2401,1.3585798,0.4127348,2.335116
3946,-0.2877995,2.4091325,2.7216985
2581,1.0017366,1.2619796,3.4953992
3672,1.2029177,1.8475126,3.4953723
3161,0.59281206,1.4948547,1.9437035
3309,1.4724718,1.289324,2.8373666
3679,1.1740192,0.9267314,3.919216
3634,0.72402376,1.4984579,3.0746207
2606,1.3717495,1.1103141,2.7276082
3214,0.96184874,0.78779674,2.8379118
2609,1.3649161,1.5454302,4.142121
2769,0.87753576,1.1928768,4.593631
3923,1.2480707,0.9766207,2.7233167
2279,1.2432497,0.31095445,1.906232
3072,2.0284576,0.23136146,1.8354292
2556,1.2547951,2.1289325,3.5164013
2998,1.292559,0.8207175,3.4729145
3167,1.3539237,1.045718,2.9231267
3215,1.3608551,0.2911905,1.85918
2449,-0.5631881,2.841818,4.5376134
3913,1.5149682,1.2592478,4.6332564
3538,0.23394671,1.9503266,3.3024194
2605,1.339904,2.0971706,4.7509084
3090,1.2892321,0.4635964,2.5739927
2589,1.3433166,0.73753226,2.377481
3853,0.8126946,1.3017253,3.5634987
3968,1.3171629,0.5716114,3.297478
3613,1.3405373,0.6718707,2.6449676
2700,0.44911316,1.6941025,1.7112004
3463,1.3055513,0.47868162,2.7658808
2669,1.3326387,2.5809267,3.6380804
3099,1.1663067,2.087393,1.4141433
3377,0.67528915,1.5104493,3.4563532
3765,1.0947261,1.1664125,2.4852643
3001,0.6264582,1.5619022,1.6650134
2121,0.890375,1.2439383,1.820758
3607,0.55987716,1.4716964,1.5401387
3825,1.4051815,1.663214,4.3627844
3508,0.70624244,1.4689202,2.618627
3026,1.4296561,0.4098817,1.9127553
3704,0.73421794,1.380794,5.178734
2246,1.2788657,0.85686654,1.4881192
3911,1.4680023,1.7362839,6.033029
3426,0.574432,1.5490043,1.4839818
2571,0.590943,1.5334586,3.3400552
3282,1.4335833,-0.20321,1.723999
2921,1.4625515,1.7147868,1.9392853
3533,1.3432779,0.6155256,4.518255
3711,1.4019198,0.4391746,2.7582633
3132,1.4668969,1.3176819,3.227131
3414,1.2909445,1.57529,4.964064
2784,1.3853989,1.0915327,3.1975982
3370,1.0129557,1.271279,2.7081323
3778,0.078499846,2.0615754,2.5212753
2357,0.4176678,-1.420744,0.54931486
2216,1.2681155,1.5460138,3.27322
3140,1.440984,0.76091325,0.65067005
3187,1.2916436,1.5213904,1.5995023
2643,0.24731988,1.9889725,3.9478528
2728,1.4218472,1.7048087,2.6064541
3570,1.0003873,1.6454589,2.6304846
2092,0.843439,1.3246167,4.075492
3532,1.49638,0.658128,3.6362004
3855,1.3318988,0.36137086,1.617042
2625,1.3401797,0.5482809,3.317199
2168,1.2876704,0.5710071,2.6458201
2255,1.736305,0.503901,4.1448436
2904,1.3114599,2.0918727,4.2101846
3446,1.2860084,0.8735792,3.6327078
3820,1.4497119,0.7480136,2.087212
2273,0.38642973,1.7688051,2.9608035
2722,1.2883356,0.5391521,1.526084
3340,1.2342627,2.0899649,4.4224033
3020,0.15336761,2.106363,3.1489165
2465,1.3159508,1.3309205,4.2240496
3277,1.3032984,0.8175714,2.380454
2802,0.97526264,1.277176,3.269958
2577,1.2796811,-0.054926872,0.72854006
2116,1.3905865,1.9254252,4.254119
2750,1.3700584,2.0395112,4.947129
3663,1.482284,0.7709842,3.075643
2261,1.3786688,0.5479176,2.5451112
3568,1.1430823,1.300787,3.1885095
2523,1.0230635,1.0549123,3.8393345
2196,1.0686797,1.1454241,1.1632915
2020,1.2720495,1.0373297,4.655966
2971,1.3892635,-0.073871255,1.7824482
2422,0.6322468,1.5493485,3.8798485
2759,-0.10087321,2.3322992,2.934817
2839,1.3865019,1.709158,3.588447
2909,1.3610163,0.32643926,4.1683164
3582,1.3496282,1.4112425,3.1897867
3347,-0.25498912,2.425306,1.7079862
3448,0.040900446,2.0454202,2.4827204
3659,1.4012046,0.78077334,2.8408158
2656,1.2341328,0.8668154,1.7005683
3465,1.3380883,0.82526493,1.8805766
3330,1.301344,1.5696036,3.1254587
2078,1.2017004,1.1912909,2.1071386
2818,1.300706,1.413906,4.1830077
3210,1.6788836,0.5440915,2.4802444
2086,1.2920506,0.73390585,2.5367472
3560,0.5036203,1.5700204,2.5777342
2221,1.3567884,-0.77589536,2.245069
2616,1.2375937,0.94541514,3.3568015
2506,1.4592916,-0.8192688,0.4359721
2327,1.3498837,0.7506284,4.0315347
2680,1.3187762,1.479509,4.652812
3019,1.2531565,0.82034594,2.9177196
3216,1.2292047,3.027425,5.20961
2140,1.4674647,0.2710414,3.3694422
3978,1.3563659,1.4877687,3.5151453
3432,1.4022033,3.3472118,5.5221004
3935,1.1776448,0.94155973,2.7724223
2399,0.74084115,1.3991455,2.3689404
2210,0.8986816,1.3379036,3.9304307
3998,1.3603476,2.5337634,6.7820063
3266,1.2671113,0.978659,3.4332693
3534,0.4537727,1.7953557,4.110591
3003,0.5792079,1.5613418,4.169636
3192,1.4144244,0.385692,4.39015
2219,1.2845302,2.4184093,2.24741
3332,1.4139473,1.9101806,5.2723637
3647,1.3669102,1.6737871,4.827969
2719,1.0461336,1.0908855,2.6079633
3542,1.35855,0.883564,2.9838006
2941,1.327247,3.008914,5.3626137
2939,1.239579,0.8275324,2.8125021
3116,1.3256,1.418538,3.3410106
2094,1.4584988,1.4030688,1.8030338
2600,1.3344246,-0.07411194,1.8533345
2230,0.64171785,1.605269,2.88039
2925,1.4588062,1.197773,2.0731742
3940,1.1267247,1.1932997,3.1204393
2569,1.4617796,0.9657037,2.8967993
2441,1.3004262,-0.029686928,1.8276436
2108,0.9293426,1.3630278,2.608611
2822,1.2888061,1.4440336,5.548419
2555,0.6194742,1.5361054,4.071912
3954,1.3195534,0.62788725,3.1662214
3383,1.3076057,-0.31084335,1.7309109
2360,1.2273964,1.013603,3.7926683
2524,1.3782682,0.08560181,1.4509846
3669,1.3505543,0.9220167,1.4357859
2629,0.6930366,1.4234737,4.028204
2238,1.0016675,1.0572102,3.6460965
2444,-0.12286302,2.183522,1.5593339
3949,1.253408,1.7064905,4.044709
3281,1.2669312,0.28052413,3.4462972
2448,1.2910289,1.6751325,3.4778037
2873,1.2471211,-0.00505352,0.12796879
2918,1.2297144,0.9535925,4.048126
