,y_hat
3550,False
3973,False
3673,False
3469,False
3262,False
2186,False
2782,False
3178,False
2520,False
2429,False
3145,False
3875,False
3620,False
3977,False
2642,False
3156,False
2368,False
3676,False
2938,False
2417,False
3061,False
2027,False
3244,False
3787,False
2758,False
2502,False
2050,False
3482,False
3186,False
3737,False
3961,False
3661,False
2401,False
3946,False
2581,False
3672,False
3161,False
3309,False
3679,False
3634,False
2606,False
3214,False
2609,False
2769,False
3923,False
2279,False
3072,False
2556,False
2998,False
3167,False
3215,False
2449,False
3913,False
3538,False
2605,False
3090,False
2589,False
3853,False
3968,False
3613,False
2700,False
3463,False
2669,False
3099,False
3377,False
3765,False
3001,False
2121,False
3607,False
3825,False
3508,False
3026,False
3704,False
2246,False
3911,False
3426,False
2571,False
3282,False
2921,False
3533,False
3711,False
3132,False
3414,False
2784,False
3370,False
3778,False
2357,False
2216,False
3140,False
3187,False
2643,False
2728,False
3570,False
2092,False
3532,False
3855,False
2625,False
2168,False
2255,False
2904,False
3446,False
3820,False
2273,False
2722,False
3340,False
3020,False
2465,False
3277,False
2802,False
2577,False
2116,False
2750,False
3663,False
2261,False
3568,False
2523,False
2196,False
2020,False
2971,False
2422,False
2759,False
2839,False
2909,False
3582,False
3347,False
3448,False
3659,False
2656,False
3465,False
3330,False
2078,False
2818,False
3210,False
2086,False
3560,False
2221,False
2616,False
2506,False
2327,False
2680,False
3019,False
3216,False
2140,False
3978,False
3432,False
3935,False
2399,False
2210,False
3998,False
3266,False
3534,False
3003,False
3192,False
2219,False
3332,False
3647,False
2719,False
3542,False
2941,False
2939,False
3116,False
2094,False
2600,False
2230,False
2925,False
3940,False
2569,False
2441,False
2108,False
2822,False
2555,False
3954,False
3383,False
2360,False
2524,False
3669,False
2629,False
2238,False
2444,False
3949,False
3281,False
2448,False
2873,False
2918,False
2364,False
2179,False
3209,False
3703,False
2841,False
3824,False
2641,False
3409,False
3756,False
2667,False
3075,False
2559,False
3393,False
3770,False
2926,False
3295,False
