r_type,t_type,eta_mean,gamma_mean,perc_recomm_found_mean,eta_obs_mean,eta_obs_individualized_mean,eta_obs_refits_batch0_mean_mean,gamma_obs_mean,intv-cost_mean,eta_std,gamma_std,perc_recomm_found_std,eta_obs_std,eta_obs_individualized_std,eta_obs_refits_batch0_mean_std,gamma_obs_std,intv-cost_std
individualized,acceptance,0.75,0.75,1.0,1.0,,0.6669999957084656,0.2199999988079071,,,,,,,,,
individualized,acceptance,0.75,0.75,1.0,0.995,,0.5960000157356262,0.23000000417232513,2.1245,,,,,,,,
individualized,acceptance,0.75,0.75,1.0,0.9966666666666667,,0.7303333083788554,0.24999999503294626,2.032166666666667,0.0,0.0,0.0,0.005773502691896262,,0.04675821363235692,0.035000002809934636,0.07782244748999775
individualized,acceptance,0.85,0.85,1.0,1.0,,0.7863333225250244,0.21999999384085336,2.208,0.0,0.0,0.0,0.0,,0.04346647529126194,0.03968626279479526,0.1575698257916152
individualized,acceptance,0.9,0.9,1.0,1.0,,0.6613333423932394,0.2399999996026357,2.215833333333333,0.0,0.0,0.0,0.0,,0.018717212081011427,0.04272002333087721,0.13482334120371436
individualized,acceptance,0.9499999999999998,0.9499999999999998,1.0,1.0,,0.5646666586399078,0.2233333339293798,2.3461666666666665,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,,0.11109606162955611,0.00763762537785382,0.22982021959204024
subpopulation,acceptance,0.75,0.75,1.0,0.91,,0.6569999853769938,0.21666666368643442,2.112833333333334,0.0,0.0,0.0,0.0050000000000000044,,0.1044557272427869,0.03785938369786614,0.038289467655391846
subpopulation,acceptance,0.85,0.85,1.0,0.9733333333333333,,0.7543333172798157,0.1983333279689153,2.2538333333333336,0.0,0.0,0.0,0.01527525231651948,,0.04186089232683897,0.03403429498293849,0.07691933003695177
subpopulation,acceptance,0.9,0.9,1.0,0.975,,0.6070000131924947,0.1933333327372869,2.4205,0.0,0.0,0.0,0.018027756377319962,,0.006244951001868249,0.027537848569841074,0.20444070044881044
subpopulation,acceptance,0.9499999999999998,0.9499999999999998,1.0,0.9883333333333333,,0.477666695912679,0.17166667183240256,2.5071666666666665,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.005773502691896262,,0.10305499677718562,0.018929693488900744,0.26189803995702954
individualized,counterfactual,0.75,0.75,1.0,0.995,,0.527999997138977,0.20000000298023224,2.1814999999999998,,,,,,,,
individualized,counterfactual,0.75,0.75,1.0,0.9783333333333334,,0.687333325544993,0.19666666785875955,2.15,0.0,0.0,0.0,0.012583057392117928,,0.10402566990966043,0.010408328422507884,0.06886036595894592
individualized,counterfactual,0.85,0.85,1.0,0.9899999999999999,,0.75,0.163333331545194,2.3791666666666673,0.0,0.0,0.0,0.01732050807568879,,0.026229748170774912,0.04072263439248063,0.14741212071377677
individualized,counterfactual,0.9,0.9,1.0,0.9899999999999999,,0.6233333150545756,0.18000000218550363,2.2949999999999995,0.0,0.0,0.0,0.010000000000000009,,0.004041426890889132,0.008660254381971964,0.13516193990913247
individualized,counterfactual,0.9499999999999998,0.9499999999999998,1.0,0.9983333333333334,,0.4819999734560649,0.17000000178813934,2.3394999999999997,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0028867513459481316,,0.10622617865609241,0.02179449957205995,0.29791651515147655
individualized,improvement,0.75,0.75,1.0,0.94,0.755,0.9380000233650208,0.7649999856948853,2.1035000000000004,,,,,,,,
individualized,improvement,0.75,0.75,1.0,0.88,0.76,0.8729999661445618,0.7400000095367432,2.0030000000000006,,,,,,,,
individualized,improvement,0.75,0.75,1.0,0.9283333333333333,0.7866666666666666,0.9339999755223592,0.7583333253860474,2.0403333333333333,0.0,0.0,0.0,0.030550504633038912,0.0305505046330389,0.02007484788091281,0.022546227262336092,0.1480880931517902
individualized,improvement,0.85,0.85,1.0,0.9866666666666667,0.89,0.984333316485087,0.8349999984105428,2.472166666666667,0.0,0.0,0.0,0.00763762615825974,0.031224989991992018,0.008621652368227725,0.03968626561085052,0.030636307436329988
individualized,improvement,0.9,0.9,1.0,0.9983333333333334,0.9383333333333334,0.9963333408037821,0.8833333253860474,2.9510000000000005,0.0,0.0,0.0,0.0028867513459481316,0.00763762615825968,0.006350840021888985,0.020816640142347336,0.14421945083795032
individualized,improvement,0.9499999999999998,0.9499999999999998,1.0,1.0,0.9899999999999999,1.0,0.9599999984105428,3.266333333333332,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,0.0050000000000000044,0.0,0.008660280191540243,0.11622428030895
subpopulation,improvement,0.75,0.75,1.0,0.76,,0.7509999871253967,0.6800000071525574,1.764,,,,,,,,
subpopulation,improvement,0.75,0.75,1.0,0.7933333333333333,,0.8013333280881246,0.7183333237965902,1.9306666666666663,0.0,0.0,0.0,0.04041451884327379,,0.020984122082840673,0.023094023156177805,0.010539607835841288
subpopulation,improvement,0.85,0.85,1.0,0.915,,0.915666659673055,0.800000011920929,2.4661666666666657,0.0,0.0,0.0,0.04358898943540673,,0.039004277434904644,0.017320491557565074,0.10606641001435535
subpopulation,improvement,0.9,0.9,1.0,0.9783333333333334,,0.9703333179155985,0.8766666849454244,2.9346666666666668,0.0,0.0,0.0,0.00763762615825974,,0.012220207108092492,0.030550508014808967,0.09693468591445092
subpopulation,improvement,0.9499999999999998,0.9499999999999998,1.0,0.9916666666666667,,0.9929999907811483,0.9466666579246521,3.205,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.010408329997330672,,0.007211075836285056,0.007637618874451828,0.07450503338701399
