,years_experience,degree,nr_commits,nr_languages,nr_stars
2633,1.0,0.0,16.0,12.0,5.0
3537,2.0,1.0,22.0,5.0,9.0
2117,1.0,0.0,15.0,9.0,10.0
3158,2.0,0.0,28.0,0.0,8.0
2511,1.0,1.0,13.0,1.0,6.0
2473,2.0,0.0,22.0,2.0,8.0
2182,3.0,0.0,35.0,11.0,3.0
2459,3.0,1.0,37.0,17.0,1.0
3127,3.0,0.0,40.0,5.0,1.0
3501,2.0,0.0,23.0,11.0,3.0
2370,2.0,1.0,23.0,1.0,13.0
3717,2.0,1.0,25.0,2.0,4.0
2134,1.0,0.0,12.0,0.0,1.0
2033,2.0,0.0,25.0,11.0,5.0
3970,4.0,0.0,47.0,1.0,7.0
3846,0.0,0.0,11.0,9.0,4.0
2695,1.0,1.0,12.0,1.0,1.0
2965,1.0,0.0,14.0,6.0,1.0
3019,1.0,0.0,13.0,25.0,4.0
2230,3.0,0.0,31.0,3.0,7.0
2859,4.0,0.0,46.0,2.0,3.0
3590,0.0,0.0,4.0,0.0,5.0
3975,1.0,0.0,15.0,6.0,4.0
2620,0.0,2.0,3.0,2.0,3.0
3157,2.0,0.0,24.0,6.0,6.0
2152,2.0,0.0,21.0,0.0,1.0
3284,3.0,0.0,32.0,1.0,6.0
2122,2.0,0.0,23.0,4.0,2.0
2782,3.0,0.0,34.0,0.0,4.0
3762,2.0,0.0,25.0,4.0,3.0
2071,1.0,2.0,13.0,4.0,4.0
2551,0.0,0.0,5.0,3.0,11.0
2848,0.0,0.0,10.0,2.0,2.0
3640,0.0,0.0,4.0,1.0,7.0
3107,0.0,2.0,3.0,7.0,7.0
2492,3.0,0.0,36.0,0.0,2.0
2049,3.0,0.0,31.0,2.0,2.0
3915,3.0,0.0,33.0,6.0,2.0
3262,1.0,0.0,16.0,1.0,6.0
3200,2.0,0.0,25.0,3.0,2.0
2449,3.0,0.0,35.0,3.0,4.0
3734,0.0,2.0,8.0,0.0,1.0
3466,0.0,2.0,3.0,5.0,4.0
3560,2.0,0.0,21.0,1.0,4.0
2589,1.0,0.0,11.0,7.0,10.0
3959,0.0,0.0,4.0,6.0,3.0
3603,2.0,0.0,25.0,1.0,8.0
3488,1.0,2.0,12.0,9.0,4.0
2932,3.0,0.0,31.0,2.0,1.0
2195,0.0,0.0,5.0,0.0,1.0
2219,1.0,0.0,12.0,10.0,3.0
2825,0.0,0.0,5.0,3.0,5.0
3020,1.0,1.0,14.0,4.0,5.0
3350,2.0,0.0,24.0,3.0,5.0
2347,1.0,2.0,11.0,2.0,5.0
3656,2.0,1.0,26.0,0.0,3.0
3877,2.0,0.0,20.0,0.0,3.0
2465,0.0,2.0,4.0,5.0,3.0
2362,2.0,0.0,24.0,1.0,2.0
3387,0.0,1.0,3.0,6.0,2.0
2376,1.0,2.0,12.0,3.0,9.0
3357,3.0,0.0,38.0,2.0,0.0
3633,5.0,0.0,57.0,8.0,3.0
2452,0.0,0.0,4.0,1.0,7.0
2630,2.0,0.0,26.0,6.0,3.0
3278,0.0,0.0,6.0,3.0,4.0
3960,3.0,0.0,35.0,1.0,4.0
3676,1.0,1.0,19.0,4.0,2.0
2834,3.0,0.0,31.0,3.0,3.0
3497,0.0,0.0,5.0,3.0,0.0
2637,0.0,2.0,5.0,11.0,0.0
3791,0.0,2.0,0.0,0.0,3.0
2864,0.0,2.0,5.0,2.0,4.0
3226,0.0,0.0,0.0,6.0,5.0
2784,3.0,0.0,32.0,7.0,3.0
3638,1.0,1.0,15.0,3.0,2.0
3252,1.0,1.0,16.0,7.0,8.0
2093,1.0,0.0,18.0,2.0,4.0
2807,3.0,0.0,32.0,9.0,1.0
3163,2.0,1.0,25.0,1.0,3.0
3216,1.0,0.0,16.0,5.0,4.0
