,y_hat
2633,False
3537,False
2117,False
3158,False
2511,False
2473,False
2182,False
2459,False
3127,False
3501,False
2370,False
3717,False
2134,False
2033,False
3970,False
3846,False
2695,False
2965,False
3019,False
2230,False
2859,False
3590,False
3975,False
2620,False
3157,False
2152,False
3284,False
2122,False
2782,False
3762,False
2071,False
2551,False
2848,False
3640,False
3107,False
2492,False
2049,False
3915,False
3262,False
3200,False
2449,False
3734,False
3466,False
3560,False
2589,False
3959,False
3603,False
3488,False
2932,False
2195,False
2219,False
2825,False
3020,False
3350,False
2347,False
3656,False
3877,False
2465,False
2362,False
3387,False
2376,False
3357,False
3633,False
2452,False
2630,False
3278,False
3960,False
3676,False
2834,False
3497,False
2637,False
3791,False
2864,False
3226,False
2784,False
3638,False
3252,False
2093,False
2807,False
3163,False
3216,False
3980,False
2607,False
2155,False
3995,False
2512,False
3643,False
3902,False
3947,False
3920,False
2619,False
2030,False
2880,False
3424,False
3323,False
2926,False
3444,False
3397,False
3689,False
2857,False
2159,False
2591,False
3178,False
2774,False
2520,False
3691,False
2904,False
2020,False
2181,False
3954,False
2190,False
2131,False
3487,False
3255,False
2902,False
3183,False
2285,False
2214,False
3741,False
2530,False
3023,False
3647,False
3779,False
3876,False
3874,False
2656,False
3919,False
2391,False
3375,False
2765,False
2374,False
3041,False
3018,False
2154,False
2281,False
3408,False
2928,False
2955,False
2095,False
2861,False
3042,False
2849,False
2348,False
3547,False
2415,False
2635,False
2565,False
2846,False
2611,False
2493,False
3627,False
2852,False
2839,False
2712,False
2345,False
3987,False
3267,False
3948,False
3976,False
2838,False
3053,False
2478,False
2366,False
3364,False
3176,False
3950,False
2227,False
2447,False
3229,False
2545,False
3220,False
3662,False
3055,False
3951,False
2912,False
2845,False
2463,False
3706,False
2757,False
2089,False
2111,False
3483,False
3896,False
3008,False
3808,False
2897,False
2836,False
2198,False
2176,False
3401,False
3156,False
2321,False
2563,False
3989,False
3544,False
2726,False
2891,False
3169,False
3322,False
2433,False
