,y_hat
2498,False
3024,False
2738,False
2849,False
3716,False
3345,False
2449,False
3841,False
2604,False
3638,False
2871,False
2891,False
2386,False
3470,False
3727,False
2994,False
3018,False
2857,False
3023,False
3267,False
2479,False
3873,False
2376,False
2230,False
3328,False
2177,False
3706,False
3350,False
3284,False
2214,False
3178,False
2445,False
3620,False
3199,False
3902,False
2519,False
3497,False
3544,False
3042,False
2777,False
3370,False
2042,False
2807,False
3226,False
2926,False
2543,False
2121,False
2197,False
3842,False
2536,False
2556,False
3762,False
3119,False
2880,False
2157,False
2163,False
3242,False
3016,False
2226,False
2760,False
3861,False
3743,False
2193,False
2963,False
2937,False
2802,False
2550,False
2577,False
3847,False
3061,False
3397,False
2782,False
2879,False
3281,False
3602,False
3769,False
3073,False
3717,False
3421,False
2589,False
3566,False
2524,False
3904,False
3163,False
2058,False
2099,False
3537,False
3453,False
3508,False
3702,False
2715,False
2868,False
2546,False
2089,False
2195,False
2375,False
3093,False
2135,False
3728,False
3019,False
3322,False
3262,False
3682,False
2591,False
2934,False
2480,False
3029,False
2789,False
3365,False
3419,False
2131,False
3679,False
2905,False
3975,False
2090,False
3995,False
2252,False
2309,False
3406,False
2411,False
3722,False
3791,False
2712,False
2955,False
2119,False
3970,False
2820,False
3304,False
2504,False
2139,False
3385,False
2643,False
3445,False
3447,False
3843,False
2865,False
3741,False
3656,False
3248,False
2772,False
2825,False
3081,False
2864,False
2281,False
2429,False
3684,False
3438,False
2765,False
2438,False
3919,False
2472,False
3253,False
2833,False
2492,False
2122,False
3228,False
3190,False
3273,False
3010,False
2635,False
3434,False
3351,False
3929,False
3408,False
3051,False
3530,False
3097,False
2509,False
3924,False
2758,False
3501,False
3911,False
3340,False
2652,False
3331,False
2812,False
2030,False
2320,False
3011,False
2564,False
3652,False
3364,False
3168,False
3776,False
3387,False
2583,False
3012,False
3323,False
2038,False
3227,False
2321,False
3426,False
2554,False
3540,False
2303,False
2705,False
3465,False
3310,False
3983,False
2289,False
