,h_post,h_post_individualized
2073,0.76,
2890,0.78,
3258,0.7,
3986,0.84,
2479,0.78,
2523,0.76,
2789,1.0,
2714,0.74,
3260,0.76,
3526,0.94,
2126,0.76,
3005,0.78,
3935,0.78,
3534,0.8,
3910,0.8,
2738,0.76,
3872,0.8,
3244,0.82,
2262,0.76,
2284,0.98,
2973,0.7,
3968,0.7,
2038,0.68,
2964,0.76,
2156,0.8,
3942,0.76,
3412,0.8,
2303,0.86,
3677,0.76,
3340,0.78,
2561,0.84,
2413,0.78,
2064,1.0,
3788,0.76,
2300,0.76,
3807,0.8,
2373,0.76,
3512,0.7,
2019,0.8,
2232,0.8,
3178,0.96,
2501,0.76,
2516,0.76,
2254,0.84,
2528,0.66,
2916,1.0,
2069,0.84,
2681,0.8,
2767,0.76,
3848,0.84,
2524,0.7,
2915,0.68,
3606,0.84,
2498,0.78,
3875,0.76,
2634,0.76,
2055,0.82,
2978,0.7,
2401,0.82,
2921,0.8,
3567,0.8,
3242,0.76,
2211,0.84,
3317,0.94,
2712,0.84,
2994,0.92,
3864,0.84,
3141,1.0,
2560,0.76,
2568,0.98,
3881,0.84,
2874,0.86,
2216,0.82,
2052,0.98,
2662,0.82,
3048,0.96,
2846,0.56,
2841,0.74,
2244,0.7,
2462,0.82,
3441,0.78,
2870,0.76,
2735,0.7,
3732,0.56,
2722,0.76,
3039,0.76,
3558,0.8,
3403,0.76,
2937,0.82,
2318,0.76,
2911,0.78,
3369,0.78,
3787,0.78,
3802,0.78,
2847,0.84,
3859,0.68,
3601,0.74,
3610,0.8,
2124,0.8,
3736,0.84,
2731,0.9,
2435,0.8,
3348,0.84,
2570,1.0,
2015,0.82,
3611,0.8,
3484,1.0,
3603,0.92,
3911,0.92,
3454,0.76,
3974,0.7,
2633,0.76,
2929,0.78,
2148,0.76,
3359,0.84,
2353,0.78,
2269,0.7,
3719,0.76,
3114,0.76,
3456,0.94,
3177,0.5,
3329,0.84,
2930,0.78,
3134,0.8,
2327,0.78,
2909,0.74,
3194,0.8,
3167,0.7,
2189,0.8,
2006,0.84,
2894,0.98,
2971,0.8,
2541,0.74,
3516,0.9,
3237,0.76,
3452,0.8,
2585,0.8,
2837,0.8,
3358,0.7,
2403,0.8,
3637,0.84,
3268,0.84,
2624,0.78,
3300,0.74,
2550,0.68,
2387,0.76,
3701,0.78,
2261,0.78,
3086,0.82,
2286,0.78,
2026,0.84,
3584,0.68,
3544,0.74,
3128,0.7,
3937,0.76,
3827,0.84,
2183,0.8,
3527,0.76,
3563,1.0,
3381,0.8,
2990,0.7,
2668,0.76,
2734,0.66,
3209,0.68,
3678,0.94,
2233,0.7,
2619,0.8,
2621,0.76,
2457,0.82,
2968,0.84,
3998,0.8,
3725,0.8,
3615,0.8,
2898,0.8,
3370,0.8,
2514,0.84,
2646,0.76,
2690,0.84,
3152,0.84,
3714,0.76,
2723,0.82,
3895,0.76,
2290,0.7,
2504,1.0,
3376,0.68,
2475,0.84,
3333,0.78,
2054,0.56,
3036,0.84,
2410,0.84,
3296,0.78,
3764,0.86,
3074,0.94,
2843,0.76,
2708,0.78,
3795,0.98,
3605,0.82,
3898,0.68,
2040,0.76,
3081,0.76,
