,senior-level_skill
3455,0.0
3118,0.0
2642,0.0
3850,0.0
2486,0.0
3294,0.0
2141,0.0
2514,0.0
3048,0.0
2127,0.0
2968,0.0
2840,0.0
3416,0.0
2715,0.0
2825,0.0
2226,0.0
2221,0.0
3365,0.0
3796,0.0
2956,0.0
2839,0.0
2618,0.0
3036,0.0
3898,0.0
3245,0.0
3017,0.0
3322,0.0
2603,0.0
2026,0.0
3037,0.0
2647,0.0
3014,0.0
3974,0.0
3635,0.0
3159,0.0
3621,0.0
3996,0.0
2310,0.0
3353,0.0
3537,0.0
3314,0.0
2491,0.0
2716,0.0
3241,0.0
2019,0.0
2323,0.0
2300,0.0
3988,0.0
2478,0.0
3263,0.0
3011,0.0
2314,0.0
2413,0.0
3747,0.0
2068,0.0
3183,0.0
3610,0.0
2416,0.0
2424,0.0
3538,0.0
2252,0.0
3486,0.0
2243,0.0
2759,0.0
3668,0.0
2777,0.0
2269,0.0
2488,0.0
3392,0.0
3202,0.0
3024,0.0
2023,0.0
2592,0.0
3460,0.0
3431,0.0
3419,0.0
3399,0.0
2207,0.0
2936,0.0
3304,0.0
3837,0.0
2903,0.0
2474,0.0
3391,0.0
2272,0.0
2564,0.0
2898,0.0
2096,0.0
2046,0.0
2566,0.0
2104,0.0
3054,0.0
2523,0.0
2087,0.0
3805,0.0
3669,0.0
3300,0.0
3281,0.0
2293,0.0
2446,0.0
2007,0.0
3301,0.0
2802,0.0
2261,0.0
2542,0.0
2656,0.0
3643,0.0
2929,0.0
3686,0.0
3701,0.0
3435,0.0
3989,0.0
2117,0.0
2105,0.0
3893,0.0
3034,0.0
3866,0.0
2098,0.0
2148,0.0
2064,0.0
2628,0.0
3773,0.0
3567,0.0
3351,0.0
2479,0.0
3682,0.0
2683,0.0
3179,0.0
3398,0.0
3327,0.0
2420,0.0
3764,0.0
2339,0.0
2588,0.0
3800,0.0
3978,0.0
3443,0.0
3847,0.0
2821,0.0
3464,0.0
2624,0.0
3344,0.0
3082,0.0
2550,0.0
2345,0.0
2001,0.0
2649,0.0
2549,0.0
2570,0.0
2502,0.0
2289,0.0
3430,0.0
2465,0.0
3071,0.0
3434,0.0
2236,0.0
2858,0.0
3680,0.0
3141,0.0
2978,0.0
3993,0.0
2371,0.0
2579,0.0
2808,0.0
3957,0.0
3021,0.0
2203,0.0
3947,0.0
2282,0.0
2350,0.0
3832,0.0
2559,0.0
2122,0.0
2569,0.0
3196,0.0
2880,0.0
3213,0.0
3225,0.0
3484,0.0
3278,0.0
2886,0.0
3020,0.0
3428,0.0
3306,0.0
2024,0.0
2732,0.0
2063,0.0
2079,0.0
2627,0.0
2720,0.0
3982,0.0
2924,0.0
2431,0.0
2497,0.0
2568,0.0
3087,0.0
3615,0.0
3626,0.0
3283,0.0
2283,0.0
