,h_post,h_post_individualized
3391,1.0,
2800,1.0,
3651,1.0,
2177,1.0,
3030,0.94,
3471,1.0,
3213,0.96,
3478,1.0,
3953,0.98,
3280,1.0,
2924,0.98,
3887,1.0,
2916,1.0,
3556,1.0,
2569,0.98,
2793,1.0,
3686,1.0,
2681,1.0,
2401,0.96,
2255,0.98,
3024,1.0,
2094,1.0,
2314,1.0,
3346,0.0,
3430,0.82,
2557,0.92,
3410,1.0,
2782,1.0,
2023,0.0,
2831,1.0,
2696,1.0,
3463,1.0,
3464,1.0,
2349,1.0,
3877,1.0,
3533,1.0,
2503,1.0,
2587,1.0,
2876,1.0,
2289,1.0,
2220,1.0,
3538,1.0,
2089,1.0,
3077,0.94,
2772,1.0,
3435,1.0,
3404,1.0,
2261,1.0,
3093,1.0,
3362,1.0,
2433,1.0,
2308,1.0,
3203,1.0,
3460,1.0,
3862,1.0,
3540,1.0,
3767,1.0,
2939,1.0,
3380,1.0,
3917,1.0,
2088,0.94,
2096,0.8,
3204,1.0,
3898,1.0,
3056,1.0,
3669,1.0,
3317,1.0,
2854,1.0,
3909,1.0,
2561,1.0,
3131,1.0,
2610,1.0,
3746,0.94,
3580,1.0,
3398,0.98,
2148,0.98,
2627,1.0,
3856,1.0,
3906,1.0,
3936,0.94,
2301,1.0,
2664,1.0,
2300,1.0,
2293,1.0,
3422,0.96,
3997,0.96,
3087,1.0,
3527,1.0,
2881,1.0,
2445,0.94,
3294,0.92,
2703,0.96,
2866,1.0,
3804,1.0,
2490,1.0,
3353,1.0,
2818,1.0,
2306,1.0,
3895,1.0,
3443,0.9,
2120,0.96,
2648,1.0,
3932,1.0,
2453,1.0,
3818,1.0,
2974,1.0,
3954,0.9,
2929,1.0,
2488,1.0,
3637,0.92,
2466,1.0,
2753,1.0,
3113,1.0,
3170,1.0,
2835,0.98,
2240,1.0,
2480,1.0,
2105,1.0,
3991,1.0,
3498,0.9,
2119,1.0,
3857,1.0,
2274,1.0,
2728,1.0,
2355,1.0,
3222,1.0,
3480,1.0,
3212,1.0,
3048,1.0,
2111,1.0,
3879,1.0,
2335,1.0,
3152,1.0,
2371,1.0,
3994,0.96,
3791,1.0,
2124,1.0,
3120,0.98,
2699,1.0,
3287,1.0,
2528,1.0,
2474,1.0,
2717,1.0,
2467,1.0,
2662,1.0,
3683,1.0,
3301,1.0,
2443,1.0,
3696,1.0,
2523,1.0,
3689,1.0,
2167,1.0,
2141,1.0,
3419,1.0,
3615,1.0,
2641,1.0,
2091,1.0,
2465,1.0,
3868,0.19999999999999998,
3188,1.0,
2936,0.98,
2686,0.96,
2413,1.0,
3503,0.98,
3320,1.0,
2098,1.0,
3883,1.0,
2207,1.0,
2960,0.98,
3728,0.96,
3033,0.8,
3453,0.98,
2624,1.0,
2283,1.0,
2553,1.0,
3295,0.0,
2000,1.0,
3996,1.0,
3275,1.0,
3042,0.26,
3068,1.0,
2516,1.0,
3486,0.98,
3541,1.0,
3381,1.0,
2168,0.92,
3054,0.0,
2157,1.0,
2487,1.0,
2692,1.0,
3562,1.0,
2211,1.0,
2414,1.0,
3282,0.96,
2568,1.0,
2083,0.96,
2067,1.0,
3659,1.0,
2322,1.0,
2022,1.0,
