,years_experience,degree,nr_commits,nr_languages,nr_stars
2659,3.0,0.0,34.0,5.0,2.0
2983,2.0,0.0,22.0,0.0,4.0
2734,2.0,1.0,26.0,1.0,4.0
3721,2.0,0.0,22.0,1.0,1.0
2982,3.0,0.0,32.0,0.0,2.0
2924,1.0,0.0,15.0,3.0,6.0
3517,3.0,0.0,34.0,0.0,4.0
2650,1.0,1.0,14.0,2.0,1.0
3307,1.0,1.0,12.0,3.0,2.0
2305,0.0,2.0,3.0,5.0,2.0
3716,0.0,1.0,2.0,0.0,3.0
2274,1.0,0.0,13.0,0.0,2.0
2228,2.0,2.0,23.0,3.0,4.0
3129,2.0,0.0,26.0,4.0,1.0
2208,2.0,0.0,26.0,7.0,1.0
2262,3.0,0.0,33.0,1.0,3.0
2873,0.0,2.0,10.0,7.0,7.0
3118,3.0,0.0,33.0,3.0,4.0
3491,1.0,0.0,11.0,1.0,4.0
3516,1.0,2.0,16.0,7.0,1.0
2708,2.0,0.0,22.0,8.0,3.0
2514,2.0,0.0,24.0,7.0,0.0
2880,1.0,1.0,15.0,1.0,2.0
2869,2.0,0.0,26.0,3.0,4.0
3400,2.0,2.0,23.0,2.0,4.0
3891,3.0,0.0,34.0,0.0,7.0
3452,2.0,1.0,24.0,6.0,1.0
3553,0.0,0.0,7.0,4.0,3.0
2904,1.0,2.0,11.0,3.0,4.0
3577,1.0,0.0,15.0,5.0,5.0
2374,1.0,0.0,11.0,10.0,4.0
2378,3.0,1.0,34.0,1.0,6.0
2168,0.0,2.0,1.0,10.0,6.0
3857,0.0,0.0,2.0,10.0,0.0
2954,1.0,0.0,16.0,4.0,3.0
3339,1.0,0.0,13.0,13.0,14.0
2213,2.0,1.0,22.0,2.0,3.0
3453,2.0,0.0,24.0,3.0,5.0
3468,3.0,0.0,32.0,3.0,5.0
2073,2.0,0.0,25.0,1.0,3.0
3401,1.0,0.0,16.0,2.0,4.0
3967,1.0,1.0,10.0,5.0,2.0
2264,3.0,0.0,35.0,1.0,2.0
2910,3.0,0.0,35.0,3.0,1.0
3892,0.0,1.0,6.0,4.0,3.0
2640,4.0,0.0,49.0,6.0,3.0
2067,0.0,2.0,3.0,2.0,4.0
2442,1.0,0.0,17.0,0.0,2.0
3512,0.0,2.0,2.0,0.0,1.0
3881,1.0,0.0,16.0,3.0,0.0
3385,2.0,0.0,26.0,1.0,5.0
2406,2.0,0.0,21.0,4.0,3.0
3880,0.0,0.0,5.0,2.0,1.0
2733,1.0,0.0,13.0,2.0,3.0
2716,1.0,0.0,16.0,2.0,3.0
2158,1.0,0.0,12.0,2.0,6.0
2906,1.0,1.0,12.0,1.0,5.0
3079,3.0,0.0,34.0,1.0,3.0
3534,2.0,0.0,24.0,5.0,2.0
3618,3.0,0.0,36.0,8.0,5.0
3868,2.0,0.0,23.0,2.0,5.0
3028,1.0,0.0,10.0,6.0,9.0
2436,0.0,2.0,7.0,9.0,3.0
3796,1.0,1.0,14.0,12.0,2.0
2353,0.0,0.0,5.0,6.0,3.0
3026,3.0,0.0,33.0,5.0,0.0
2092,2.0,0.0,26.0,0.0,2.0
3702,3.0,0.0,33.0,6.0,2.0
3253,3.0,0.0,34.0,4.0,0.0
2975,0.0,2.0,7.0,3.0,2.0
3116,1.0,1.0,17.0,2.0,10.0
2551,3.0,1.0,35.0,11.0,6.0
3308,3.0,0.0,31.0,2.0,3.0
2376,0.0,0.0,8.0,7.0,5.0
3929,0.0,0.0,4.0,2.0,1.0
2794,1.0,2.0,14.0,5.0,10.0
3393,2.0,0.0,25.0,12.0,2.0
2698,2.0,0.0,22.0,5.0,4.0
3214,1.0,0.0,13.0,2.0,4.0
3181,1.0,0.0,11.0,2.0,1.0
2706,0.0,1.0,4.0,6.0,4.0
3930,3.0,0.0,35.0,7.0,1.0
3514,4.0,0.0,43.0,8.0,3.0
2031,0.0,0.0,5.0,13.0,4.0
3724,3.0,0.0,34.0,0.0,0.0
2574,0.0,0.0,5.0,5.0,4.0
3323,2.0,0.0,25.0,8.0,5.0
3659,2.0,0.0,21.0,1.0,3.0
3679,3.0,0.0,34.0,3.0,1.0
3087,3.0,1.0,31.0,7.0,5.0
2747,2.0,0.0,24.0,10.0,4.0
3592,0.0,2.0,6.0,1.0,1.0
3828,1.0,0.0,15.0,8.0,3.0
3176,1.0,0.0,13.0,2.0,4.0
3639,0.0,2.0,3.0,1.0,2.0
2032,3.0,0.0,33.0,1.0,5.0
3944,2.0,0.0,24.0,0.0,1.0
2964,1.0,0.0,12.0,0.0,5.0
3521,1.0,0.0,13.0,3.0,3.0
2395,1.0,0.0,14.0,2.0,5.0
3723,2.0,0.0,24.0,2.0,2.0
2455,1.0,0.0,15.0,1.0,5.0
3841,0.0,2.0,4.0,1.0,4.0
2131,1.0,0.0,15.0,6.0,10.0
3963,1.0,0.0,13.0,6.0,6.0
2082,2.0,0.0,21.0,2.0,1.0
2230,0.0,0.0,1.0,5.0,8.0
3555,0.0,2.0,2.0,8.0,0.0
3650,2.0,0.0,29.0,3.0,7.0
3402,0.0,2.0,4.0,12.0,3.0
3387,0.0,0.0,7.0,1.0,3.0
3520,2.0,1.0,21.0,3.0,1.0
2034,1.0,2.0,12.0,2.0,1.0
3518,2.0,0.0,22.0,5.0,2.0
3567,2.0,0.0,24.0,0.0,2.0
3591,1.0,1.0,16.0,4.0,4.0
3580,1.0,0.0,18.0,3.0,4.0
2615,1.0,0.0,12.0,0.0,6.0
3560,2.0,1.0,21.0,6.0,4.0
3819,0.0,0.0,5.0,11.0,5.0
3399,3.0,0.0,32.0,5.0,6.0
3862,0.0,0.0,6.0,3.0,3.0
3222,0.0,0.0,2.0,9.0,6.0
2482,3.0,0.0,32.0,5.0,7.0
2487,1.0,1.0,10.0,8.0,4.0
2683,0.0,0.0,7.0,1.0,10.0
2896,1.0,1.0,13.0,10.0,3.0
2159,0.0,2.0,4.0,8.0,3.0
2578,1.0,1.0,13.0,4.0,1.0
2935,3.0,0.0,31.0,0.0,1.0
3680,3.0,0.0,33.0,1.0,0.0
2473,4.0,0.0,43.0,6.0,4.0
3636,1.0,0.0,12.0,4.0,3.0
2433,1.0,0.0,20.0,1.0,1.0
2163,0.0,1.0,2.0,3.0,4.0
3259,1.0,0.0,16.0,3.0,3.0
3913,0.0,2.0,4.0,1.0,3.0
2976,0.0,0.0,4.0,1.0,4.0
2974,2.0,1.0,23.0,0.0,1.0
2221,0.0,1.0,4.0,3.0,0.0
3136,1.0,0.0,13.0,1.0,8.0
3695,3.0,0.0,31.0,1.0,2.0
3174,2.0,0.0,21.0,12.0,8.0
2008,0.0,2.0,0.0,5.0,1.0
3332,3.0,0.0,31.0,11.0,1.0
3773,2.0,1.0,22.0,4.0,4.0
2185,2.0,1.0,24.0,0.0,3.0
3794,2.0,1.0,27.0,2.0,12.0
3787,3.0,0.0,35.0,0.0,1.0
3361,0.0,1.0,2.0,9.0,3.0
2725,1.0,1.0,12.0,1.0,9.0
2040,0.0,2.0,5.0,6.0,4.0
2521,1.0,0.0,12.0,3.0,5.0
2852,1.0,0.0,11.0,5.0,6.0
3317,0.0,1.0,3.0,4.0,1.0
2870,1.0,1.0,15.0,0.0,2.0
2100,2.0,1.0,24.0,6.0,2.0
2101,2.0,0.0,22.0,4.0,6.0
3260,0.0,0.0,5.0,4.0,2.0
2133,3.0,0.0,32.0,1.0,11.0
2730,2.0,0.0,25.0,1.0,5.0
2967,1.0,0.0,10.0,3.0,3.0
3237,5.0,0.0,52.0,3.0,2.0
3389,3.0,0.0,33.0,8.0,9.0
3371,2.0,0.0,21.0,1.0,0.0
2035,0.0,0.0,4.0,3.0,4.0
3698,1.0,2.0,12.0,2.0,6.0
3218,0.0,2.0,6.0,5.0,8.0
3744,0.0,3.0,2.0,0.0,1.0
3272,1.0,0.0,13.0,12.0,1.0
3649,0.0,0.0,4.0,1.0,4.0
2756,1.0,1.0,13.0,1.0,6.0
3616,1.0,2.0,15.0,1.0,5.0
2335,2.0,0.0,23.0,11.0,4.0
3057,2.0,0.0,26.0,4.0,5.0
2959,2.0,0.0,24.0,3.0,7.0
3262,3.0,0.0,43.0,1.0,5.0
2307,3.0,0.0,31.0,2.0,5.0
2691,2.0,0.0,23.0,4.0,3.0
3682,0.0,0.0,7.0,10.0,8.0
2013,0.0,0.0,11.0,7.0,6.0
2047,3.0,0.0,32.0,7.0,7.0
2380,0.0,3.0,2.0,10.0,0.0
2646,2.0,1.0,23.0,13.0,2.0
3722,1.0,1.0,12.0,10.0,4.0
2945,0.0,1.0,2.0,0.0,7.0
