,years_experience,degree,nr_commits,nr_languages,nr_stars
2233,2.0,0.0,25.0,15.0,0.0
2646,2.0,1.0,23.0,13.0,2.0
3309,0.0,0.0,8.0,2.0,7.0
2100,2.0,1.0,24.0,6.0,2.0
2464,2.0,0.0,20.0,0.0,4.0
2910,3.0,0.0,35.0,3.0,1.0
3776,0.0,1.0,1.0,2.0,1.0
2780,2.0,1.0,24.0,3.0,3.0
2172,1.0,1.0,14.0,5.0,4.0
2743,2.0,0.0,25.0,11.0,5.0
2465,0.0,2.0,1.0,10.0,3.0
3112,1.0,0.0,11.0,2.0,4.0
3970,0.0,2.0,2.0,3.0,4.0
2357,1.0,0.0,17.0,4.0,3.0
3276,2.0,0.0,24.0,6.0,4.0
2442,1.0,0.0,17.0,0.0,2.0
3826,1.0,1.0,16.0,1.0,5.0
3666,2.0,0.0,25.0,6.0,4.0
3922,2.0,0.0,22.0,4.0,2.0
2923,3.0,0.0,32.0,6.0,0.0
3720,1.0,0.0,15.0,1.0,3.0
2720,1.0,0.0,11.0,3.0,2.0
3397,2.0,0.0,25.0,4.0,2.0
3351,2.0,1.0,25.0,1.0,5.0
2904,1.0,2.0,11.0,3.0,4.0
3487,1.0,1.0,12.0,2.0,3.0
3535,0.0,2.0,3.0,0.0,3.0
2244,3.0,0.0,34.0,6.0,0.0
2185,2.0,1.0,24.0,0.0,3.0
3582,2.0,0.0,25.0,5.0,5.0
3116,1.0,1.0,17.0,2.0,10.0
3390,0.0,0.0,2.0,21.0,2.0
2326,2.0,0.0,24.0,6.0,4.0
2082,2.0,0.0,21.0,2.0,1.0
3332,3.0,0.0,31.0,11.0,1.0
3636,1.0,0.0,12.0,4.0,3.0
3470,2.0,0.0,25.0,8.0,6.0
3841,0.0,2.0,4.0,1.0,4.0
2532,3.0,0.0,33.0,1.0,5.0
2089,2.0,0.0,29.0,4.0,6.0
3639,0.0,2.0,3.0,1.0,2.0
3154,1.0,0.0,11.0,5.0,6.0
2419,3.0,0.0,35.0,3.0,6.0
2550,2.0,2.0,24.0,1.0,4.0
2368,0.0,1.0,3.0,7.0,7.0
2436,0.0,2.0,7.0,9.0,3.0
2033,3.0,0.0,33.0,1.0,7.0
2213,2.0,1.0,22.0,2.0,3.0
2153,1.0,0.0,18.0,7.0,4.0
2230,0.0,0.0,1.0,5.0,8.0
2599,1.0,0.0,12.0,2.0,5.0
3967,1.0,1.0,10.0,5.0,2.0
2505,0.0,2.0,3.0,6.0,8.0
3828,1.0,0.0,15.0,8.0,3.0
3087,3.0,1.0,31.0,7.0,5.0
2463,1.0,0.0,13.0,2.0,3.0
2182,2.0,1.0,23.0,9.0,0.0
3649,0.0,0.0,4.0,1.0,4.0
2828,2.0,0.0,23.0,6.0,6.0
3243,3.0,0.0,36.0,4.0,12.0
3929,0.0,0.0,4.0,2.0,1.0
2178,1.0,0.0,15.0,8.0,3.0
3389,3.0,0.0,33.0,8.0,9.0
2860,0.0,2.0,6.0,3.0,10.0
2228,2.0,2.0,23.0,3.0,4.0
2557,4.0,0.0,43.0,2.0,1.0
3429,0.0,1.0,3.0,2.0,2.0
2537,1.0,0.0,14.0,4.0,2.0
3051,2.0,0.0,22.0,3.0,7.0
2933,2.0,0.0,24.0,2.0,5.0
3380,2.0,0.0,23.0,7.0,5.0
3756,1.0,0.0,17.0,0.0,8.0
3157,1.0,0.0,15.0,1.0,2.0
3885,2.0,0.0,22.0,2.0,0.0
3246,2.0,0.0,23.0,5.0,6.0
3618,3.0,0.0,36.0,8.0,5.0
3696,2.0,1.0,23.0,3.0,0.0
3428,0.0,2.0,2.0,0.0,4.0
2523,2.0,0.0,27.0,3.0,3.0
2619,1.0,1.0,12.0,1.0,1.0
3462,1.0,2.0,14.0,2.0,5.0
3129,2.0,0.0,26.0,4.0,1.0
3073,1.0,1.0,12.0,6.0,2.0
2069,1.0,2.0,15.0,19.0,2.0
2067,0.0,2.0,3.0,2.0,4.0
2674,0.0,0.0,2.0,1.0,0.0
3040,0.0,2.0,3.0,1.0,10.0
2873,0.0,2.0,10.0,7.0,7.0
3596,2.0,0.0,23.0,4.0,1.0
3139,3.0,0.0,35.0,1.0,6.0
2401,3.0,0.0,34.0,2.0,3.0
2217,1.0,1.0,14.0,3.0,5.0
3790,1.0,1.0,15.0,5.0,3.0
3592,0.0,2.0,6.0,1.0,1.0
2927,2.0,0.0,23.0,8.0,4.0
2524,1.0,0.0,15.0,3.0,0.0
2507,2.0,0.0,23.0,3.0,4.0
3787,3.0,0.0,35.0,0.0,1.0
3772,3.0,0.0,35.0,3.0,4.0
2253,1.0,0.0,14.0,1.0,4.0
3687,2.0,0.0,22.0,1.0,4.0
2996,3.0,0.0,38.0,0.0,2.0
3278,1.0,0.0,12.0,0.0,5.0
2727,0.0,2.0,4.0,5.0,5.0
2092,2.0,0.0,26.0,0.0,2.0
2899,2.0,0.0,22.0,0.0,4.0
