,h_post,h_post_individualized
3338,0.52,
3833,0.8,
2109,0.52,
2560,0.52,
2487,0.52,
2316,0.78,
3444,0.9,
2597,0.9,
2000,0.52,
3323,0.52,
2153,0.52,
2336,0.52,
2580,0.52,
2051,0.52,
3868,0.98,
3118,0.98,
2356,0.52,
2124,0.72,
2526,0.98,
3031,0.52,
3332,0.52,
2362,1.0,
3234,0.52,
3834,0.52,
2147,0.52,
3651,0.52,
3271,0.52,
3594,0.9,
3567,0.52,
2262,0.9,
2464,0.94,
2470,0.96,
2293,0.52,
2217,0.68,
3347,1.0,
2221,0.52,
3072,0.88,
2684,0.66,
3555,0.52,
2440,0.9,
2626,0.52,
3431,0.52,
2837,0.74,
2150,0.52,
3695,0.52,
3270,0.52,
3618,0.9,
2461,0.52,
2379,0.52,
3853,0.52,
2609,0.52,
3811,0.84,
2163,0.52,
2561,0.52,
3522,0.7,
2194,0.52,
2486,0.52,
2498,0.52,
3007,0.52,
3254,0.98,
2725,0.94,
2818,0.52,
3489,0.9,
3104,0.98,
3284,0.52,
3145,0.98,
2942,0.52,
3739,0.52,
3521,0.74,
2038,0.88,
3649,1.0,
3544,0.94,
3841,0.98,
3534,0.52,
3569,1.0,
2283,0.88,
2514,0.88,
2862,0.76,
3943,0.52,
3131,0.78,
3375,0.98,
3000,0.98,
2472,0.52,
3894,0.52,
2222,0.9,
3154,0.52,
3540,0.78,
2328,0.84,
2989,0.88,
3839,0.86,
2156,0.52,
2586,0.84,
3246,0.94,
3164,0.52,
2395,0.52,
2651,0.52,
3861,0.72,
3258,0.52,
3526,0.94,
2074,0.52,
3414,0.52,
2491,0.52,
2856,0.52,
3470,0.52,
2748,0.52,
2506,0.52,
2677,0.98,
2881,0.52,
3925,0.52,
3552,0.94,
2950,0.9,
3440,0.52,
2870,0.52,
2130,0.52,
2656,0.52,
3588,0.52,
3430,0.78,
2264,0.94,
2957,0.52,
2693,0.52,
3623,0.88,
3782,0.52,
3593,0.52,
3643,0.8,
3111,0.9,
3816,0.52,
2519,1.0,
2127,0.52,
3775,0.52,
2848,0.98,
2728,0.52,
2388,0.52,
3134,0.52,
2102,0.52,
2432,0.98,
2428,0.52,
3012,0.52,
2215,0.72,
2924,0.88,
2252,0.52,
3206,0.94,
2403,0.52,
2863,0.52,
2645,0.52,
2640,0.52,
3228,0.52,
3125,0.52,
3755,0.52,
3101,0.5,
3842,0.78,
2236,0.94,
2955,0.52,
3376,0.52,
3838,0.52,
2027,0.94,
2497,0.98,
3944,0.52,
3026,0.5,
2857,0.52,
3097,0.52,
2489,0.52,
3835,0.98,
3573,0.78,
2831,0.52,
2365,0.52,
2158,0.52,
2321,0.52,
2016,0.52,
2785,0.52,
2556,0.78,
2768,0.52,
2607,0.52,
3150,0.94,
2202,0.9,
3773,0.52,
3536,0.52,
3515,0.52,
2089,0.52,
3723,0.52,
2389,0.96,
2733,0.52,
2779,0.98,
3788,0.52,
3929,1.0,
2761,0.94,
2172,0.84,
2005,0.52,
2545,0.52,
2070,0.52,
2621,1.0,
2765,0.52,
3172,0.52,
3350,0.52,
3057,0.52,
3019,0.52,
2035,0.52,
3728,0.98,
2282,0.52,
2905,0.92,
3193,0.88,
